"CT","mx_mean","mx_lb","mx_ub","mx_se"
187.06,6.21,3.14,11.08,2.11
187.11,6.03,2.82,11.48,2.28
187.12,6.2,2.97,11.19,2.19
187.13,6.07,2.98,10.72,2.04
187.14,6.11,2.45,13.13,2.86
187.15,6.2,2.87,12.59,2.39
188.01,5.68,2.58,10.88,2.1
188.04,5.9,2.86,10.69,2.06
188.05,5.91,2.8,11.39,2.25
188.07,6.11,2.71,11.71,2.42
188.08,6.01,2.49,12.59,2.71
189.03,5.67,2.84,10.82,2.06
189.05,5.26,2.54,9.78,1.87
189.06,5.47,2.55,10.19,2
189.08,5.55,2.73,10.25,1.98
189.09,6.33,2.72,12.2,2.4
189.1,5.73,2.63,11.34,2.14
190.03,6.45,3.43,11.73,2.04
190.04,6.4,3.03,12.91,2.51
190.05,6.32,2.64,13.14,2.87
191.03,5.71,2.73,10.9,2.15
191.04,6.66,3.18,13,2.56
191.05,6.71,3.16,12.72,2.48
192,6.09,3.1,10.98,1.97
200,5.9,2.57,11.15,2.32
201,5.64,2.53,10.8,2.11
202,5.69,2.89,10.22,1.9
203,5.7,2.6,10.53,2.18
204.01,6.31,2.65,13.09,2.72
204.02,6.12,2.87,11.02,2.14
205.02,5.11,2.49,9.79,1.9
207,5.97,2.58,11.86,2.44
208,4.96,2.34,9.39,1.82
209,5.35,2.66,9.87,1.91
210,5.34,2.71,9.44,1.67
220,5.6,2.68,10.08,1.91
221.01,5.52,2.58,11.04,2.11
221.03,5.33,2.45,9.72,1.99
221.04,5.32,2.66,9.6,1.79
222.01,5.16,2.43,9.88,1.98
222.02,6.1,2.74,11.77,2.36
223.01,5.69,2.83,10.57,1.97
223.02,5.33,2.49,10.21,1.93
224.02,5.18,2.38,9.76,1.89
225.01,5.74,2.5,11.15,2.32
225.02,5.44,2.63,9.99,1.99
226.02,6.44,2.83,12.59,2.46
226.04,5.32,2.45,10.5,2.06
228.02,6.88,3.05,13.53,2.84
228.04,5.72,2.83,10.18,1.94
229,6.97,3.61,12.04,2.15
230.01,5.81,2.79,10.68,2.06
230.02,5.91,2.85,10.4,1.98
