"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,7.16,3.82,11.72,2.01
1.02,11.7,6.04,20.91,3.87
2.01,11.86,5.25,22.16,4.45
2.04,16.25,9.88,25.65,4.15
3.01,15.64,7.2,29.34,5.85
3.02,24.73,13.54,41.12,7.36
4.01,26.41,16.1,40.58,6.45
5,10.42,5.12,18.27,3.41
6.01,10.11,4.88,19.02,3.7
6.02,17.35,9.34,29.45,5.13
7.01,14.1,7.18,24.79,4.44
7.02,26.28,14.52,43.89,7.63
8.01,10.42,3.82,24.23,5.3
8.02,9.39,4.53,17.37,3.42
9,8.36,4.65,14.12,2.61
10.02,13.34,7.23,22.97,4.06
11,10.56,5.74,19.18,3.45
13.01,10.08,5.04,19.64,3.8
13.03,13.76,6.35,25.56,5.09
13.04,9.64,4.21,19.57,4.2
14.02,9.55,4.55,18.88,3.76
15.01,10.41,4.63,19.66,3.95
15.02,13.39,7.74,21.64,3.5
16.01,13.26,6.76,23.2,4.31
16.05,10.73,5.22,20.82,3.76
17.01,9.67,4.96,17.46,3.23
17.02,11.63,5.78,21.17,3.97
18.02,11.35,6.31,18.89,3.14
19,11.67,6.3,19.74,3.49
20,13.18,8.38,19.69,2.86
21,11.09,5.66,20.2,3.74
23,10.05,5.41,18.46,3.28
24,7.19,3.33,13.34,2.61
25,8.98,4.53,17.1,3.1
26,9.21,4.79,16.68,3.07
27.01,8.98,4.55,16.57,3.07
27.02,18.45,11.21,29.26,4.56
28,20.45,10.33,35.52,6.39
29,44.74,28.14,70.04,11.48
30,12.53,6.57,22.51,3.99
31.01,14.37,7.28,25.06,4.66
31.02,12.14,5.94,22.22,4.38
32,15.62,8,28.57,5.44
33.01,12.11,6.19,22.8,4.32
33.02,11.29,5.65,20.41,3.77
34.02,13.34,7.29,23.02,4.04
35.01,11.13,5.4,22.07,4.12
35.02,10.76,5.89,18.49,3.26
36.01,8.49,4.35,14.95,2.8
36.02,6.76,2.65,14.45,3.13
37.01,11.62,5.57,20.64,3.94
37.02,15.11,7.28,29.08,5.47
38,20.1,10.92,34.01,5.86
39.01,15.46,7.86,27.76,4.99
39.02,35.97,22.24,55.1,8.43
40.01,12.86,6.23,24.12,4.58
40.02,11.25,5.58,19.81,3.68
41.01,17.03,9.21,29.24,5.14
41.02,20.16,10.69,35.92,6.34
42,8.98,4.38,16.54,3.22
43.02,7.31,3.24,14.32,3.1
44,11.26,5.19,21.03,4.18
45.01,12.75,5.73,24.57,5.02
45.02,9.95,4.63,18.44,3.66
46,9.51,4.46,19.05,3.7
47.01,17.03,9.33,29.53,5.31
48,8.93,4.64,15.82,2.97
49.01,26.8,13.58,47.51,8.88
49.02,11.34,5.3,20.9,4.05
50.02,20.38,12.05,33.41,5.71
50.03,27.93,14.87,47.64,8.64
50.04,23.89,12.04,45.33,8.51
51.01,16.42,8.48,29.99,5.61
51.02,15.92,8.52,28.5,5.15
52.01,12.24,6.65,21.32,3.67
52.02,12.19,6.17,22.45,4.02
53.01,11.86,5.46,22.07,4.15
53.02,8.82,3.74,17.88,3.77
54.01,39.35,24.93,59.98,8.95
54.02,12.7,6.63,22.06,4.16
55.01,20.11,10.04,34.73,6.42
55.02,25.65,12.85,47.44,8.91
56.02,24.15,12.24,44.95,8.17
57.02,20.17,11.36,32.67,5.63
59.06,160.09,101.78,241.57,35.75
59.07,29.85,14.35,53.3,10.21
59.09,41.45,19.73,78.54,14.82
59.1,47.21,23.48,87.67,16.51
59.11,42.81,24.15,72.16,12.76
60.02,21.51,10.27,41.27,7.71
61,12.02,5.19,24.8,5.05
62,10.29,4.94,19,3.75
64,15.6,8.85,25.79,4.28
65,26.49,15.44,43.77,7.31
67.01,26.64,13.9,46.65,8.54
68,12.62,6.46,22.58,4.1
69.02,15.04,8.58,23.97,3.93
100.01,37.98,19.63,65.33,11.91
100.02,17.51,6.69,38.28,7.94
101.03,15.25,5.87,34.25,8.09
101.04,14.25,5.25,33.01,6.9
101.06,11.84,4.54,25.34,5.62
103,9.4,3.86,18.93,3.93
104,12.1,4.88,25.81,5.54
110.02,13.18,2.84,36.9,9.78
110.03,12.48,3.04,35.28,8.39
110.04,11.03,3.19,28.15,6.63
111.02,8.83,3.33,20.4,4.6
111.05,19.78,9.34,38.02,7.57
111.07,16.85,7.7,37.42,7.36
112,16.32,7.35,33.91,6.58
113,16.38,8.97,27.1,4.72
114.01,17.86,7.09,39.71,8.99
