"CT","mx_mean","mx_ub","mx_lb","mx_se"
238.02,46.27,68.87,30.2,9.93
239.02,21.18,41.58,9.32,8.57
240.01,45.29,69.54,26.67,11.17
240.02,45.31,75.17,25.88,12.92
241,44.03,68.01,27.51,10.45
242,47.04,77.41,26.82,12.88
243.01,35.07,59.15,19.14,10.24
243.02,57.21,99.37,29.93,17.67
250.02,34.47,58.77,18.41,10.4
251.01,44.35,88.71,19.3,18.2
260.04,83.38,163.33,37.55,32.48
260.05,67.77,125.96,33.34,23.97
260.06,40.77,71.43,21.19,13.15
260.07,50.75,86.39,26.84,15.28
260.08,31.79,59.63,14.39,12.14
281.01,27.59,54.59,11.68,11.04
281.02,44.25,74.92,24.16,13.24
282.01,72.97,119.15,40.64,20.36
282.02,69.24,114,40.66,18.86
283,84.39,125.75,52.99,18.4
284.01,50.01,83.12,27.67,14.13
284.02,50.38,86.35,27.37,15.04
285.01,68.34,120.71,36.91,21.22
285.02,60.7,90.76,38.46,13.37
286.02,37.02,53.1,24.82,7.41
287.01,39.15,72.46,19.52,13.66
287.06,36.21,56.62,21.6,8.84
287.09,31.36,59.16,14.58,11.61
287.11,52.35,90.13,27.59,16.29
290.02,67.78,101.92,43.27,15.04
290.04,44.87,73.87,26.29,12.18
290.05,60,117.55,26.53,23.75
291.01,20.45,37.58,10.35,7.11
291.02,43.9,77.02,22.5,14.5
292.01,58.12,95.72,32.98,16.02
292.03,42.34,77.49,20.59,14.99
292.04,90.88,167.81,44.04,31.74
400.04,49.29,83.05,25.6,15.18
400.05,76.25,128.62,41.6,22.09
400.06,61.32,114.41,28.87,21.89
401.01,73.71,120.62,41.88,20.21
401.02,71.2,104.45,47.21,14.8
402.02,67.12,104.89,40.71,16.6
402.03,75.56,116.48,46.5,17.95
403.01,74.26,110.82,48.03,16.21
403.04,67.39,116.68,35.94,20.61
403.05,46.46,85.27,23.15,15.89
404.01,60.88,103.9,33.3,18.51
404.02,50.27,82.49,28.98,13.72
410.02,49.13,78.58,28.85,12.78
410.04,55.68,101.09,26.63,19.44
410.05,50.99,89.44,27.07,16.19
410.06,72.32,134.29,34.8,25.64
501.01,82.67,119.3,56.14,16.25
501.02,59.83,99.42,31.86,17.58
501.03,73.74,130.35,36.65,24.27
502.01,36.1,70.89,16.78,13.9
502.02,52.27,86.58,29.17,14.49
502.03,64.28,110.2,33.9,19.88
