"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,1.7,0.84,2.97,0.56
1.02,1.63,0.76,2.92,0.56
2.01,1.75,0.8,3.32,0.64
2.04,1.7,0.85,2.98,0.57
3.01,1.82,0.83,3.47,0.7
3.02,2.05,0.98,3.88,0.75
4.01,2.34,1.2,4.07,0.75
5,1.67,0.81,3.16,0.6
6.01,1.55,0.7,2.84,0.57
6.02,2.25,1.07,4.05,0.78
7.01,1.56,0.71,2.82,0.56
7.02,1.6,0.75,3.02,0.6
8.01,1.41,0.64,2.74,0.56
8.02,1.61,0.73,2.9,0.58
9,1.31,0.63,2.29,0.43
10.02,1.78,0.88,3.25,0.59
11,1.6,0.81,2.88,0.54
13.01,1.49,0.74,2.63,0.5
13.03,1.79,0.88,3.27,0.63
13.04,1.55,0.7,2.84,0.58
14.02,1.52,0.68,2.83,0.55
15.01,1.52,0.72,2.93,0.56
15.02,1.62,0.79,2.98,0.55
16.01,1.73,0.8,3.14,0.61
16.05,1.76,0.86,3.19,0.61
17.01,1.57,0.8,2.91,0.54
17.02,1.82,0.88,3.3,0.64
18.02,1.84,0.89,3.24,0.62
19,1.66,0.81,3.1,0.58
20,1.74,0.93,3.02,0.54
21,1.39,0.68,2.57,0.49
23,1.31,0.63,2.4,0.46
24,1.07,0.51,2.08,0.4
25,1.54,0.71,2.84,0.54
26,1.2,0.58,2.27,0.43
27.01,1.2,0.58,2.22,0.43
27.02,1.73,0.86,3.05,0.58
28,1.51,0.7,2.74,0.53
29,2.02,0.99,3.6,0.69
30,1.67,0.77,3.02,0.58
31.01,1.76,0.88,3.21,0.62
31.02,1.63,0.8,3.03,0.57
32,2.02,1.01,3.62,0.67
33.01,1.82,0.84,3.31,0.65
33.02,1.78,0.86,3.27,0.61
34.02,1.87,0.94,3.29,0.63
35.01,1.82,0.88,3.32,0.64
35.02,2.17,1.11,3.85,0.71
36.01,3.11,1.58,5.62,1.09
36.02,1.91,0.89,3.64,0.74
37.01,2.08,1.01,3.81,0.76
37.02,2.09,1,3.81,0.75
38,2.16,1.05,3.87,0.73
39.01,1.61,0.79,3,0.56
39.02,2.36,1.16,4.16,0.8
40.01,1.44,0.67,2.81,0.54
40.02,1.45,0.69,2.66,0.52
41.01,1.38,0.69,2.39,0.47
41.02,1.15,0.54,2.06,0.41
42,1.13,0.53,2.08,0.41
43.02,1.26,0.56,2.45,0.48
44,1.53,0.72,2.86,0.55
45.01,1.25,0.55,2.41,0.49
45.02,1.22,0.57,2.28,0.44
46,1.16,0.55,2.17,0.42
47.01,1.47,0.68,2.78,0.54
48,1.23,0.58,2.22,0.43
49.01,1.66,0.82,2.96,0.57
49.02,1.46,0.62,2.82,0.6
50.02,2.1,1.04,3.88,0.71
50.03,2.54,1.17,4.57,0.93
50.04,2.37,1.05,4.4,0.91
51.01,1.72,0.85,3.16,0.61
51.02,2.23,1.1,4.05,0.78
52.01,1.91,0.96,3.49,0.66
52.02,1.61,0.73,2.91,0.57
53.01,1.63,0.74,3.04,0.59
53.02,1.71,0.8,3.49,0.69
54.01,1.56,0.83,2.76,0.51
54.02,1.76,0.86,3.21,0.64
55.01,2.26,1.03,4.35,0.86
55.02,1.75,0.76,3.47,0.71
56.02,2.52,1.2,4.97,0.98
57.02,1.78,0.92,3.37,0.6
59.06,3.49,1.66,6.73,1.31
59.07,2.21,1,4.31,0.85
59.09,2.16,0.95,4.17,0.9
59.1,2.71,1.19,5.33,1.09
59.11,3.39,1.55,6.5,1.31
60.02,2.08,0.89,4.2,0.85
61,1.58,0.61,3.31,0.74
62,1.28,0.55,2.59,0.51
64,1.75,0.84,3.28,0.63
65,1.99,0.95,3.82,0.72
67.01,1.52,0.68,3.11,0.61
68,1.42,0.63,2.71,0.56
69.02,1.16,0.58,2.09,0.39
100.01,3.82,1.88,7.2,1.37
100.02,2.01,0.92,3.81,0.77
101.03,1.75,0.77,3.39,0.67
101.04,1.76,0.82,3.3,0.65
101.06,1.73,0.81,3.24,0.63
103,1.76,0.86,3.22,0.63
104,1.96,0.95,3.72,0.72
110.02,2.71,0.9,6.53,1.39
110.03,1.46,0.6,2.98,0.61
110.04,1.99,0.81,4.14,0.89
111.02,1.69,0.78,3.34,0.66
111.05,1.95,0.85,3.83,0.76
111.07,2.36,1.07,4.54,0.93
112,1.93,0.88,3.57,0.71
113,2.12,1.05,3.99,0.76
114.01,2.3,0.96,4.65,1.02
114.02,3.04,1.33,5.88,1.26
115,2.66,1.33,4.88,0.97
116,1.76,0.8,3.4,0.67
117,1.37,0.64,2.54,0.49
118,1.65,0.79,3,0.59
120,1.21,0.56,2.42,0.49
121,1.31,0.61,2.6,0.53
122,1.24,0.58,2.36,0.48
130.03,1.48,0.7,2.93,0.56
131,1.12,0.53,2.04,0.38
132,1.04,0.45,2.05,0.43
133.01,1.01,0.38,2.17,0.48
133.02,1.08,0.49,2.13,0.45
134,1.5,0.66,2.97,0.61
135,1.11,0.49,2.1,0.43
140.02,1.53,0.76,2.72,0.52
140.03,1.48,0.73,2.69,0.51
140.04,1.69,0.76,3.2,0.64
141.01,1.62,0.77,3.09,0.59
142.01,1.61,0.76,2.93,0.61
142.02,1.48,0.67,2.8,0.57
142.03,1.48,0.67,2.8,0.57
143.01,1.6,0.74,3.12,0.62
143.02,1.66,0.84,2.97,0.57
143.03,1.35,0.64,2.46,0.51
144.04,2.22,0.98,4.25,0.86
144.06,1.49,0.71,2.76,0.54
145.01,1.29,0.64,2.33,0.45
145.02,1.54,0.71,3.07,0.6
146,1.85,0.88,3.51,0.67
147.01,1.26,0.6,2.29,0.45
147.09,1.51,0.73,2.71,0.54
148,2.16,1.07,3.81,0.73
149.02,2.15,0.92,4.3,0.89
149.05,1.6,0.76,3.06,0.59
149.08,1.67,0.76,3.05,0.61
149.09,1.71,0.8,3.14,0.63
150,1.73,0.81,3.17,0.62
151.03,1.73,0.85,3.26,0.64
151.05,1.54,0.73,2.86,0.56
151.07,1.53,0.75,2.79,0.53
151.08,1.48,0.7,2.71,0.55
160.01,0.99,0.39,2.09,0.45
160.02,1.07,0.5,2.04,0.4
160.03,1.45,0.67,2.84,0.57
160.04,1.2,0.56,2.34,0.46
161.02,1.31,0.58,2.64,0.52
161.03,1.57,0.71,2.91,0.56
161.05,1.29,0.58,2.42,0.49
161.06,1.54,0.74,2.95,0.57
161.08,1.52,0.66,3.06,0.64
161.09,2.24,1.19,3.92,0.71
162.01,1.56,0.76,2.94,0.55
162.02,1.57,0.76,2.96,0.57
162.03,1.62,0.78,3.09,0.58
162.04,1.35,0.64,2.49,0.48
163.01,1.6,0.74,3.21,0.63
163.04,1.79,0.84,3.44,0.66
163.05,1.9,0.89,3.63,0.72
163.06,1.72,0.82,3.24,0.63
163.07,1.69,0.82,3.05,0.59
163.08,1.69,0.77,3.21,0.65
170.03,1.14,0.55,2.15,0.41
170.04,1.16,0.57,2.19,0.42
170.05,0.92,0.43,1.78,0.35
170.07,1.14,0.57,2.15,0.42
180.01,1.2,0.55,2.31,0.47
180.04,1.03,0.5,1.99,0.4
181.03,1.24,0.58,2.4,0.47
181.05,1.01,0.51,1.95,0.36
181.07,1.19,0.5,2.35,0.49
181.08,1.55,0.66,3.25,0.67
181.09,1.31,0.64,2.51,0.47
181.11,1.11,0.54,2.18,0.42
181.12,1.3,0.59,2.54,0.51
181.13,1.08,0.57,1.95,0.37
181.14,0.99,0.44,2,0.39
181.16,0.81,0.37,1.66,0.33
182.01,1.32,0.68,2.33,0.43
182.04,1.79,0.86,3.3,0.63
182.05,1.57,0.78,2.88,0.55
183.01,1.57,0.71,3.02,0.58
183.03,1.55,0.74,2.74,0.54
183.05,1.54,0.74,2.82,0.55
183.06,1.7,0.84,3.15,0.6
183.07,1.53,0.69,2.88,0.58
184.02,1.86,0.94,3.29,0.66
184.06,1.9,0.88,3.49,0.68
184.07,1.72,0.85,3.02,0.59
184.08,1.81,0.85,3.42,0.68
184.09,2.05,0.98,3.94,0.76
184.1,1.87,0.86,3.5,0.72
184.11,1.87,0.85,3.52,0.7
184.12,1.79,0.74,3.58,0.76
184.13,1.62,0.72,3.26,0.63
184.14,1.64,0.74,3.23,0.67
184.15,1.95,0.94,3.59,0.71
184.16,1.9,0.9,3.63,0.72
185.05,2.04,0.96,3.76,0.74
185.07,1.61,0.74,3.04,0.59
185.08,1.49,0.66,2.87,0.59
185.09,1.74,0.86,3.18,0.59
185.1,2.03,0.99,3.89,0.75
185.11,1.85,0.92,3.52,0.68
185.12,1.54,0.72,2.97,0.59
185.15,2.05,1,3.86,0.73
185.16,1.89,0.89,3.58,0.7
185.17,1.41,0.65,2.75,0.56
185.18,1.37,0.62,2.71,0.53
185.19,1.58,0.74,3.16,0.59
185.2,1.47,0.71,2.76,0.55
185.21,1.62,0.8,2.92,0.55
186.01,1.67,0.8,3.08,0.6
186.02,1.6,0.76,2.95,0.57
186.05,2.04,0.99,3.7,0.72
186.06,2.02,0.97,3.72,0.73
186.07,2.11,0.99,3.95,0.77
186.08,2.07,0.98,3.75,0.74
187.03,2.08,1.01,3.87,0.76
187.04,2.94,1.4,5.27,1
187.06,1.57,0.75,2.8,0.54
187.11,1.83,0.86,3.45,0.68
187.12,1.7,0.81,3.17,0.63
187.13,2.17,1.05,3.98,0.78
187.14,2.21,0.98,4.34,0.87
187.15,2,0.94,3.65,0.7
188.01,1.55,0.7,2.95,0.58
188.04,1.85,0.92,3.5,0.66
188.05,1.54,0.71,3.01,0.59
188.07,1.53,0.7,2.82,0.57
188.08,1.72,0.73,3.59,0.75
189.03,1.71,0.84,3.18,0.63
189.05,1.7,0.85,2.96,0.56
189.06,1.62,0.73,3.12,0.62
189.08,1.83,0.86,3.35,0.64
189.09,1.67,0.76,3.33,0.68
189.1,1.79,0.84,3.44,0.66
190.03,1.73,0.93,2.99,0.56
190.04,1.68,0.79,3.09,0.63
190.05,1.65,0.71,3.35,0.67
191.03,1.88,0.88,3.43,0.67
191.04,2.37,1.09,4.36,0.85
191.05,1.73,0.78,3.27,0.65
192,1.59,0.82,2.9,0.53
200,1.64,0.74,3.12,0.62
201,1.72,0.75,3.37,0.67
202,1.31,0.66,2.39,0.46
203,1.56,0.73,2.94,0.58
204.01,1.79,0.78,3.5,0.72
204.02,1.75,0.89,3.22,0.61
205.02,1.26,0.62,2.32,0.45
207,1.2,0.52,2.48,0.5
208,1.49,0.7,2.68,0.52
209,1.53,0.76,2.86,0.51
210,1.57,0.79,2.82,0.53
220,1.79,0.85,3.37,0.65
221.01,1.94,0.86,3.6,0.75
221.03,2.09,0.96,3.97,0.81
221.04,2.02,0.99,3.58,0.67
222.01,1.97,0.93,3.66,0.71
222.02,1.68,0.76,3.21,0.65
223.01,1.8,0.85,3.31,0.65
223.02,1.59,0.74,3.03,0.58
224.02,1.69,0.87,3,0.57
225.01,1.61,0.77,3.03,0.6
225.02,1.7,0.83,3.12,0.6
226.02,1.69,0.76,3.27,0.64
226.04,1.95,0.9,3.61,0.7
228.02,1.76,0.77,3.37,0.69
228.04,1.59,0.79,2.86,0.53
229,2.31,1.2,4.18,0.73
230.01,1.6,0.75,2.96,0.6
230.02,1.72,0.87,3.03,0.6
231,1.51,0.75,2.71,0.52
232,1.62,0.77,3.07,0.61
233,1.39,0.71,2.51,0.47
234,1.58,0.73,3.1,0.62
235.02,1.57,0.77,2.88,0.55
235.03,1.38,0.62,2.62,0.56
236,1.44,0.7,2.72,0.53
237,1.63,0.76,3.12,0.6
238.01,1.66,0.8,3.11,0.61
238.02,1.91,0.93,3.36,0.64
239.02,1.86,0.86,3.52,0.72
240.01,1.63,0.8,2.89,0.57
240.02,1.4,0.64,2.61,0.52
241,1.39,0.64,2.63,0.5
242,1.42,0.67,2.6,0.51
243.01,1.64,0.75,3.01,0.59
243.02,1.48,0.7,2.71,0.53
250.02,1.49,0.72,2.85,0.56
