"CT","mx_mean","mx_ub","mx_lb","mx_se"
170.05,6.54,23.77,0.91,6.67
170.07,2.09,7.82,0.25,2.31
180.01,2.16,10.02,0.15,3.36
180.04,3.19,12.36,0.38,3.55
181.03,6.66,24.67,0.84,6.66
181.05,1.52,5.87,0.18,1.67
181.07,12.19,44.44,1.69,11.93
181.08,6.19,26.12,0.51,8.04
181.09,2.26,9.11,0.24,2.75
181.11,2.89,11.94,0.25,3.49
181.12,8.48,33.04,0.86,10
181.13,1.59,6.15,0.19,1.7
181.14,3.21,14.01,0.23,4.56
181.16,3.55,13.23,0.42,3.68
182.01,5.65,20.4,0.69,5.71
182.04,7.39,27.25,0.92,7.41
182.05,5.57,22.38,0.63,6.38
183.01,6.21,25.6,0.61,7.62
183.03,3.06,11.79,0.35,3.26
183.05,7.57,30.02,0.89,8.5
183.06,2.62,10.17,0.27,2.99
183.07,3.83,16.74,0.33,4.74
184.02,2.57,9.83,0.3,3.13
184.06,3.98,17.19,0.33,4.93
184.07,3.45,13.92,0.37,4.04
184.08,3.74,16.23,0.31,4.86
184.09,3.78,17.22,0.23,5.35
184.1,8.58,34.63,0.83,10.47
184.11,5.19,23.97,0.46,6.81
184.12,6.32,29.11,0.54,8.16
184.13,4.64,20.72,0.4,6.17
184.14,11.18,46.66,1.15,14.4
184.15,6.17,25.83,0.51,8.02
184.16,5.14,22.44,0.45,6.82
185.05,6.38,26.2,0.7,7.55
185.07,5.49,20.8,0.6,5.9
185.08,5.8,27.54,0.37,9.22
185.09,3.98,16.09,0.43,4.48
185.1,5.39,22.56,0.53,6.23
185.11,4.54,18.48,0.47,5.48
185.12,5.58,23.06,0.6,6.85
185.15,8.88,35.74,1.07,10.13
185.16,5.51,24.16,0.5,7.13
185.17,17.23,60.46,2.36,17.19
185.18,8.14,33.95,0.72,10.61
185.19,10.1,43.57,1.02,12.6
185.2,12.99,53.3,1.51,14.12
185.21,5.93,21.89,0.75,6.09
186.01,9.44,33.8,1.17,10.64
186.02,5.79,20.82,0.76,6.05
186.05,5.43,20.38,0.66,5.77
186.06,6.19,26.35,0.6,7.85
186.07,3.42,14.14,0.31,5.19
186.08,3.27,15.43,0.29,4.6
187.03,7.09,26.99,0.88,7.31
187.04,3.03,11.75,0.38,3.39
187.06,4.8,17.3,0.63,4.72
187.11,4.14,17.96,0.29,5.32
187.12,4.35,17.2,0.43,4.96
187.13,3.88,15.72,0.4,4.57
187.14,3.17,15.41,0.18,5.59
187.15,8.27,30.47,1.1,8.57
188.01,5.25,22.13,0.47,6.39
188.04,8.55,31.5,1.11,8.63
188.05,8.46,34.75,0.68,10.83
188.07,9.78,44.28,0.83,14.63
188.08,52.38,194.97,6.45,54.49
189.03,13.44,57.05,1.49,15.3
189.05,2.41,9.46,0.25,2.58
189.06,4.81,20.58,0.44,6.07
189.08,9.93,38.97,1.2,10.9
189.09,6.49,28.03,0.54,7.98
189.1,4.89,21.32,0.43,6.39
190.03,2.37,8.02,0.35,2.24
190.04,5.64,23.03,0.57,6.39
190.05,35.76,128.85,4.09,38.12
191.03,2.72,11.87,0.25,3.49
191.04,3.32,14.07,0.34,4.15
191.05,4.86,20.36,0.44,6.03
192,10.87,37.37,1.53,10.82
200,9.43,36.79,0.98,11.14
201,27.38,99.08,3.58,29.51
202,9.19,31.37,1.48,8.63
203,14.74,50.06,2.17,13.6
204.01,4.8,21.19,0.4,6.03
204.02,3.79,15.13,0.41,4.66
205.02,2.85,10.53,0.35,3.19
207,58.68,195.38,10.24,50.24
208,3.4,13.2,0.41,3.81
209,2.21,8.37,0.25,2.4
210,3.09,10.97,0.46,3.05
220,101.13,374.72,14.24,101.92
221.01,9.88,38.86,0.94,11.69
221.03,6.15,24.45,0.64,6.62
221.04,1.77,6.75,0.19,2.13
222.01,6.87,27.3,0.8,7.74
222.02,9.52,39.5,0.99,11.55
223.01,18.47,66.53,2.6,18.5
223.02,27.9,93.44,4.53,24.8
224.02,4.36,15.43,0.56,4.13
225.01,3.94,15.73,0.38,5.26
225.02,5.22,20.36,0.6,6.04
226.02,2.25,10.71,0.17,3.32
226.04,5.13,22.91,0.44,7.06
228.02,3.7,17.32,0.24,5.18
228.04,1.99,7.51,0.23,2.04
229,2.14,7.61,0.29,2.19
230.01,2.49,11.03,0.23,3.2
230.02,4.01,15.59,0.47,4.47
231,4.04,14.45,0.58,4.4
232,5.93,25.1,0.63,7.02
233,2.67,10.38,0.27,3.04
234,3.76,15.15,0.41,4.24
235.02,3.23,12.36,0.39,3.95
235.03,11.86,44.81,1.54,12.24
236,7.6,29.65,0.83,8.35
237,5.36,19.69,0.67,5.79
238.01,3.33,14.89,0.28,4.58
238.02,2.72,9.91,0.36,2.72
239.02,3.99,18.67,0.28,6.02
240.01,2.21,9.06,0.23,2.55
240.02,3.12,13.16,0.34,3.82
241,3.16,12.73,0.31,3.9
242,1.95,8.85,0.15,2.69
243.01,3.06,13.69,0.26,4.08
243.02,4.55,19.16,0.43,5.63
250.02,4.95,17.78,0.67,5.14
251.01,6.47,28.54,0.4,8.92
260.04,5.87,29.63,0.31,9.04
260.05,7.01,32.47,0.45,10.58
260.06,3.2,14.18,0.23,4.82
260.07,2.18,10.9,0.13,3.31
260.08,2.57,12.24,0.18,3.87
281.01,9.09,40.85,0.87,13.4
281.02,12.88,46.79,1.76,12.49
282.01,4.47,19.13,0.41,5.89
282.02,6.07,23.95,0.65,6.95
283,3.2,11.62,0.43,3.35
284.01,4.93,19.05,0.59,5.58
284.02,7.61,28.18,0.94,8.37
285.01,6,26.64,0.59,7.33
285.02,2.99,11.35,0.37,3.21
286.02,2,6.91,0.29,1.88
287.01,7.66,31.01,0.72,8.86
287.06,2.96,11.48,0.34,3.27
287.09,2.41,14.13,0.09,5.03
287.11,2.95,12.86,0.23,3.81
290.02,2.8,11.16,0.36,3.01
290.04,2.93,11.97,0.3,3.8
290.05,16.43,76.2,1.35,23.66
291.01,5.76,23.74,0.64,6.58
291.02,12.41,47.04,1.57,13.16
292.01,7.22,27.05,0.96,7.45
292.03,5.23,22.3,0.41,7.6
292.04,25.1,97.13,2.94,26.31
400.04,2.39,11.2,0.14,3.68
400.05,3.64,15.02,0.3,4.96
400.06,9.29,41.97,0.6,14.75
401.01,5.19,22.17,0.51,6.58
401.02,2.03,7.84,0.24,2.15
402.02,3.37,14.02,0.3,3.89
402.03,2.41,10.81,0.17,3.88
403.01,3.47,12.23,0.48,3.31
403.04,8.23,31.71,0.87,9.76
403.05,8.26,34.75,0.74,9.76
404.01,2.82,13.45,0.18,3.95
404.02,5.82,21.03,0.77,5.85
410.02,5.07,19,0.65,5.08
410.04,8.27,35.41,0.79,11.54
410.05,9.89,38.52,1,11.61
410.06,19.94,79.06,2.29,22.16
501.01,1.6,6.23,0.18,1.88
501.02,8.84,35.07,0.86,11.16
501.03,18.16,73.68,1.9,21.9
502.01,6.14,25.85,0.58,7.07
502.02,3.2,13.41,0.32,4.18
502.03,9.38,38.62,0.99,10.61
502.06,4.69,19.18,0.51,5.5
502.07,1.77,7.55,0.17,2
503.01,10.29,42.83,0.91,12.38
503.03,2.35,8.71,0.3,2.46
503.07,1.37,6,0.09,2.11
503.09,3.41,13.66,0.36,3.97
504.03,2.1,8.98,0.18,2.59
504.05,1.48,6.16,0.14,1.78
504.08,1.76,9.19,0.1,2.89
504.09,2.14,9.08,0.18,2.56
504.1,2.01,10.24,0.1,3.76
505.01,2.1,8.56,0.18,2.56
506.01,3.53,19.74,0.16,7.29
506.02,2.3,11.42,0.14,3.49
