"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,2.91,0.62,9.32,2.31
1.02,3.32,0.67,10.06,2.66
2.01,3.46,0.63,11.13,2.67
2.04,2.94,0.65,8.54,2.69
3.01,3.88,0.81,12.38,3.22
3.02,3.73,0.75,11.94,3.1
4.01,3.73,0.78,11.88,3.09
5,3.78,0.71,13.43,3.57
6.01,3.23,0.62,11.46,2.95
6.02,3.76,0.75,11.84,3.16
7.01,4.36,0.89,14.13,3.98
7.02,3.21,0.66,10.94,2.7
8.01,3.02,0.54,10.26,2.62
8.02,2.73,0.55,8.97,2.23
9,2.95,0.59,9.49,2.48
10.02,3.47,0.66,11.9,3.09
11,3.82,0.8,11.64,3.34
13.01,3.49,0.71,10.98,3.34
13.03,3.5,0.76,11.64,2.97
13.04,4.88,0.95,14.78,4.24
14.02,3.19,0.59,9.93,2.87
15.01,3.56,0.62,10.99,3.11
15.02,3.14,0.7,9.7,2.48
16.01,3.13,0.66,9.64,2.54
16.05,3.42,0.7,10.54,2.89
17.01,3.56,0.72,10.97,3.2
17.02,3.29,0.69,10.22,2.64
18.02,8.78,2.52,22.91,6.08
19,4.1,0.88,12.01,3.1
20,3.21,0.75,9.12,2.44
21,3.34,0.66,11.26,2.75
23,3.06,0.57,9.24,2.92
24,2.77,0.55,8.23,2.53
25,2.88,0.55,9.51,2.46
26,2.87,0.6,8.9,2.46
27.01,3.22,0.65,10.75,2.61
27.02,3.09,0.52,9.92,2.67
28,3.59,0.62,12.24,3.14
29,6.24,1.3,20.66,5.91
30,3.59,0.76,10.84,2.68
31.01,4.28,0.98,13.17,3.37
31.02,3.86,0.8,12.29,3.34
32,3.5,0.71,11.05,2.84
33.01,4.78,1,17.35,3.9
33.02,3.58,0.72,11.58,2.81
34.02,3.97,0.82,13.43,3.36
35.01,3.75,0.84,12.01,3.23
35.02,5.41,1.19,16.92,5.21
36.01,5.5,1.25,17.99,4.23
36.02,4.52,0.85,14.34,3.86
37.01,3.95,0.68,11.9,3.05
37.02,4.01,0.78,13.14,3.31
38,8.82,1.89,29.59,7.52
39.01,4.11,0.83,13.22,3.55
39.02,3.69,0.75,11.29,2.91
40.01,3.92,0.78,11.77,4.73
40.02,3.72,0.66,12.27,3.13
41.01,3.52,0.69,11.26,3.32
41.02,3.29,0.64,10.42,2.71
42,3.37,0.6,11.62,2.99
43.02,2.96,0.55,10.35,2.67
44,3.73,0.71,11.72,2.97
45.01,3.62,0.71,11.88,3.19
45.02,3.54,0.66,11.29,2.95
46,3.34,0.58,10.97,3.3
47.01,3.51,0.58,11.44,3.1
48,3.09,0.63,9.31,2.81
49.01,3.68,0.74,11.21,3.05
49.02,3.17,0.54,11.9,3.14
50.02,3.51,0.77,11.03,2.84
50.03,4.22,0.86,13.84,3.35
50.04,7.46,1.21,26.81,7.89
51.01,3.78,0.81,11.65,2.94
51.02,3.65,0.73,11.33,2.99
52.01,3.98,0.8,11.88,3.06
52.02,3.71,0.79,10.5,3.24
53.01,4.34,0.78,13.6,3.4
53.02,3.6,0.65,12.55,3.58
54.01,3.6,0.77,11.42,2.82
54.02,3.59,0.78,11.68,2.89
55.01,3.96,0.68,13.93,3.99
55.02,4.19,0.8,13.69,4.12
56.02,4.31,0.87,14.11,4.08
57.02,3.8,0.81,12.7,2.89
59.06,9.3,1.71,28.65,8.5
59.07,4.5,0.77,14.51,3.62
59.09,3.74,0.66,12.68,3.68
59.1,4.22,0.71,15.47,4.16
59.11,3.8,0.77,11.78,3.08
60.02,3.76,0.65,13.6,3.73
61,4.55,0.82,15.91,5.44
62,3.87,0.71,12.73,3.37
64,3.79,0.74,12.85,3.52
65,3.76,0.78,12.44,3.39
67.01,3.97,0.64,14.63,3.73
68,4.11,0.74,14.22,3.5
69.02,3.49,0.82,9.36,2.27
100.01,2.35,0.24,10.13,2.83
100.02,2.62,0.25,11.84,3.25
101.03,3.26,0.29,14.38,5.19
101.04,2.57,0.18,12.41,3.37
101.06,2.31,0.22,12.87,2.99
103,2.21,0.23,9.02,2.68
104,2.07,0.2,8.76,2.6
110.02,2.12,0.15,9.19,2.55
110.03,2.06,0.19,8.73,2.56
110.04,2.18,0.21,8.9,2.97
111.02,2.02,0.21,7.48,2.22
111.05,3.75,0.55,12.63,4.8
111.07,2.03,0.37,6.46,2.01
112,2.22,0.38,8.6,2.47
113,2.07,0.34,7.02,1.99
114.01,2.09,0.3,7.24,2.73
114.02,1.84,0.34,6.59,1.91
115,2.12,0.33,6.84,2.43
116,1.92,0.37,6.6,1.61
117,3.15,0.69,9.88,2.89
118,2.32,0.45,7.7,2.03
120,2.22,0.37,7.75,2.02
121,1.96,0.38,6.71,1.68
122,2.08,0.4,6.52,1.74
130.03,2.17,0.37,7.92,2.06
131,1.92,0.38,5.78,1.52
132,2.09,0.37,6.74,1.93
133.01,2.48,0.39,9.16,2.42
