"CT","mx_mean","mx_lb","mx_ub","mx_se"
202,16.21,10.93,23.82,3.16
203,15.4,9.49,23.31,3.6
204.01,17.52,10.01,28.5,4.7
204.02,16.94,11.22,24.75,3.42
205.02,18.5,13,25.82,3.28
207,24.72,14.6,38.96,6.13
208,23.85,16.51,33.86,4.35
209,26.99,19.53,36.73,4.42
210,21.99,15.78,29.31,3.54
220,15.73,9.94,25.03,3.83
221.01,17.7,10.51,28.26,4.56
221.03,16.15,10.06,24.52,3.79
221.04,15.6,11.14,21.28,2.62
222.01,14.22,9.16,20.92,3.09
222.02,13.69,8.1,21.71,3.39
223.01,15.17,10.02,22.52,3.21
223.02,18.34,11.86,26.72,3.84
224.02,25.76,18.37,35.42,4.49
225.01,15.22,9.34,23.13,3.49
225.02,12.57,8.32,18.28,2.55
226.02,16.15,9.9,25.5,3.94
226.04,14.6,8.66,22.91,3.48
228.02,16.42,10.21,24.9,3.88
228.04,16.38,11.46,22.51,2.81
229,22.53,16.66,30.03,3.4
230.01,14.32,9.34,21.44,3.12
230.02,16.83,11.43,23.89,3.19
231,16.06,10.94,22.53,2.87
232,18.74,12.17,27.4,3.99
233,18.56,12.68,25.99,3.44
234,28.29,19.62,38.78,4.94
235.02,14.57,9.95,20.68,2.79
235.03,17.43,10.76,26.82,4.13
236,15.66,10.02,22.95,3.29
237,14.29,9.19,21.51,3.08
238.01,12.68,8.16,18.92,2.88
238.02,14.71,10.44,20.57,2.6
239.02,14.44,8.98,22.07,3.47
240.01,13.9,9.49,19.31,2.59
240.02,18.32,11.65,26.44,3.83
241,14.8,9.76,21.75,3.1
242,13.64,8.75,20.21,2.98
243.01,15.5,10.08,23.04,3.39
243.02,15.86,10.18,22.97,3.38
250.02,14.08,9.43,19.74,2.66
251.01,19.58,11.31,33.24,5.53
260.04,19.91,10.09,35.96,6.66
260.05,17.14,9.93,28.59,4.61
260.06,10.06,5.81,16.17,2.64
260.07,20.12,12.34,30.24,4.76
260.08,16.45,10.07,25.33,3.95
281.01,18.82,10.6,30.07,5.05
281.02,16.25,10.22,24.35,3.61
282.01,21.63,13.37,32.46,4.97
282.02,27.86,18.35,42.44,6.27
283,26.59,19.27,36.29,4.36
284.01,18.05,11.97,25.8,3.45
284.02,18.51,12.03,27.88,4.07
285.01,23.14,14.97,34.44,5.01
285.02,22.17,15.62,30.19,3.71
286.02,19.17,14.59,24.81,2.66
287.01,17.87,11.08,27.63,4.13
287.06,16,11.15,22.63,3.04
287.09,13.71,7.71,22.9,4.05
287.11,15.34,9.43,23.35,3.63
290.02,28.45,20.55,37.89,4.49
290.04,16.24,10.83,23.1,3.13
290.05,18.26,10.21,29.34,5.09
291.01,20.41,12.92,30.06,4.48
291.02,21.44,13.51,32.2,4.89
292.01,18.32,12.35,25.84,3.5
292.03,19,11.52,29.64,4.66
292.04,19.06,10.44,32.42,5.51
400.04,15.67,9.68,24.5,3.79
400.05,16.15,10.31,24.25,3.68
400.06,16.84,9.15,28.71,5.01
401.01,25.09,16.54,37.54,5.25
401.02,17.11,12.23,23.79,3.05
402.02,17.77,11.71,25.61,3.58
402.03,15.98,10.27,24.38,3.63
403.01,22.62,15.99,30.68,3.79
403.04,19.63,12.24,30.08,4.57
403.05,17.06,9.72,28,4.66
404.01,14.57,8.79,22.36,3.41
404.02,18.35,12.25,26.28,3.65
410.02,18.21,12.42,25.1,3.24
410.04,16.79,10.79,25.37,3.82
410.05,15.16,9.16,23.19,3.66
410.06,18.57,10.73,29.64,4.92
501.01,18.82,13.93,25.01,2.86
501.02,18.78,11.85,28.53,4.34
501.03,17.14,10.62,26.26,4.15
502.01,16.7,10.37,25.41,4.13
502.02,13.15,8.18,19.94,3.07
502.03,18.37,11.22,28.03,4.49
502.06,14.01,9.1,21.37,3.08
502.07,18.03,12.66,24.86,3.11
503.01,18.76,10.98,30.6,4.98
503.03,18.31,13.11,25.14,3.06
503.07,20.16,14.01,28.2,3.62
503.09,26.47,17.72,38.88,5.42
504.03,15.92,10.39,23.63,3.41
504.05,19.1,13.65,26.21,3.31
504.08,16.45,10.25,25.14,3.73
504.09,20.22,14.02,28.85,3.9
504.1,18.79,11.5,30,4.79
505.01,16.49,11.43,22.99,3.06
506.01,22.02,12.26,37.73,6.65
506.02,18.65,11.76,28.56,4.35
