"CT","mx_mean","mx_ub","mx_lb","mx_se"
163.05,11.89,24.52,4.74,5.15
163.06,12.3,28.04,4.63,6.06
163.07,13.47,28.24,5.23,6.02
163.08,12.75,29.62,4.36,6.54
170.03,16.4,29.44,7.91,5.7
170.04,12.08,22.4,5.77,4.3
170.05,17.13,32.51,8.09,6.37
170.07,9.09,17.2,4.21,3.29
180.01,11.96,26.13,4.5,5.76
180.04,10.3,20.32,4.56,4.13
181.03,16.07,31.71,6.92,6.43
181.05,13.98,24.89,7.08,4.65
181.07,15.13,33.3,5.72,7.05
181.08,15.28,34.32,5.77,7.29
181.09,11.35,22.89,5.1,4.57
181.11,14.04,28.44,5.86,5.86
181.12,11.5,25.47,4.1,5.63
181.13,12.87,23.31,6.32,4.45
181.14,13.08,27.57,5.06,5.9
181.16,4.48,9.9,1.65,2.14
182.01,12.92,25.79,5.45,5.5
182.04,16.46,31.38,7.41,6.42
182.05,8.08,18.19,2.87,4.03
183.01,10.74,23.67,3.94,5.13
183.03,14.07,26.91,6.2,5.4
183.05,11.56,23.88,4.81,5.06
183.06,7.32,15.26,2.92,3.18
183.07,8.05,17.67,2.95,3.9
184.02,11.04,21.84,4.81,4.43
184.06,10.8,24.11,3.77,5.37
184.07,12.33,24.51,5.29,5.05
184.08,12.66,27.48,4.6,6.11
184.09,8.36,19.7,2.63,4.59
184.1,8.9,20.3,2.91,4.6
184.11,10.54,23.78,3.74,5.33
184.12,10.12,25.19,3.3,5.75
184.13,12.56,28.34,4.56,6.24
184.14,13.72,31.78,4.88,7.43
184.15,22.92,49.43,8.87,10.55
184.16,11.07,23.73,4.03,5.25
185.05,11.04,24.51,4.25,5.31
185.07,7.04,15.2,2.53,3.35
185.08,18.03,42.89,5.72,9.91
185.09,15.03,31.58,6.23,6.56
185.1,19.83,40.46,7.75,8.55
185.11,12.49,26.4,4.99,5.6
185.12,10.51,21.91,3.9,4.72
185.15,10.65,23.98,3.9,5.15
185.16,10.18,22.49,3.68,5.03
185.17,7.9,18.67,2.64,4.25
185.18,8.17,19.1,2.65,4.29
185.19,8.86,21.4,2.82,4.89
185.2,15.19,33.77,5.5,7.59
185.21,13.63,26.99,5.68,5.57
186.01,10.22,22.4,3.9,4.83
186.02,7.46,16.49,2.78,3.54
186.05,13.06,25.55,5.67,5.28
186.06,18.25,37.91,7.24,8.19
186.07,13.89,29.29,5.6,6.34
186.08,19.07,39.83,7.9,8.41
187.03,14.51,28.36,6.15,5.75
