"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,15.29,10.54,22.22,3.01
1.02,20.32,12.8,30.07,4.42
2.01,17.46,10.58,27.02,4.19
2.04,17.42,11.74,24.74,3.35
3.01,16.42,9.65,26.74,4.38
3.02,20.82,12.7,32.14,5.12
4.01,16.9,10.58,24.93,3.73
5,19.57,12.23,29.72,4.33
6.01,11.2,6.45,17.31,2.89
6.02,17.91,10.81,27.68,4.32
7.01,13.81,8.22,21.68,3.42
7.02,11.61,6.76,19.08,3.05
8.01,75.59,41.1,129.92,22.49
8.02,10.08,6.09,15.73,2.5
9,11.28,7.21,17.23,2.54
10.02,14.46,9.31,21.63,3.2
11,12.43,7.85,19.18,2.97
13.01,14.26,8.51,22,3.45
13.03,17.18,10.25,27.88,4.5
13.04,11.68,6.56,20.06,3.43
14.02,11.22,6.67,17.52,2.82
15.01,11.17,6.44,18.29,3.1
15.02,16.02,10.59,23.92,3.43
16.01,12.89,7.47,20.38,3.37
16.05,11.51,6.97,17.89,2.87
17.01,12.14,7.7,18.16,2.73
17.02,11.68,7,18.01,2.84
18.02,12.49,8.02,18.63,2.74
19,15.2,9.54,23.41,3.52
20,12.49,8.42,17.1,2.31
21,10.68,6.44,16.94,2.76
23,15.22,9.58,23,3.47
24,9.15,5.6,14.09,2.31
25,13.94,8.95,20.65,3.15
26,13.04,8.04,19.99,3.12
27.01,11.75,7.17,17.67,2.67
27.02,13.15,8.3,18.96,2.88
28,13.35,7.68,22.25,3.7
29,17.38,11.16,25.61,3.87
30,11.63,7.13,18.15,2.84
31.01,13.95,8.6,21.53,3.44
31.02,14.26,8.54,22.81,3.71
32,16.91,10.67,24.84,3.66
33.01,13.32,7.94,21.2,3.45
33.02,14.51,8.82,22.71,3.42
34.02,13.57,8.71,20.19,2.96
35.01,14.89,9.25,23.29,3.64
35.02,16.75,10.77,24.07,3.54
36.01,11.86,7.52,18.6,2.76
36.02,13.79,8.02,21.89,3.63
37.01,19.3,12.14,29.17,4.5
37.02,17.88,10.72,27.29,4.37
38,22.69,14.67,33.11,4.83
39.01,14.35,8.88,21.9,3.3
39.02,19.08,11.83,28.74,4.55
40.01,14.16,7.73,23.55,4.36
40.02,13.4,8.16,21.11,3.35
41.01,12.8,7.72,19.83,3.11
41.02,29.91,19.71,44.71,6.38
42,11.99,7.07,18.69,2.97
43.02,11.63,6.64,18.9,3.23
44,15.25,9.17,23.2,3.66
45.01,15.43,8.78,24.96,4.25
45.02,14.28,8.4,23.19,3.74
46,16.34,10.05,25.97,4.11
47.01,19.78,11.92,29.87,4.64
48,16.52,9.93,25.43,4.11
49.01,18.97,11.73,29.06,4.27
49.02,14.15,8.48,22.43,3.63
50.02,30.7,20.73,44.37,6.27
50.03,26.55,17.14,39.71,5.89
50.04,24.47,14.89,37.46,5.94
51.01,13.87,8.5,22.01,3.5
51.02,18.44,11.88,27.59,4.04
52.01,16.47,10.77,24.01,3.41
52.02,17.14,10.95,26.11,3.74
53.01,17.07,11.08,25.88,4
53.02,19.36,10.94,31.99,5.4
54.01,87.94,64.55,121.04,14.3
54.02,16.36,9.87,25.93,4.13
55.01,30.5,19.88,44.46,6.78
55.02,27.96,17.43,42.79,6.45
56.02,20.91,12.97,31.87,5.09
57.02,39.03,25.77,57.13,8
59.06,143.78,103.88,193.83,23.55
59.07,15.65,9.94,23.59,3.56
59.09,44.82,27.06,72.29,11.17
59.1,59.57,37.05,88.02,13.27
59.11,28.36,19.09,40.38,5.43
60.02,15.7,9.33,24.97,4.1
61,14.8,8.69,24.14,4.23
62,16.25,10.08,25.42,3.88
64,19.59,13.1,28.19,3.86
65,17.65,12.04,26.21,3.61
67.01,32.1,18.75,50.41,8.16
68,16.78,10.15,25.95,4.17
69.02,10.98,7.34,15.77,2.22
100.01,22.47,13.46,35.17,5.58
100.02,17.67,10.58,27.92,4.61
101.03,20.96,12.56,33.47,5.45
101.04,23.93,14.82,38.18,6.01
101.06,21.08,13.49,31.2,4.6
103,17.65,11.2,26.62,3.94
104,14.44,8.88,23.22,3.62
110.02,14.41,6.35,28.85,5.69
110.03,15.59,7.5,29.26,5.29
110.04,11.08,5.85,20.31,3.67
111.02,11.67,6.64,18.39,3.01
111.05,22.62,14,35.35,5.5
111.07,21.78,12.8,34.4,5.72
112,14.63,8.09,25.34,4.45
113,15.82,9.75,24.29,3.65
114.01,17.43,8.76,30.36,5.76
114.02,15.21,8.33,24.74,4.21
115,16.66,10.33,24.65,3.84
116,14.01,8.42,23.22,3.77
117,11.88,7.19,18.22,2.9
118,15.29,10.13,22.28,3.18
120,8.97,4.95,15.13,2.66
121,9.48,5.04,15.87,2.92
122,10,5.63,15.94,2.66
130.03,22.35,14.27,33.47,4.92
131,15.99,11.16,22.47,2.94
132,9.97,5.43,17.49,3.23
133.01,18.84,10.1,33.39,5.79
133.02,10.6,6.09,17.34,2.93
134,11.9,7.65,18.67,2.82
135,12.71,7.22,20.74,3.58
140.02,16.03,10.6,23.47,3.28
140.03,14.02,8.76,22.29,3.32
140.04,16.84,9.38,27.67,4.68
141.01,18.14,11.63,26.9,3.88
142.01,12.75,7.71,20.64,3.4
142.02,9.55,5.29,15.5,2.76
142.03,11.9,7.19,19.67,3.15
143.01,12.27,7.25,19.53,3.31
143.02,12.39,8.14,17.93,2.49
143.03,11.56,6.71,18.64,3.03
144.04,15.03,8.73,24.07,3.97
144.06,12.21,7.72,18.37,2.77
145.01,10.14,6.29,15.46,2.3
145.02,11.2,6.01,18.61,3.41
146,13.91,8.48,22.03,3.48
147.01,9.86,6.16,15.51,2.34
147.09,10.56,6.71,15.64,2.3
148,13.91,8.93,20.58,3.03
149.02,12.3,6.63,20.46,3.71
149.05,13.41,7.33,22.78,3.97
149.08,11.62,7.28,18.19,2.74
149.09,12.41,6.88,21.15,3.58
150,11.94,6.7,19.71,3.34
151.03,15.2,8.86,24.37,4.01
151.05,14.87,9.37,22.49,3.46
151.07,12.38,8.17,17.99,2.54
151.08,10.29,5.93,16.86,2.71
160.01,15.26,7.34,28.1,5.26
160.02,16.59,10,25.09,4
160.03,16.89,10.73,26.1,4.01
160.04,20.1,12.71,30.54,4.76
