"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,0.94,0.44,1.78,0.35
1.02,0.99,0.44,1.9,0.38
2.01,1.03,0.44,2.13,0.43
2.04,1.44,0.74,2.63,0.51
3.01,1.22,0.51,2.5,0.53
3.02,1.18,0.51,2.54,0.52
4.01,1.29,0.61,2.55,0.48
5,1.43,0.65,2.83,0.59
6.01,1.62,0.73,3.18,0.65
6.02,1.66,0.74,3.29,0.69
7.01,1.45,0.63,2.88,0.59
7.02,1.69,0.72,3.38,0.69
8.01,1.3,0.47,3.08,0.69
8.02,1.33,0.49,2.87,0.6
9,1.16,0.56,2.13,0.41
10.02,1.41,0.67,2.68,0.52
11,1.28,0.61,2.45,0.48
13.01,1.16,0.57,2.19,0.42
13.03,1.34,0.61,2.6,0.53
13.04,1.2,0.5,2.43,0.51
14.02,1.17,0.5,2.37,0.48
15.01,1.01,0.43,2.06,0.43
15.02,0.92,0.43,1.76,0.34
16.01,1.13,0.52,2.26,0.44
16.05,1.08,0.47,2.22,0.43
17.01,1.03,0.5,1.9,0.38
17.02,1.18,0.54,2.19,0.45
18.02,1.15,0.55,2.08,0.4
19,1.34,0.63,2.66,0.53
20,1.46,0.77,2.53,0.46
21,1.32,0.6,2.6,0.5
23,1.46,0.66,2.91,0.57
24,1.43,0.62,2.87,0.61
25,1.12,0.51,2.23,0.43
26,1.21,0.57,2.38,0.46
27.01,1.33,0.62,2.66,0.52
27.02,1.65,0.81,3.21,0.64
28,1.33,0.62,2.58,0.52
29,1.96,0.97,3.7,0.69
30,1.36,0.63,2.52,0.49
31.01,1.76,0.79,3.51,0.72
31.02,1.34,0.6,2.53,0.52
32,1.18,0.55,2.18,0.43
33.01,1.19,0.53,2.39,0.45
33.02,1.14,0.54,2.12,0.42
34.02,1.25,0.6,2.36,0.47
35.01,1.23,0.54,2.46,0.49
35.02,1.2,0.6,2.21,0.41
36.01,1.26,0.57,2.44,0.51
36.02,1.48,0.59,3.2,0.72
37.01,1.23,0.58,2.4,0.5
37.02,1.13,0.5,2.14,0.43
38,1.31,0.6,2.53,0.48
39.01,1.39,0.65,2.68,0.53
39.02,1.53,0.69,2.96,0.59
40.01,1.41,0.62,2.92,0.61
40.02,1.24,0.55,2.58,0.51
41.01,1.37,0.63,2.67,0.53
41.02,1.41,0.62,2.67,0.55
42,1.29,0.61,2.57,0.5
43.02,1.31,0.55,2.67,0.55
44,1.2,0.53,2.36,0.49
45.01,1.22,0.48,2.64,0.55
45.02,1.31,0.58,2.56,0.53
46,1.31,0.59,2.76,0.55
47.01,1.3,0.54,2.72,0.57
48,1.6,0.72,3.11,0.65
49.01,1.2,0.57,2.46,0.47
49.02,1.13,0.42,2.42,0.57
50.02,1.12,0.54,2.15,0.42
50.03,1.36,0.55,2.78,0.59
50.04,1.18,0.52,2.42,0.51
51.01,1.07,0.49,2.14,0.43
51.02,1.24,0.59,2.31,0.48
52.01,1.2,0.55,2.32,0.48
52.02,1.44,0.61,2.84,0.57
53.01,1.06,0.45,2.18,0.46
53.02,1.19,0.5,2.63,0.55
54.01,1.17,0.58,2.13,0.39
54.02,1.09,0.51,2.19,0.43
55.01,1.23,0.45,2.73,0.61
55.02,1.25,0.44,2.88,0.66
56.02,1.23,0.48,2.82,0.62
57.02,1.09,0.53,2.13,0.41
59.06,2.22,0.8,5.2,1.19
59.07,1.5,0.63,3,0.63
59.09,1.79,0.69,3.67,0.88
59.1,1.96,0.76,4.61,0.94
59.11,2.41,0.76,6.06,1.33
60.02,1.78,0.7,3.83,0.83
61,2.31,0.79,5.57,1.31
62,1.43,0.58,2.97,0.62
64,1.52,0.7,2.92,0.58
65,1.54,0.66,3.11,0.64
67.01,1.86,0.73,4.07,0.87
68,1.84,0.75,3.92,0.83
69.02,1.1,0.55,2.05,0.39
100.01,1.82,0.77,3.79,0.8
100.02,1.33,0.55,2.82,0.62
101.03,1.42,0.53,3.02,0.67
101.04,1.24,0.53,2.47,0.55
101.06,1.2,0.49,2.56,0.52
103,1.02,0.45,2.03,0.42
104,1.32,0.58,2.46,0.54
110.02,1.27,0.32,3.45,0.88
110.03,1.17,0.41,2.72,0.58
110.04,1.18,0.4,2.79,0.68
111.02,1.27,0.5,2.67,0.56
111.05,1.28,0.44,2.85,0.66
111.07,1.57,0.62,3.47,0.75
112,1.26,0.51,2.63,0.55
113,1.41,0.63,2.87,0.58
114.01,1.4,0.45,3.46,0.77
114.02,1.42,0.58,3.21,0.73
115,1.46,0.64,2.94,0.63
116,1.28,0.52,2.9,0.6
117,0.98,0.42,1.87,0.38
118,1.15,0.5,2.3,0.46
120,1.13,0.46,2.39,0.51
121,1.24,0.49,2.72,0.6
122,1.14,0.51,2.35,0.49
130.03,1.48,0.65,2.93,0.62
131,0.92,0.45,1.68,0.32
132,1.06,0.39,2.36,0.51
133.01,1.01,0.31,2.52,0.59
133.02,0.95,0.35,2.03,0.46
134,1.16,0.49,2.42,0.53
135,1.03,0.41,2.12,0.45
140.02,1.11,0.53,2.04,0.41
140.03,1.14,0.54,2.14,0.42
140.04,1.22,0.51,2.43,0.53
141.01,1.24,0.53,2.68,0.55
142.01,1.37,0.57,2.83,0.6
142.02,1.86,0.76,4.04,0.88
142.03,1.21,0.48,2.51,0.55
143.01,1.53,0.68,3.32,0.68
143.02,1.5,0.71,2.81,0.55
143.03,1.33,0.57,2.56,0.54
144.04,1.21,0.44,2.68,0.58
144.06,1.24,0.54,2.47,0.5
145.01,1.23,0.59,2.23,0.44
145.02,1.23,0.49,2.47,0.57
146,1.23,0.54,2.49,0.5
147.01,1.4,0.6,2.77,0.58
147.09,1.35,0.6,2.59,0.54
148,2.27,1.1,4.16,0.85
149.02,1.36,0.49,3.21,0.69
149.05,1.83,0.81,3.64,0.77
149.08,1.55,0.67,3.11,0.65
149.09,1.55,0.7,3.07,0.63
150,1.41,0.59,2.86,0.59
151.03,1.32,0.62,2.66,0.54
151.05,1.17,0.5,2.38,0.49
151.07,1.43,0.67,2.8,0.55
151.08,1.19,0.52,2.36,0.5
160.01,1.13,0.37,2.77,0.66
160.02,1.06,0.44,2.21,0.49
160.03,1.74,0.67,3.96,0.88
160.04,1.25,0.51,2.73,0.59
161.02,1.08,0.45,2.38,0.51
161.03,1.22,0.53,2.57,0.54
161.05,1.12,0.45,2.42,0.53
161.06,1.04,0.46,2.06,0.43
161.08,1.28,0.46,2.97,0.66
161.09,1.24,0.49,2.66,0.55
162.01,1.07,0.48,2.06,0.41
162.02,1.25,0.51,2.47,0.57
