"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,27.67,39.43,18.91,5.26
1.02,36.06,54.26,23.21,8.05
2.01,35.5,55.63,22.33,8.61
2.04,30.3,43.55,20.41,5.98
3.01,25.8,43.22,14.95,7.24
3.02,26.34,43.05,14.96,7.41
4.01,29.74,42.64,19.76,5.9
5,31.01,48.87,18.42,7.7
6.01,20.49,33.32,11.58,5.56
6.02,37.08,57.59,22.95,8.86
7.01,20.54,33.93,11.85,5.59
7.02,22.86,37.69,12.83,6.47
8.01,28.36,50.41,13.86,9.85
8.02,27.36,43.16,16.37,6.82
9,23.33,35.25,14.49,5.23
10.02,21.09,32.67,12.99,5.07
11,26.43,40.18,16.28,6.26
13.01,32.34,48.45,20.53,7.16
13.03,28.69,44.99,17.02,7.24
13.04,27.41,45.91,15.29,7.78
14.02,32.71,49.88,20.62,7.58
15.01,33.37,52.19,20.34,8.16
15.02,31.01,45.53,20.56,6.43
16.01,35.93,55.06,21.89,8.41
16.05,21.63,34.46,12.91,5.5
17.01,22.01,33.18,13.59,5.09
17.02,36.18,54.07,22.66,8.21
18.02,28.05,41.1,18.59,5.72
19,32.73,49.83,20.28,7.6
20,25.89,35.62,18.06,4.49
21,24.52,39.58,14.53,6.28
23,23.6,36.14,14.21,5.66
24,19.66,31.74,11.55,5.28
25,22.06,33.8,13.35,5.25
26,17.3,26.76,10.25,4.27
27.01,18.32,28.66,10.73,4.73
27.02,15.17,23.03,9.38,3.57
28,25.19,41.44,14.5,6.97
29,25.59,38.78,16.01,5.92
30,23.2,36.41,14.2,5.77
31.01,28.79,45.91,16.83,7.47
31.02,30.94,49.33,18.61,7.94
32,25.56,39.35,15.88,6.03
33.01,24.48,39.19,14.33,6.46
33.02,23.65,36.07,14.4,5.57
34.02,36.06,54.16,22.74,7.97
35.01,26.5,42.95,15.27,7.03
35.02,27.61,41.42,17.73,6.08
36.01,28.35,44.32,17.19,6.84
36.02,37.25,59.11,21.95,9.56
37.01,37.05,59.3,21.19,9.73
37.02,36.88,59.43,21.46,9.76
38,42.29,63.76,26.19,9.64
39.01,39.58,62.74,22.99,10.27
39.02,47.34,69.5,30.56,10.11
40.01,28.8,48.62,15.37,8.6
40.02,27.76,43.34,16.19,6.98
41.01,35,52.77,22.22,7.92
41.02,25.71,39.3,16.14,6.03
42,18.01,29.55,10.37,4.94
43.02,21.34,35.17,11.54,6.3
44,26.65,42.78,16.27,6.96
