"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,14.97,29.03,7.04,5.67
1.02,12.19,28.26,4.2,6.25
2.01,16.39,35.13,6.2,7.56
2.04,14.77,27.36,7.04,5.33
3.01,8.26,20.8,2.32,5.08
3.02,12.85,29.85,4.45,6.57
4.01,16.98,31.72,7.89,6.23
5,16.99,36.99,6.32,7.95
6.01,10.86,24.98,3.76,5.68
6.02,12.07,26.15,4.32,5.87
7.01,16.94,36.86,6.34,7.83
7.02,12.61,29.99,4.22,7.49
8.01,17.59,45.09,4.84,10.92
8.02,12.94,28.01,4.97,5.94
9,18.26,36.04,8,7.35
10.02,9.76,20.93,3.65,4.58
11,13.79,28.61,5.65,5.99
13.01,15.98,33.38,6.51,7
13.03,12.78,28.74,4.43,6.46
13.04,11.63,29.01,3.51,6.73
14.02,9.76,21.8,3.63,4.89
15.01,17.06,36.78,6.88,7.96
15.02,7.55,15.98,2.73,3.49
16.01,13.21,29.07,4.69,6.53
16.05,13.87,29.77,5.24,6.54
17.01,14.59,30.58,5.92,6.4
17.02,15.81,33.38,6.42,7.16
18.02,8.71,17.52,3.62,3.58
19,9.79,21.64,3.64,4.75
20,11.23,20.94,5.31,4.13
21,21.23,43.91,8.6,9.36
23,8.83,21.21,3,4.82
24,11.7,25.71,4.22,5.79
25,11.09,23.88,4.3,5.15
26,13.74,29.67,5.3,6.48
27.01,11.33,23.93,4.35,5.31
27.02,6.55,14.82,2.42,3.21
28,16.29,35.9,5.7,8.09
29,13.03,28.18,5.02,6.23
30,11.27,24.63,4.06,5.42
31.01,14.98,33.54,5.29,7.52
31.02,13.38,30.75,4.45,6.95
32,12.77,27.33,5.12,5.78
33.01,19.76,42.84,7.45,9.3
33.02,19.92,39.3,8.86,7.92
34.02,6.59,15.06,2.3,3.35
35.01,17.54,37.46,6.47,8.37
35.02,14.45,29.3,6.16,5.97
36.01,10.93,23.65,4.14,5
36.02,16.67,35.26,6.38,7.49
37.01,21.87,48.02,8,10.44
37.02,13.48,32.2,4.22,7.4
38,11.55,26.47,3.78,5.94
39.01,11.05,25.96,3.39,6.12
39.02,24.97,50.73,10.65,10.59
40.01,8.97,24.78,1.96,6.08
40.02,30.66,66.62,12.01,13.85
41.01,11.97,27.85,3.99,6.34
41.02,23.35,46.56,9.82,9.69
42,9.02,21.36,3.04,4.82
43.02,16.82,37.58,5.99,8.17
44,13.19,29.76,4.89,6.49
45.01,21.82,48.11,7.92,10.43
45.02,11.63,27.42,3.8,6.4
46,10.2,24.87,2.97,5.87
47.01,12.07,26.39,4.38,5.82
48,13.91,30.42,5.19,6.62
49.01,12.91,30.22,4.54,6.71
49.02,17,34.62,7.02,7.33
50.02,13.33,28.66,4.97,6.22
50.03,13.9,30.86,5.07,6.89
50.04,14.73,36.63,4.63,8.43
51.01,16.16,36.91,5.7,8.19
51.02,21.65,44.34,8.96,9.31
52.01,12.67,26.25,5.28,5.46
52.02,13.79,28.95,5.34,6.23
53.01,19.63,39.85,8.23,8.29
53.02,17.21,40.27,5.57,9.53
54.01,18.33,31.86,9.52,5.76
54.02,22.41,47.38,9.24,9.89
55.01,11.44,27.25,3.76,6.3
55.02,12.52,31.52,3.85,7.14
56.02,17.47,41.37,6.05,9.44
57.02,23.19,44.56,10.39,8.92
59.06,17.87,35.92,7.4,7.42
59.07,9.91,22.35,3.6,4.9
59.09,19.01,43.08,6.25,9.94
59.1,12.29,29.74,3.73,7.02
59.11,10.55,22.15,4.01,4.79
60.02,13.75,31.52,4.63,6.97
61,10.22,26.07,2.78,6.27
62,16.44,35.53,6.35,7.53
64,16.13,31.59,6.89,6.46
65,12.37,23.47,5.65,4.71
67.01,18.15,39.87,6.7,8.68
68,11.81,27.33,3.97,6.22
69.02,5.72,12.44,2.12,2.71
100.01,9.81,23.04,3.13,5.35
100.02,15.4,32.38,5.87,7.05
101.03,6.58,16.42,1.8,3.96
101.04,23.2,50.9,9.25,10.99
101.06,12.1,25.83,4.78,5.66
103,13.8,28.91,5.46,6.21
104,14.97,31.48,5.89,6.63
110.02,19.11,45.42,6.21,10.38
110.03,11.19,31.03,2.9,7.41
110.04,12.71,33.54,3.73,8.12
111.02,10.05,21.82,3.78,4.75
111.05,14.35,32.04,4.98,7.4
111.07,16.34,40.04,5.28,8.99
112,13.87,32.55,4.48,7.35
113,10.92,23.54,4.41,5.04
114.01,15.89,43.47,4.17,10.64
114.02,10.84,26.07,3.47,6.03
115,18.22,37.5,7.49,7.81
116,13.74,30.3,5.06,6.6
117,13.04,27.55,5.29,5.79
118,9.67,19.77,4.02,4.07
120,17.26,37.01,6.39,8.15
121,17.68,38.86,6.65,8.57
122,10.65,24.48,3.51,5.52
130.03,13.32,25.75,5.88,5.19
131,11.17,19.99,5.66,3.75
132,12.2,28.53,3.94,6.33
133.01,18.01,39.34,6.67,8.61
133.02,11.45,23.75,4.45,5.14
134,13.58,26.9,5.63,5.55
135,18.29,36.85,7.77,7.59
140.02,13.55,28.35,5.4,5.98
140.03,20.76,41.98,8.37,8.8
140.04,23.65,53.09,8.55,11.8
141.01,19.05,37.12,8.28,7.56
142.01,14.1,31.35,5.23,6.82
142.02,12.06,29.06,3.89,6.76
142.03,12.52,27.58,4.8,6.02
143.01,16.16,35.35,5.96,7.68
143.02,20.31,38.31,9.67,7.43
143.03,11.06,25.72,3.82,5.78
144.04,17.56,36.73,6.96,7.81
144.06,13.78,27.45,6.04,5.66
145.01,16.81,33.05,7.22,6.7
145.02,12.45,30.74,3.84,7.21
146,17.63,35.65,7.52,7.47
147.01,14.12,28.01,5.88,5.83
147.09,15.01,30.38,6.29,6.27
148,13.25,25.89,5.72,5.27
149.02,16.01,37.28,5.52,8.59
149.05,11.04,29.57,2.84,7.13
149.08,12.51,25.54,5.19,5.39
149.09,9.06,22.68,2.64,5.33
150,18.44,48.46,4.61,11.99
151.03,49.28,100.39,20.71,20.77
151.05,23.84,45.28,10.75,9.01
151.07,4.73,10.5,1.77,2.25
151.08,16.57,34.51,6.47,7.32
160.01,23.57,48.21,9.52,10.44
160.02,6.57,14.92,2.34,3.32
160.03,11.42,24.92,4.59,5.39
160.04,10.24,23.98,3.47,5.43
161.02,13.38,29.87,4.91,6.6
161.03,12.18,26.83,4.56,5.84
161.05,14.86,32.98,5.27,7.32
161.06,5.44,13.74,1.62,3.26
161.08,8.73,27.85,1.69,7.94
161.09,9.2,20.43,3.58,4.43
162.01,18.78,39.75,7.38,8.52
162.02,10.68,24.54,3.54,5.72
162.03,13.44,29.16,4.76,6.52
162.04,9.57,22.6,3.22,5.19
163.01,21.68,47.43,8,10.33
163.04,19.76,42.35,7.76,9.08
163.05,13.6,32.07,4.67,7.12
163.06,26.15,58.69,9.6,13.02
163.07,9.69,23.35,2.9,5.65
163.08,44.57,92.85,18.42,18.81
170.03,5.73,13.01,1.97,2.88
170.04,8.12,17.13,3.16,3.68
170.05,19.78,40.88,7.92,8.71
170.07,5.4,11.91,1.97,2.62
180.01,21.78,45.95,8.43,9.85
180.04,10.59,21.39,4.6,4.37
181.03,23.09,47.25,9.65,9.93
181.05,4.6,9.84,1.7,2.15
181.07,13.12,30.21,4.48,6.81
181.08,38.65,79.58,16.04,16.72
181.09,7.89,17.73,2.84,3.92
181.11,4.33,11.71,1.17,2.77
181.12,69.42,133.29,32.32,26.31
181.13,6.87,13.94,2.7,2.99
181.14,8.03,19.37,2.37,4.59
181.16,5.91,14.18,1.95,3.28
182.01,27.01,53.45,11.3,11.28
182.04,9.21,20.84,3.31,4.66
