"CT","mx_mean","mx_lb","mx_ub","mx_se"
238.01,0.24,0.03,0.88,0.26
238.02,0.3,0.07,0.97,0.24
239.02,0.46,0.05,1.81,0.52
240.01,0.31,0.06,0.95,0.25
240.02,0.57,0.11,1.9,0.53
241,0.55,0.09,1.92,0.52
242,0.36,0.06,1.2,0.35
243.01,0.22,0.03,0.78,0.22
243.02,0.34,0.06,1.09,0.28
250.02,0.17,0.04,0.43,0.1
251.01,0.3,0.04,1.09,0.33
260.04,0.39,0.02,2.03,0.95
260.05,0.3,0.03,1.13,0.39
260.06,0.37,0.04,1.4,0.41
260.07,0.51,0.07,1.99,0.57
260.08,0.19,0.02,0.69,0.18
281.01,0.22,0.01,1.04,0.42
281.02,0.63,0.09,2.13,0.61
282.01,0.33,0.03,1.58,0.46
282.02,0.36,0.04,1.33,0.38
283,0.28,0.05,0.85,0.24
284.01,0.26,0.05,0.85,0.22
284.02,0.27,0.04,1.02,0.27
285.01,0.41,0.07,1.39,0.39
285.02,0.21,0.04,0.67,0.18
286.02,0.14,0.05,0.33,0.08
287.01,0.24,0.03,0.93,0.26
287.06,0.17,0.02,0.65,0.24
287.09,0.48,0.03,2.41,0.97
287.11,0.2,0.03,0.67,0.21
290.02,0.21,0.04,0.68,0.2
290.04,0.18,0.03,0.56,0.17
290.05,0.36,0.03,1.54,0.47
291.01,0.2,0.03,0.72,0.22
291.02,0.29,0.04,1.06,0.33
292.01,0.2,0.05,0.61,0.16
292.03,0.2,0.03,0.82,0.28
292.04,0.45,0.04,1.78,0.65
400.04,0.27,0.03,1.1,0.31
400.05,0.22,0.03,0.8,0.22
400.06,0.27,0.01,1.24,0.45
401.01,0.5,0.07,1.84,0.52
401.02,0.68,0.15,2.08,0.53
402.02,0.33,0.05,1.22,0.33
402.03,0.76,0.09,3.12,1.13
403.01,0.27,0.06,0.77,0.2
403.04,0.3,0.05,1.1,0.32
403.05,0.48,0.04,1.96,0.69
404.01,0.22,0.03,0.92,0.27
404.02,0.29,0.05,0.91,0.24
410.02,0.16,0.03,0.49,0.13
410.04,0.22,0.04,0.7,0.21
410.05,0.21,0.02,1.03,0.31
410.06,0.23,0.02,1.02,0.29
501.01,0.21,0.04,0.76,0.19
501.02,0.34,0.04,1.35,0.4
501.03,0.53,0.05,2.09,0.76
502.01,0.2,0.03,0.83,0.24
502.02,0.27,0.03,1.11,0.34
502.03,0.2,0.02,0.85,0.22
502.06,0.25,0.03,0.88,0.27
502.07,0.44,0.06,1.47,0.44
503.01,0.25,0.03,1.06,0.35
503.03,0.15,0.03,0.51,0.14
503.07,0.19,0.01,0.76,0.38
503.09,0.17,0.02,0.65,0.19
504.03,0.21,0.04,0.7,0.19
504.05,0.18,0.03,0.63,0.18
504.08,0.4,0.04,1.73,0.54
504.09,0.16,0.02,0.57,0.16
504.1,0.19,0.01,0.85,0.33
505.01,0.28,0.05,0.97,0.26
506.01,0.66,0.05,2.93,0.94
506.02,0.67,0.07,2.92,0.78
