"CT","mx_mean","mx_lb","mx_ub","mx_se"
189.05,17.57,11.62,26.04,3.75
189.06,18.65,9.77,32.3,5.81
189.08,21.9,12.43,34.43,5.65
189.09,13.51,7.16,23.39,4.33
189.1,15.88,9.13,25.08,4.1
190.03,27,18.88,37.11,4.61
190.04,17.15,9.62,27.73,4.71
190.05,18.12,8.4,35.84,7.04
191.03,24.04,14.09,39.1,6.28
191.04,37.67,24.12,57.51,8.67
191.05,26.04,15.07,44.31,7.6
192,16.67,10.69,24.96,3.72
200,14.13,7.84,24.61,4.31
201,16.48,8.69,29.12,5.28
202,10.61,6.43,17.1,2.66
203,13.23,7.3,22.39,3.97
204.01,17.29,8.4,30.63,5.71
204.02,18.06,10.69,28.49,4.52
205.02,12.21,7.48,19.6,2.98
207,12.95,6.5,23.09,4.38
208,14.79,8.91,22.94,3.59
209,13.13,8.37,19.53,2.97
210,16.06,10.5,23.86,3.43
220,17.41,9.43,31.55,5.57
221.01,17.01,8.51,30.79,5.79
221.03,12.75,6.96,21.62,3.91
221.04,13.68,9.11,20.22,2.78
222.01,15.67,9.22,25.17,4.1
222.02,16.74,8.87,30.46,5.38
223.01,20.34,12.19,32.9,5.4
223.02,15.96,9.44,26.13,4.36
224.02,20.05,12.22,30.99,4.87
225.01,15.92,8.96,26.3,4.54
225.02,16.84,10.23,26.56,4.25
226.02,12.7,6.87,22.98,4.18
226.04,15.05,8.21,26.12,4.53
228.02,14.62,8.03,24.18,4.34
228.04,12.05,7.67,18.44,2.67
229,18.38,12.54,25.38,3.36
230.01,11.47,6.95,18.92,3.14
230.02,15.93,9.42,24.42,3.82
231,14.94,9.4,22.73,3.38
232,13.7,7.8,22.4,3.87
233,11.34,7.02,17.71,2.72
234,20.61,12.51,31.59,5.04
235.02,13.46,8.36,20.74,3.16
235.03,10.82,5.48,19.69,3.75
236,11.23,6.22,18.26,3.06
237,12.07,7.1,18.98,3.12
238.01,12.47,7.09,20.75,3.49
238.02,13.98,9.39,20.7,2.94
239.02,14.22,7.68,23.81,4.25
240.01,11.24,6.97,16.91,2.61
240.02,9.28,5.25,14.85,2.56
241,12.08,7.07,20.43,3.46
242,9.19,5.22,14.98,2.58
243.01,13.24,7.65,21.26,3.51
243.02,11.73,6.69,18.79,3.31
250.02,9.03,5.47,13.69,2.17
251.01,15.11,7.5,28.86,5.41
260.04,16.47,6.72,33.06,7.05
260.05,14.2,7.03,25.37,4.85
260.06,5.99,2.82,11.02,2.08
260.07,8.03,4.01,14.07,2.68
260.08,7.29,3.96,12.83,2.35
281.01,9.84,4.6,18.48,3.52
281.02,12.06,6.73,20.37,3.45
282.01,15.96,8.43,26.83,4.85
282.02,14.92,8.16,26.62,4.65
283,16.56,10.53,24.89,3.58
284.01,12.16,7,20.04,3.21
284.02,10.32,5.73,17.38,3.03
285.01,20,11.5,33.41,5.48
285.02,15.82,10.4,22.9,3.23
286.02,9.88,6.94,13.93,1.77
287.01,12.75,6.83,21.68,3.85
287.06,11.53,7.18,18.08,2.89
287.09,11.7,5.27,23.15,4.67
287.11,7.98,4.32,13.63,2.46
290.02,20.42,13.48,30.11,4.26
290.04,9.51,5.7,14.7,2.27
290.05,11.99,5.76,22.77,4.45
291.01,9.54,5.08,16.13,2.85
291.02,10.85,5.42,19.02,3.42
292.01,8.6,5.23,13.06,2.07
292.03,11.86,6.35,21.28,3.79
292.04,9.97,4.5,19.1,3.85
400.04,15.66,8.68,26.7,4.64
400.05,15.22,8.66,24.65,4.15
400.06,13.42,5.98,25.51,5.15
401.01,34.24,20.57,53.29,8.25
401.02,24.77,16.59,35.59,4.86
402.02,18.98,11.6,29.48,4.62
402.03,25,15.34,39.16,5.96
403.01,25.49,18.05,36.33,4.7
403.04,25.1,13.92,41.45,7.05
403.05,14.03,7.21,26,4.82
404.01,16.02,8.91,26.18,4.49
404.02,14.24,8.6,22.93,3.63
410.02,13.12,8.44,19.63,2.94
410.04,12.82,6.97,21.5,3.69
410.05,17.23,9.24,30.29,5.11
410.06,18.33,9.31,32.74,5.84
