"CT","mx_mean","mx_ub","mx_lb","mx_se"
185.09,34.91,52.44,22.38,7.65
185.1,34.13,52.41,20.8,8.13
185.11,30.93,47.49,19.16,7.25
185.12,33.63,50.32,21.21,7.46
185.15,34.89,53.41,21.61,8.16
185.16,31.1,47.83,19.18,7.46
185.17,35.01,54.82,21.14,8.69
185.18,33.91,52.68,20.47,8.35
185.19,32.62,51.65,19.4,8.34
185.2,31.99,49.41,19.52,7.82
185.21,31.36,46.14,19.84,6.82
186.01,38.03,57.96,23.75,8.81
186.02,36.08,53.6,23.06,7.86
186.05,34.88,51.01,22.9,7.38
186.06,35.31,53.6,22.12,8.12
186.07,32.83,49.76,20.73,7.52
186.08,32.47,49.75,20.46,7.56
187.03,38.16,55.98,24.27,8.17
187.04,44.73,64.6,30.12,8.88
187.06,36.68,54.18,23.68,7.93
187.11,51.06,78.02,30.67,12.31
187.12,41.34,62.31,26.08,9.35
187.13,42.78,63.74,27.44,9.46
187.14,51.38,81.61,29.96,13.34
187.15,39.92,60.26,25.22,9.01
188.01,36.89,56.82,22.77,8.74
188.04,32.81,48.14,21.26,6.92
188.05,42.17,65.49,25.67,10.44
188.07,44.65,71.35,26.5,11.68
188.08,33.44,56.25,18.18,9.87
189.03,37.7,57.83,23.7,8.8
189.05,34.36,49.86,22.62,7.07
189.06,40.98,62.17,25.55,9.53
189.08,35.5,53.99,22.22,8.11
189.09,31.44,49.72,18.85,8.04
189.1,33.91,51.76,20.82,7.91
190.03,42.69,59,29.71,7.62
190.04,39.57,60.23,24.82,9.21
190.05,38.9,64.23,21.68,10.97
191.03,33.16,50.65,21.08,7.66
191.04,48.2,72.13,30.98,10.61
191.05,37.18,57.74,22.71,9.07
192,36.22,52.71,23.8,7.43
200,29.93,46.81,17.85,7.47
201,32.82,51.86,19.79,8.16
202,32.53,47.55,21.23,6.8
203,32.61,50.61,20.06,7.92
204.01,30.63,49.31,18.14,7.93
204.02,36.18,53.72,23.47,7.84
205.02,35.96,52.91,23.11,7.79
207,39.68,63.27,23.49,10.43
208,39.7,58.4,25.9,8.49
209,44.44,63.64,29.5,8.82
210,39.02,55.09,26.38,7.39
220,34.54,52.45,21.74,7.96
221.01,40.33,62.85,24.26,9.94
221.03,28.97,45.32,17.62,7.25
221.04,42.75,60.47,28.98,8.2
222.01,35.31,53.7,22.29,8.11
222.02,35.45,55.5,21.56,8.69
223.01,34.3,51.56,21.79,7.72
223.02,38.3,57.3,24.5,8.38
224.02,39.13,57.93,25.36,8.38
225.01,32.55,50.42,20.18,7.81
225.02,32.29,48.72,20.38,7.36
226.02,39.14,60.88,24.48,9.28
226.04,32.65,50.26,19.97,7.87
228.02,39.94,62.91,23.37,10.17
228.04,38.6,55.41,25.66,7.61
229,33.2,46.56,22.83,6.1
230.01,43.95,66.06,28.02,9.77
230.02,33.66,50.02,21.8,7.17
231,36.6,52.79,24.48,7.33
232,39.52,59.51,24.81,9.07
233,33.22,48.93,21.21,7.16
234,33.83,50.24,22.05,7.34
235.02,32.93,49.02,21.51,7.02
235.03,44.91,70.07,27.01,11.2
236,35.71,53.65,22.61,8.1
237,31.2,46.92,19.84,7.07
238.01,31.04,48.48,18.93,7.61
238.02,26.12,38.44,17.34,5.4
239.02,22.85,37.07,13.27,6.11
240.01,28.49,42,18.4,6.1
240.02,31.22,47.57,19.62,7.15
241,26.57,41.3,16.53,6.38
242,34.81,52.55,21.87,7.9
243.01,31.2,47.96,19.2,7.48
243.02,34.49,51.6,21.65,7.86
250.02,36.26,52.12,24.26,7.13
251.01,42.72,67.36,25.22,10.85
260.04,38.28,63.03,20.73,11.16
260.05,44.74,71.71,26.3,11.7
260.06,46.6,72.36,28.52,11.13
260.07,53.13,83.02,32.9,12.62
260.08,33.32,52.75,20.15,8.32
281.01,34.21,57.35,19.35,9.95
281.02,49.41,76.11,30.68,11.68
282.01,37.67,59.22,22.67,9.53
282.02,34.81,53.28,20.95,8.38
283,33.93,49.43,22.4,6.97
284.01,28.93,43.48,18.54,6.39
284.02,33.88,51.37,21.06,7.83
285.01,38.6,59.65,24.25,9.08
285.02,33.76,49,22.4,6.85
286.02,29.86,41.54,20.78,5.35
287.01,42.61,64.94,26.41,9.94
287.06,34.73,51.75,22.26,7.6
287.09,35.54,60.19,19.75,10.33
287.11,30.39,46.79,18.62,7.28
290.02,45.96,66.7,31.13,9.04
290.04,51.01,75.17,33.32,10.72
290.05,48.94,80.66,27.47,13.45
291.01,27.37,42.74,16.9,6.64
291.02,47.94,74.67,29.56,11.59
292.01,39.32,57.53,25.55,8.24
292.03,43.71,68.43,26.54,10.8
292.04,64.59,101.55,38.15,16.43
400.04,37.11,57.88,21.74,9.25
400.05,39.7,61.65,24.54,9.5
400.06,43.55,72.41,24.42,12.53
401.01,61.42,93.28,38.55,14.16
401.02,48.65,69.89,32.63,9.45
402.02,42.57,64.74,26.29,9.96
402.03,59.59,90.37,37.39,13.7
403.01,43.91,61.91,29.74,8.32
403.04,51.44,79.45,32,12.23
403.05,50.21,79.26,29.33,12.78
404.01,57.15,89.56,34.45,14.07
404.02,43.69,64.64,28.15,9.4
410.02,45.29,66.17,29.95,9.25
410.04,42.84,66.24,26.53,10.2
410.05,39.83,63.14,23.99,9.98
410.06,43.74,70.09,25.51,11.48
501.01,45.63,65.53,30.74,8.98
501.02,40.79,63.11,25.41,9.76
501.03,45.98,74.4,27.52,11.74
502.01,53,81.15,33,12.45
502.02,38.62,57.68,24.3,8.67
502.03,44.66,68.32,27.56,10.68
502.06,40.62,60.6,26.11,8.91
502.07,37.16,54.23,24.36,7.76
503.01,40.73,64.37,24.55,10.28
503.03,45.17,63.85,30.37,8.61
503.07,43.02,64.95,27.44,9.71
503.09,37.4,56.06,23.77,8.34
504.03,42.74,64.12,27.13,9.52
504.05,41.07,60.16,26.87,8.61
504.08,35.84,57.28,21.64,9.15
504.09,36.55,55.43,22.63,8.44
504.1,34.83,55.94,20.38,9.18
505.01,28.65,42.92,17.93,6.42
506.01,35.78,59.17,20.51,10.04
506.02,41.33,65.24,25.46,10.25
