"CT","mx_mean","mx_ub","mx_lb","mx_se"
287.01,14.39,22.55,8.6,3.57
287.06,16.9,25.55,10.67,3.87
287.09,12.84,22.27,7.09,3.82
287.11,15.29,23.7,9.3,3.71
290.02,14.81,22.23,9.61,3.23
290.04,15.55,23.46,9.8,3.55
290.05,15.18,25.3,8.46,4.3
291.01,12.82,19.9,7.87,3.08
291.02,16.42,26.56,9.8,4.26
292.01,14.65,21.98,9.43,3.2
292.03,15.28,23.85,9.21,3.84
292.04,16.22,26.49,9.21,4.41
400.04,12.57,20.28,7.13,3.39
400.05,13.46,21.05,8.08,3.35
400.06,13.2,22.07,7.2,3.85
401.01,16.28,25.6,9.78,4
401.02,14.36,21.26,9.18,3.11
402.02,16.37,25.41,9.91,3.97
402.03,15.98,25.07,9.52,4.05
403.01,15.47,22.58,10.22,3.2
403.04,15.64,24.35,9.54,3.85
403.05,16.67,26.61,9.48,4.42
404.01,15.12,24.42,8.78,3.96
404.02,13.33,20.28,8.31,3.07
410.02,15.71,23.28,10.24,3.33
410.04,14.86,22.91,9.37,3.44
410.05,16.83,26.5,10.04,4.25
410.06,15.92,25.63,9.44,4.13
501.01,12.51,18.56,8.03,2.7
501.02,12.13,19.3,7.1,3.19
501.03,12.51,20.48,7.13,3.43
502.01,14.27,21.82,8.83,3.35
502.02,14.28,22.09,8.74,3.42
502.03,13.93,21.87,8.33,3.49
502.06,13.45,20.31,8.48,3.07
502.07,13.03,19.96,8.09,3.05
503.01,13.64,21.18,8.23,3.34
503.03,13.72,20.04,8.92,2.87
503.07,13.68,21.29,8.21,3.39
503.09,13.56,20.48,8.56,3.13
504.03,14.31,21.76,8.97,3.28
504.05,12.98,19.6,8.18,2.94
504.08,14.22,22.88,8.48,3.69
504.09,12.71,19.04,7.83,2.89
504.1,13.86,22.27,8.02,3.69
505.01,12.05,18.39,7.29,2.81
506.01,13.47,23.13,7.49,4.07
506.02,12.33,20.55,6.99,3.54
