"CT","mx_mean","mx_ub","mx_lb","mx_se"
243.02,118.26,187.71,71.12,30.4
250.02,65.14,100.35,39.72,15.55
251.01,79.12,134.21,42.01,23.87
260.04,89.84,157.65,46.59,28.99
260.05,94.09,156.16,50.51,27.33
260.06,76.12,127.89,42.05,21.94
260.07,120.31,199.61,64.8,35.15
260.08,64.01,111.73,34.03,19.65
281.01,131.11,221.45,73.05,38.51
281.02,139.39,218.99,84.83,34.45
282.01,126.27,202.06,74.48,32.84
282.02,122.44,195.37,71.1,32.07
283,116.72,175.11,73.14,26.72
284.01,94.48,146.87,56.79,23.21
284.02,89.83,140.81,53.41,22.45
285.01,157.15,249.24,93.46,40.26
285.02,88.11,133.78,54.87,20.36
286.02,79.76,114.12,53.32,15.89
287.01,93.36,154.53,53.02,25.98
287.06,95.04,148.45,57.3,23.6
287.09,121.22,213.87,63.53,39.53
287.11,87.55,140.01,50.06,23.53
290.02,114.83,176.72,70.52,27.36
290.04,83.21,129.95,49.83,20.62
290.05,126.89,217.48,69.26,39.27
291.01,50.67,83.3,28.08,14.35
291.02,116.91,186.33,68.4,30.13
292.01,90.26,138.61,56.62,21.26
292.03,97.24,161.31,53.92,27.86
292.04,99.01,174.12,52.17,31.91
400.04,47.33,80.56,26,14.16
400.05,80.72,130.9,46.24,22.13
400.06,74.9,139.68,35.64,26.46
401.01,121.66,193.05,73.56,30.63
401.02,100.88,153.6,63.04,23.31
402.02,72.95,118.05,42.84,19.33
402.03,134.93,211.57,81.54,33.64
403.01,96.48,143.01,62.39,20.77
403.04,97.54,155.19,57.43,25.04
403.05,128.93,214.84,73.8,36.4
404.01,98.45,158.66,56.29,26.37
404.02,90.36,141.58,54.94,22.34
410.02,99.47,153.87,60.88,23.82
410.04,83.41,137.03,46.6,23.64
410.05,105.15,173.78,60.79,29.52
410.06,131.19,218.31,74.79,37.25
501.01,70.2,107.47,43.54,16.4
501.02,60.76,97.83,34.18,16.31
501.03,79.97,133.99,45.12,22.65
502.01,93.6,150.01,52.14,25.47
502.02,113.74,174.71,69.46,27.31
502.03,105.97,169.49,62.49,27.73
502.06,95.62,147.98,57.86,23.38
502.07,67.83,102.38,42.25,15.59
503.01,106.56,177.3,57.3,31.1
503.03,106.22,157.65,67.66,23.54
503.07,154.03,233.8,94.64,36.64
503.09,100.91,159.66,58.95,26.23
504.03,90.1,146.45,52.18,24.08
504.05,87.33,135.59,53.28,21.29
504.08,78.88,129.25,44.6,21.77
504.09,65.1,106.54,36.72,18.21
504.1,137.25,225.03,79.9,37.43
505.01,49.35,78.86,28.52,12.96
506.01,93.08,162.9,49.9,29.44
506.02,84.7,138.29,48.86,23.11
