"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,8.27,15.37,3.96,2.98
1.02,10.06,20.8,4.16,4.41
2.01,11.83,25.61,5,5.34
2.04,7.92,15.22,3.64,3.06
3.01,5.77,14.62,1.84,3.44
3.02,6.15,15.59,1.94,3.59
4.01,9.23,17.69,4.08,3.53
5,9.83,21.46,3.6,4.62
6.01,11.95,25.16,4.61,5.34
6.02,7.03,15.83,2.53,3.58
7.01,11.56,25.19,4.56,5.28
7.02,7,16.76,2.28,3.85
8.01,14.27,35.68,4,8.72
8.02,14.31,29.93,5.66,6.22
9,8.79,17.99,3.62,3.65
10.02,9.61,19.47,3.94,4.21
11,12.65,24.78,5.38,5.14
13.01,7.81,16.55,3.02,3.55
13.03,5.38,12.45,1.71,2.89
13.04,8.06,19.78,2.54,4.51
14.02,5.5,12.52,1.91,2.77
15.01,9.71,20.55,3.67,4.52
15.02,4.04,8.82,1.52,1.99
16.01,9.46,20.45,3.51,4.42
16.05,7.43,16.41,2.71,3.64
17.01,5.27,11.21,1.91,2.48
17.02,11.1,22.63,4.32,4.88
18.02,8.32,16.13,3.73,3.25
19,7.92,17.08,2.96,3.71
20,7.36,13.4,3.62,2.52
21,8.39,19.63,2.95,4.31
23,10.18,20.7,4.15,4.42
24,9.91,21.2,3.84,4.64
25,7.4,15.45,2.86,3.22
26,9.73,19.45,3.8,4.09
27.01,7.79,16.29,2.92,3.6
27.02,4.68,9.79,1.78,2.14
28,9.05,21.26,3.03,4.83
29,8.19,17.33,3.3,3.69
30,10.79,22.51,4.41,4.88
31.01,10.62,23.64,3.89,5.13
31.02,6.82,16.48,2.29,3.77
32,8.92,18.75,3.65,4.01
33.01,11.07,24.64,4.17,5.26
33.02,6.83,14.4,2.63,3.07
34.02,10.98,22.79,4.42,4.71
35.01,6.27,15.08,2,3.44
35.02,5.87,12.45,2.2,2.76
36.01,10.66,22.16,4.27,4.76
36.02,5.53,14.07,1.61,3.29
37.01,10.67,24.48,3.6,5.52
37.02,8.34,20.08,2.6,4.6
38,7.87,16.99,2.72,3.83
39.01,6.9,16.59,2.15,3.83
39.02,10.15,20.8,4.12,4.45
40.01,8.15,20.32,2.41,4.67
40.02,12.03,25.06,4.53,5.42
41.01,11.8,24.2,4.97,4.96
41.02,9.61,19.8,3.93,4.17
42,12.62,27.01,5.02,5.81
43.02,9.67,21.81,3.34,5.02
44,12.82,26.62,5.51,5.83
45.01,11.06,25.12,3.74,5.67
45.02,13.07,27.93,4.93,6.05
46,12.44,27.24,4.69,5.92
47.01,13.76,27.72,5.81,5.74
48,8.86,19,3.57,4.04
49.01,10.94,23.22,4.32,5.03
49.02,11.25,22.94,4.45,4.82
50.02,8.85,18.84,3.35,4.07
50.03,8.74,19.91,3.1,4.35
50.04,8.64,22.26,2.5,5.37
51.01,9.74,23.04,3.31,5.51
51.02,8.17,17.75,3,3.84
52.01,9.16,19.4,3.68,4.04
52.02,6.02,13.34,2.2,2.97
53.01,18.22,35.42,8.04,7.18
53.02,9.71,23.68,2.73,5.49
54.01,7.56,14.33,3.54,2.77
54.02,12.65,25.99,5.16,5.52
55.01,6.47,16.08,1.99,3.82
55.02,10.75,25.45,3.55,5.76
56.02,7.01,17.48,2.12,4.08
57.02,7.68,16.4,2.93,3.48
59.06,5.43,13.98,1.46,3.34
59.07,16.25,31.55,7.76,6.12
59.09,8.81,22.8,2.31,5.39
59.1,15.73,37.09,4.86,8.42
59.11,12.61,25.81,5.23,5.32
60.02,8.6,19.83,2.69,4.57
61,10.23,25.01,3.23,5.74
62,9.73,21.92,3.61,4.73
64,11.18,21.75,4.95,4.36
65,7.97,15.46,3.45,3.17
67.01,17.82,37.83,6.81,8.08
68,11.94,25.89,4.55,5.61
69.02,5.54,11.4,2.18,2.4
100.01,14.46,29.19,5.97,6.12
100.02,12.92,26.25,5.23,5.53
101.03,12.85,26.2,5.21,5.57
101.04,16.02,33.97,6.67,7.13
101.06,11.5,22.4,5.15,4.61
103,13.88,26.75,6.27,5.27
104,10.64,21.6,4.35,4.53
110.02,19.61,44.92,6.92,9.91
110.03,11.52,29.57,3.42,6.79
110.04,18.09,41.25,6.64,9.46
111.02,15.08,29.28,6.78,5.86
111.05,11.18,24.03,4.63,5.05
111.07,9.32,22.13,3.13,5.04
112,11.42,26.14,3.84,5.91
113,13.1,25.31,6.05,5.06
114.01,10.99,27.43,3.26,6.47
114.02,9.15,21.15,2.87,4.92
115,8.52,18.09,3.35,3.91
116,9.5,20.17,3.53,4.44
117,14.03,27.13,6.16,5.38
118,9.68,18.95,4.43,3.78
120,12.73,28.19,4.77,6.04
121,11.59,25.3,4.35,5.49
122,9.74,22.03,3.67,4.87
130.03,13.14,25,5.99,4.98
131,13.41,23.31,6.97,4.19
132,21.15,44.13,8.23,9.32
133.01,11.56,26.18,3.95,6.03
133.02,11.9,26.16,4.78,5.45
134,8.32,16.85,3.52,3.54
135,16.49,31.93,7.13,6.64
140.02,10.78,21.19,4.69,4.31
140.03,8.68,19.02,3.25,4.15
140.04,7.73,19.56,2.24,4.51
141.01,12.16,23.17,5.41,4.63
142.01,11.06,23.57,4.23,5.09
142.02,8.29,19.46,2.76,4.6
142.03,7.39,16.71,2.85,3.57
143.01,6.33,13.91,2.21,3.14
143.02,13.03,24.53,6.19,4.76
143.03,5.76,12.56,1.92,2.86
144.04,9.74,21.17,3.58,4.6
144.06,11.01,21.6,4.94,4.38
145.01,8.27,17.16,3.52,3.46
145.02,17.83,38,6.88,8.43
146,11.75,24.87,4.68,5.43
147.01,10.7,20.65,4.68,4.13
147.09,7.14,14.49,3.01,3.04
148,7.45,14.65,3.37,2.97
149.02,7.81,18.27,2.47,4.21
149.05,9.48,24.28,2.97,5.5
149.08,9.47,18.93,4.22,3.87
149.09,7.73,19.31,2.45,4.45
150,11.49,29.82,3.25,7.15
151.03,8.59,20.81,2.74,4.76
151.05,11.76,23.89,5.18,4.87
151.07,10.6,19.69,5.1,3.79
151.08,7.32,16,2.52,3.67
160.01,11.48,26.2,3.77,5.87
160.02,17.27,32.01,8.09,6.28
160.03,12.63,26.53,5.19,5.56
160.04,11.1,23.18,4.27,5.03
161.02,10.14,21.09,3.98,4.58
161.03,14.4,29.11,6.14,6.09
161.05,9.01,20.63,3.05,4.62
161.06,10.16,22.23,3.81,4.76
161.08,8.2,24.01,1.82,6.46
161.09,6.88,15.04,2.65,3.2
162.01,10.34,22.68,4.03,4.87
162.02,8.47,19.16,3.12,4.15
162.03,8.79,18.67,3.44,4.08
162.04,8.86,20.22,3.18,4.45
163.01,6.94,17.45,2.08,4.17
163.04,8.59,19.4,2.99,4.31
163.05,10.5,22.87,3.8,4.9
163.06,10.74,24.49,3.69,5.48
163.07,10.63,23.36,3.86,5.13
163.08,11.18,26.81,3.59,6.21
170.03,15.4,28.15,7.34,5.48
170.04,10.54,20.2,4.74,4.02
170.05,16.22,32.34,7.25,6.53
170.07,7.7,15.87,3.42,3.24
180.01,11.08,23.91,4.09,5.32
180.04,9.72,19.16,4.28,3.87
181.03,14.95,29.03,6.29,5.97
181.05,13.89,24.58,7.05,4.47
181.07,11.81,27.08,4.04,6.05
181.08,13.31,31.41,4.39,6.94
181.09,9.58,19.68,4.23,4
181.11,14.18,30.75,5.52,6.57
181.12,10.93,25.88,3.5,6.01
181.13,12.7,23.03,6.17,4.37
181.14,13.2,28.9,5.05,6.14
181.16,3.33,7.9,1.05,1.79
182.01,11.64,25.06,4.69,5.33
182.04,14.52,28.31,6.33,5.71
182.05,6.58,15.22,2.31,3.38
183.01,9.66,22.34,3.32,5.02
183.03,12.37,25.2,5.2,5.16
183.05,9.52,19.7,3.97,4.1
183.06,5.81,12.78,2.2,2.82
183.07,6.04,14.06,2.1,3.23
184.02,9.99,19.9,4.29,4.15
184.06,9.83,21.95,3.28,5.1
184.07,11.62,24.24,4.89,5.07
184.08,11.29,26.05,3.83,5.97
184.09,7.51,18.08,2.21,4.36
184.1,7.75,19.23,2.38,4.44
184.11,8.45,19.61,2.71,4.53
184.12,8.56,22.07,2.52,5.06
184.13,10.97,26.6,3.62,6.11
184.14,11.97,30.66,3.8,7.49
184.15,22.35,48.41,8.59,10.6
184.16,9.54,21.53,3.06,4.94
185.05,9.4,21.54,3.32,4.72
185.07,5.54,12.9,1.96,2.87
185.08,18.01,45.14,5.11,10.8
185.09,13.8,29.22,5.27,6.42
185.1,17.12,35.6,6.6,7.67
185.11,11.12,24.28,4.38,5.41
185.12,9.21,20.42,3.31,4.61
185.15,9.14,20.75,3.12,4.69
185.16,8.93,21.24,2.96,4.89
185.17,6.17,15.33,1.78,3.59
185.18,6.56,16.59,1.99,3.93
185.19,7.02,17.81,2.07,4.24
185.2,12.53,28.84,4.27,6.55
185.21,10.98,22.35,4.44,4.68
186.01,7.81,17.73,2.83,3.97
186.02,6.1,14.7,2.05,3.35
186.05,11,22.81,4.38,4.79
186.06,15.81,34.2,5.97,7.55
