"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.59,3.79,7.81,1.06
1.02,5.91,3.84,8.5,1.2
2.01,5.73,3.57,8.58,1.28
2.04,6.06,4.11,8.44,1.15
3.01,5.76,3.62,8.83,1.28
3.02,5.89,3.83,8.79,1.29
4.01,6.75,4.52,9.61,1.3
5,5.3,3.49,7.86,1.11
6.01,4.67,3.02,6.83,1.01
6.02,6,3.98,8.72,1.28
7.01,4.69,3.05,6.95,1.01
7.02,4.61,3,6.7,1.01
8.01,6,3.6,9.36,1.49
8.02,6.34,3.88,9.61,1.45
9,3.87,2.6,5.45,0.75
10.02,5.53,3.68,8.04,1.17
11,5.71,3.88,8.21,1.15
13.01,6.01,3.82,8.98,1.28
13.03,6.16,4.03,9.3,1.36
13.04,5.78,3.61,8.62,1.29
14.02,5.9,3.6,8.91,1.37
15.01,5.82,3.72,8.49,1.27
15.02,4.71,3.14,6.79,0.92
16.01,6.47,4.21,9.47,1.35
16.05,6.32,4.11,9.29,1.35
17.01,6.47,4.32,9.37,1.33
17.02,6.21,4.1,9.04,1.31
18.02,6.78,4.56,9.75,1.3
19,6.93,4.67,10.11,1.42
20,6.27,4.34,8.73,1.14
21,5.42,3.55,8.02,1.15
23,4.75,3.13,7.1,0.98
24,4.39,2.88,6.57,0.95
25,4.19,2.71,6.17,0.88
26,4.18,2.74,6.11,0.86
27.01,3.83,2.51,5.61,0.82
27.02,4.59,3.03,6.52,0.88
28,5.73,3.64,8.47,1.21
29,7.81,5.04,11.54,1.62
30,6.92,4.5,9.87,1.37
31.01,6.86,4.45,10.07,1.46
31.02,6.8,4.51,9.86,1.37
32,7.83,5.17,11.37,1.6
33.01,7.43,4.79,11.01,1.6
33.02,7.13,4.69,10.32,1.45
34.02,7.2,4.85,10.2,1.45
35.01,7.24,4.71,10.39,1.49
35.02,6.82,4.66,9.62,1.28
36.01,8.26,5.51,11.76,1.67
36.02,7.66,4.83,11.33,1.74
37.01,7.13,4.77,10.26,1.45
37.02,7.1,4.52,10.13,1.47
38,7.48,5.06,10.69,1.45
39.01,6.63,4.42,9.67,1.34
39.02,6.49,4.23,9.24,1.33
40.01,4.77,2.91,7.48,1.18
40.02,4.64,3.06,6.99,0.99
41.01,4.65,2.99,6.84,1
41.02,4.17,2.66,6.07,0.86
42,4.22,2.73,6.26,0.9
43.02,4.39,2.7,6.51,0.97
44,5.1,3.26,7.47,1.13
45.01,5.09,3.11,7.83,1.23
45.02,4.48,2.89,6.7,0.98
46,4.15,2.68,5.93,0.87
47.01,5.42,3.46,8.39,1.21
48,4.42,2.72,6.58,0.99
49.01,5.54,3.63,8.11,1.18
49.02,4.52,2.68,7.13,1.13
50.02,7.33,5.03,10.9,1.45
50.03,8.34,5.28,12.17,1.8
50.04,7.72,4.84,11.63,1.72
51.01,6.21,4.1,9.34,1.31
51.02,7.99,5.29,11.41,1.64
52.01,6.67,4.47,9.66,1.29
52.02,6.71,4.31,9.57,1.38
53.01,7.04,4.41,10.39,1.54
53.02,6.53,4.08,10.31,1.57
54.01,7.51,5.29,10.58,1.37
54.02,7.19,4.66,10.7,1.49
55.01,8.51,5.47,12.72,1.93
55.02,8.65,5.35,13.33,2.12
56.02,8.7,5.61,13.1,2.01
57.02,7.21,4.97,10.29,1.39
59.06,10.51,6.59,16.22,2.44
59.07,5.2,3.26,7.94,1.19
59.09,5.62,3.44,8.81,1.43
59.1,6.81,4.18,10.75,1.65
59.11,12.84,7.93,19.86,3.04
60.02,5.22,3.13,8.24,1.28
61,4.09,2.35,6.7,1.16
62,4.1,2.51,6.24,0.95
64,4.63,2.98,6.83,0.98
65,6.16,4.09,8.96,1.27
67.01,5.52,3.46,8.35,1.3
68,5.23,3.27,7.81,1.17
69.02,4.47,2.94,6.37,0.87
100.01,6.94,4.56,10.17,1.47
100.02,6.01,3.82,9.16,1.37
101.03,4.85,3.05,7.36,1.07
101.04,5.01,3.24,7.25,1.06
101.06,5.67,3.68,8.37,1.23
103,4.75,3.15,6.91,0.95
104,5.6,3.61,8.07,1.16
110.02,5.82,3.22,10.03,1.76
110.03,5.16,3.11,8.01,1.27
110.04,4.97,2.95,7.72,1.25
111.02,5.08,3.21,7.55,1.11
111.05,6.7,4.09,10.35,1.6
111.07,4.65,2.99,6.97,1
112,6.64,4.15,10.09,1.56
113,5.14,3.37,7.58,1.06
114.01,5.12,3.01,8.21,1.3
114.02,5.88,3.63,8.98,1.37
115,5.59,3.64,7.99,1.18
116,4.93,3.13,7.34,1.06
117,4.95,3.1,7.29,1.08
118,5.32,3.42,7.6,1.08
120,4.18,2.64,6.54,0.97
121,5.13,3.16,8.19,1.28
122,5.44,3.42,8.17,1.23
130.03,4.9,3.13,7.35,1.08
131,4.42,2.91,6.01,0.8
132,5.45,3.35,8.62,1.35
133.01,4.93,2.78,7.9,1.33
133.02,4.59,2.79,7.11,1.09
134,5.07,3.28,7.67,1.14
135,4.93,3.05,7.16,1.09
140.02,5.66,3.77,8.02,1.1
140.03,6.36,4.12,9.38,1.35
140.04,5.86,3.58,9.2,1.44
141.01,5.08,3.27,7.74,1.1
142.01,5.11,3.29,7.64,1.15
142.02,6.16,3.89,9.57,1.46
142.03,5.22,3.26,7.89,1.23
143.01,4.79,3.13,7.46,1.08
143.02,5.6,3.73,8,1.11
143.03,5.79,3.75,8.77,1.31
144.04,5.51,3.41,8.43,1.31
144.06,5.31,3.49,7.89,1.13
145.01,5.4,3.53,7.86,1.11
145.02,5.99,3.59,9.14,1.48
146,5.15,3.29,7.72,1.12
147.01,5.79,3.71,8.64,1.27
147.09,5.52,3.59,8.06,1.15
148,5.94,4,8.45,1.18
149.02,4.7,2.85,7.34,1.21
149.05,5.67,3.63,8.47,1.28
149.08,4.36,2.79,6.39,0.95
149.09,5.4,3.41,8.15,1.25
150,6.24,3.98,9.42,1.4
151.03,6.06,3.98,9.12,1.29
151.05,6,3.93,8.88,1.27
151.07,5.42,3.67,7.61,1.07
151.08,5.36,3.44,8.05,1.22
