"CT","mx_mean","mx_ub","mx_lb","mx_se"
501.03,20.55,47.12,7.17,10.28
502.01,34.01,70.87,13.31,15.21
502.02,14.63,30.08,5.61,6.54
502.03,47.23,94.51,21.73,19.15
502.06,10.19,22.68,3.75,4.93
502.07,8.09,16.79,3.41,3.47
503.01,82.57,165.1,35.86,33.04
503.03,5.6,12.18,2.03,2.67
503.07,7.18,16.38,2.49,3.69
503.09,20.06,43.43,7.65,9.18
504.03,13.82,30.91,4.79,6.99
504.05,7.29,15.61,2.8,3.35
504.08,6.35,16,1.78,3.81
504.09,12.52,28.67,4.38,6.39
504.1,6.26,17.63,1.55,4.24
505.01,9.27,20.43,3.38,4.45
506.01,5.49,16.63,1.16,4.07
506.02,3.76,10.25,0.91,2.53
