"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,30.61,23.35,39.2,4.09
1.02,29.84,21.91,39.89,4.67
2.01,28.54,19.83,39.81,5.11
2.04,29.57,22.97,37.55,3.83
3.01,30.46,21.21,42.09,5.39
3.02,39.59,27.88,54.78,6.93
4.01,33.62,25.32,43.12,4.54
5,30.62,22.32,41.61,4.91
6.01,27.29,19.39,38.53,4.83
6.02,34.31,25.18,47.41,5.57
7.01,29.88,21.64,41.75,5.21
7.02,32.34,23.2,44.33,5.64
8.01,30.06,19.69,43.64,6.07
8.02,41.22,28.56,55.92,6.75
9,27.95,21.33,37.02,3.95
10.02,27.12,19.66,36.71,4.32
11,29.45,21.68,39.13,4.56
13.01,28.48,19.73,39.62,5.04
13.03,26.08,18.14,36.33,4.76
13.04,28.97,19.7,41.07,5.45
14.02,28.64,19,41.14,5.7
15.01,25.41,17.83,34.93,4.49
15.02,30.06,22.77,39.78,4.29
16.01,34.41,24.7,46.68,5.74
16.05,33.25,23.15,45.32,5.64
17.01,30.11,22.06,40.15,4.71
17.02,36.57,26.81,48.37,5.8
18.02,30.68,23.02,39.72,4.2
19,30.99,22.74,42.59,4.91
20,30.62,24.02,39.01,3.91
21,29.96,21.16,40.89,5.15
23,29.19,21.57,38.79,4.49
24,28.58,19.62,40.38,5.21
25,27.17,19.64,36.86,4.39
26,27.34,19.69,37.18,4.42
27.01,31.8,23.32,42.3,4.9
27.02,33.53,25.79,42.97,4.47
28,35.73,25.14,48.94,6.07
29,63.7,46.95,85.01,9.28
30,31.2,22.2,41.29,4.79
31.01,38.24,27.58,52.93,6.32
31.02,34.46,25.16,48.47,5.67
32,40.77,29.87,54.43,6.22
33.01,36.54,26.73,50.15,5.98
33.02,33.19,24.19,44.13,5.12
34.02,35.54,26.71,46.61,5.35
35.01,32.89,23.71,45.42,5.54
35.02,38.96,29.51,49.6,5.25
36.01,45.79,33.88,60.24,6.95
36.02,36.98,25.78,51.86,6.8
37.01,47.33,34.96,63.41,7.25
37.02,49.1,34.53,67.56,8.31
38,52.93,39.34,69.79,7.6
39.01,40.85,29.9,54.23,6.33
39.02,54.26,40.08,71.56,8.17
40.01,37.47,23.53,55.34,8.04
40.02,39.01,28.6,53.36,6.26
41.01,32.53,22.62,44.62,5.73
41.02,30.79,21.73,41.73,4.93
42,27.54,20.08,37.8,4.53
43.02,25.51,17.24,35.15,4.6
44,31.87,22.98,42.71,5.2
45.01,28.58,19.01,41.19,5.6
45.02,31.45,22.06,43.97,5.53
46,36.08,25.31,49.18,6.09
47.01,40.21,29.88,54.11,6.42
