"CT","mx_mean","mx_ub","mx_lb","mx_se"
188.08,28.37,60.64,11.13,12.98
189.03,36.37,68.54,16.71,13.3
189.05,47.16,76.48,26.97,12.71
189.06,62.92,113.43,29.42,21.73
189.08,56.07,103.44,28.01,19.96
189.09,40.05,76.42,17.22,15.59
189.1,33.05,61.71,15.91,12.11
190.03,77.91,118.08,48.82,18.04
190.04,54.98,93.83,28.82,16.94
190.05,61.74,127.35,24.74,27.33
191.03,38.47,70.24,18.85,13.34
191.04,87.86,143.38,48.73,24.79
191.05,61.66,112.21,30.27,21.28
192,57.65,99.23,31.18,17.73
200,45.97,88.62,21.98,17.03
201,38.24,74.9,17.42,15.1
202,35.54,60.29,18.77,10.72
203,34.29,63.69,16.73,12.34
204.01,53.87,98.88,25.06,19.67
204.02,44.21,76.81,22.54,14.35
205.02,24.42,40.74,13.25,7.28
207,50.98,103.24,20.68,20.95
208,44.49,77.54,22.46,14.03
209,69.31,109.4,40.46,17.53
210,47.49,77.87,27.07,13.02
220,43.49,81.49,20.44,15.79
221.01,35.3,71.41,15.75,14.11
221.03,30.3,57.3,13.98,11.09
221.04,50.88,80.68,30.46,13.09
222.01,36.43,65.73,18.05,12.57
222.02,49.22,88.09,25.04,16.41
223.01,38,69.55,19.02,13.15
223.02,36.91,68.3,17.43,13.1
224.02,51.48,87.85,28.22,14.95
225.01,37.21,65.69,18.14,12.44
225.02,41.25,74.3,21.78,13.59
226.02,25.57,48.9,12.43,9.44
226.04,35.31,67.31,16.43,13.06
228.02,46.37,85.48,22.79,16.2
228.04,31.62,52.17,17.65,9.1
229,55.4,85.48,33.91,13.59
230.01,31.06,57.05,15.14,10.83
230.02,40.03,71.05,20.69,12.93
231,41.69,68,23.32,11.63
232,38.63,71.98,18.79,13.46
233,36.72,63.41,20.05,11.22
234,91.46,140,57.35,21.26
235.02,35.07,61.07,18.45,10.98
235.03,48.72,88.82,24.9,16.36
236,28.1,51.02,13.27,9.75
237,28.84,48.8,15.35,8.98
238.01,21.55,41.21,9.79,8.01
238.02,27.08,44.46,15.55,7.57
239.02,13.41,28.14,5.35,6.03
240.01,30.35,53.37,15.94,9.68
240.02,32.48,56.85,17.02,10.61
241,29.76,51.64,15.58,9.47
242,30.14,53.04,15.61,9.71
243.01,25.6,47.51,12.64,9.04
243.02,30.61,57.38,14.73,11.12
250.02,31.04,53.16,15.83,9.84
251.01,35.96,73.08,15.15,15.35
260.04,24.23,56.32,8.5,12.77
260.05,39.09,78.49,17.66,15.3
260.06,23.22,44.13,10.04,8.88
260.07,70.61,126.97,37.24,22.85
260.08,38.61,74.67,16.89,15.09
281.01,40.36,77.04,18.04,15.47
281.02,35.92,65.6,17.72,12.13
282.01,60.61,111.17,28.54,21.49
282.02,35.59,66.03,16.85,12.73
283,51.83,86.1,28.98,14.6
284.01,53.56,92.62,29.16,16.72
284.02,36.85,67.03,18.22,12.63
285.01,44.65,81.42,20.71,16.03
285.02,39.82,65.41,22.26,11.05
286.02,27.59,41.85,16.82,6.5
287.01,22.02,42.18,9.71,8.8
287.06,45.25,77.03,25.2,13.15
287.09,30.99,61.77,12.81,13.66
287.11,36.45,65.49,17.91,12.72
290.02,62.22,99.18,36.51,16.23
290.04,30.41,53.74,15.97,9.68
290.05,34.85,73,13.32,15.74
291.01,12.29,24.15,5.21,5.02
291.02,27.61,51,13.37,9.77
292.01,19.77,35.78,10.1,6.63
292.03,39.82,79.15,18.53,15.74
292.04,28.91,57.89,11.37,12.17
400.04,28.39,53.28,12.95,10.37
400.05,36.7,68.11,17.45,13.24
400.06,86.72,169.7,39.31,33.56
401.01,55.78,97.08,28.6,17.79
401.02,49.19,78.27,28.3,13.06
402.02,40.34,70.61,20.78,12.87
402.03,47.31,81.65,24.69,14.93
403.01,45.75,74.2,25.56,12.46
403.04,31.61,58.44,14.75,11.3
403.05,37.82,74.72,17.28,14.71
404.01,42.39,77.71,20.61,14.67
404.02,52.61,88.67,29.45,15.2
410.02,38.63,64.24,21.24,11.25
