"CT","mx_mean","mx_lb","mx_ub","mx_se"
186.06,24.27,12.49,41.34,7.67
186.07,18.31,9.31,32.37,6.03
186.08,29.82,15.57,50.19,9.07
187.03,23.05,12.34,39.07,6.79
187.04,47.16,29.63,70.93,10.36
187.06,15.94,9.64,26,4.19
187.11,31.49,16.76,55.13,9.99
187.12,16.93,8.79,29.19,5.29
187.13,19.77,10.42,33.55,6.21
187.14,33.12,19.59,52.46,8.29
187.15,31.62,20.2,47.11,7.18
188.01,17.4,8.61,30.6,5.92
188.04,31.74,18.45,51.59,8.9
188.05,16.68,7.66,32.78,6.53
188.07,24.45,11.4,47.21,8.97
188.08,14.6,5.74,28.84,6.57
189.03,23.05,11.83,40.25,7.52
189.05,18.56,11.44,28.29,4.32
189.06,19.15,9.18,34.75,6.29
189.08,27.23,14.07,47.32,8.24
189.09,17.97,8.51,34.81,6.5
189.1,18.15,9.2,35.61,6.48
190.03,36.25,26.06,50.6,6.45
190.04,30.29,18.07,50.08,8.28
190.05,35.35,15.13,70.12,14.94
191.03,24.86,13.69,42.39,7.43
191.04,52.7,32.37,79.2,12.29
191.05,25.73,13.77,44.29,8.03
192,33.59,19.35,55.12,9.39
200,33.74,18.02,59.02,10.49
201,29.28,14.38,53.2,9.69
202,21.56,12.72,34.22,5.53
203,24.06,13.25,42.45,7.45
204.01,18.68,9.34,35.02,6.48
204.02,22.87,13.3,36.11,5.96
205.02,20.14,13.12,29.57,4.31
207,46.66,22.66,89.34,16.88
208,36.35,21.86,56.08,8.64
209,50.62,34.58,70.08,9.35
210,31.71,21.05,44.96,6.42
220,41.37,18.99,81.53,16.56
221.01,28.42,14.65,49.96,9.29
221.03,20.07,10.86,34.23,6.13
221.04,27.9,19.06,39.3,5.18
222.01,18.86,10.45,32.42,5.46
222.02,16.49,8.24,29.9,5.36
223.01,27.72,15.04,46.51,8.2
223.02,23.74,12.16,41.01,7.55
224.02,40.94,27.54,58.46,8.38
225.01,23.27,13.22,38.51,6.57
225.02,31.78,18.61,48.28,7.72
226.02,22.67,12.4,37.93,6.51
226.04,19.5,10.21,34.54,6.04
