"CT","mx_mean","mx_ub","mx_lb","mx_se"
187.06,8.32,19.16,2.8,4.35
187.11,19.92,48.89,6.02,11.24
187.12,8.91,21.66,2.76,5.01
187.13,12.37,30.08,4.06,6.86
187.14,11.31,27.5,3.21,6.62
187.15,7.24,17.6,2.3,4.1
188.01,11.13,27.86,3.41,6.36
188.04,8.44,19.72,2.71,4.53
188.05,10.7,28.02,2.7,7.37
188.07,13.03,35.52,3.53,8.51
188.08,10.5,29.71,2.43,7.58
189.03,39.12,83.23,15.73,17.52
189.05,5.16,11.45,1.81,2.55
189.06,13.44,31.56,4.41,7.04
189.08,12.54,28.84,4.06,6.49
189.09,18.35,43.13,6.16,9.74
189.1,71.76,142.16,31.78,28.35
190.03,4.25,8.82,1.7,1.91
190.04,7.03,17.2,2.16,4.07
190.05,21.16,55.2,5.61,12.94
191.03,24.66,52.62,10.19,10.94
191.04,10.52,23.57,3.78,5.3
191.05,11.85,28.95,3.72,6.72
192,7.18,18.55,2.03,4.38
200,7.36,19.72,1.94,4.82
201,15.06,38.31,4.44,9.1
202,5.53,12.72,1.88,2.91
203,8.29,20.69,2.49,4.99
204.01,19.06,43.64,6.85,9.43
204.02,45.34,85.35,21.67,16.58
205.02,4.77,10.86,1.61,2.52
207,32.46,75.68,11.15,17.22
208,19.67,38.3,8.71,7.72
209,13.79,26.75,5.88,5.51
210,3.12,7.17,0.98,1.59
220,13.99,40.12,3.57,9.72
221.01,25.36,56.65,8.83,12.48
221.03,42.15,82.92,18.66,16.65
221.04,4.61,9.87,1.79,2.14
222.01,6.17,15.67,1.87,3.7
222.02,18.52,42.71,6.53,9.62
223.01,9.39,23.34,2.87,5.5
223.02,26.71,57.04,10.5,12.21
224.02,7.42,16.19,2.78,3.52
225.01,11.81,27.12,4.09,6.04
225.02,12.51,28.41,4.29,6.47
226.02,13.26,30.84,4.63,6.98
226.04,12.49,30.43,4.03,6.94
228.02,37.65,77.7,14.9,16.37
228.04,14.44,27.75,6.5,5.47
229,4.82,9.85,1.98,2.07
230.01,10.78,26.02,3.56,5.78
230.02,19.73,40.82,8.36,8.25
231,4.85,10.63,1.77,2.4
232,21.8,48.62,7.86,10.79
233,10.1,21.62,3.7,4.88
234,21.52,43.95,8.86,9.25
235.02,9.3,20.11,3.61,4.32
235.03,7.36,18.68,2.1,4.43
236,26.57,55.78,10.37,12
237,5.71,13.37,1.91,3.09
238.01,24.67,53.45,9.28,11.66
238.02,2.84,6.92,0.96,1.59
239.02,17.98,42.51,5.97,9.56
240.01,9.46,19.99,3.58,4.32
240.02,20.55,42.51,8.25,8.92
241,5.32,12.83,1.82,2.94
242,11.22,24.65,4.16,5.41
243.01,9.37,21.97,3.13,5.07
243.02,10.72,25.86,3.2,6.11
250.02,8.88,21.54,2.91,4.88
251.01,47.87,112.55,15.38,25.58
260.04,28.99,66.51,9.31,15.45
260.05,19.07,46.41,6.07,10.67
260.06,10.36,25.21,3.34,5.57
260.07,6.79,18.31,1.87,4.3
260.08,11.56,30.1,3.31,7.04
281.01,19.29,46.25,6.29,11.08
281.02,17.9,40.06,6.6,8.67
282.01,15.62,34.71,5.47,8.1
282.02,24.83,51.04,10.32,10.53
283,9.8,20.49,3.95,4.36
284.01,9.67,21.75,3.52,4.79
284.02,8.11,19.04,2.74,4.27
285.01,25.09,57.29,9.49,12.61
285.02,22.44,42.71,10.36,8.3
286.02,3.12,6.49,1.24,1.37
287.01,28.7,57.77,11.69,12.27
287.06,6.77,15.08,2.49,3.3
287.09,9.58,26.2,2.53,6.23
287.11,14.23,32.05,5,7.11
290.02,9.38,19.44,3.91,4.04
290.04,5.26,12.44,1.68,2.87
290.05,5.83,18.41,1.06,4.51
291.01,10.83,25.54,3.82,5.74
291.02,9.49,23,3.04,5.31
292.01,6.15,14.91,1.94,3.4
292.03,8.8,23.9,2.36,5.67
292.04,10.14,27.42,2.49,6.93
400.04,9.21,22.01,2.73,5.12
400.05,12.15,29.48,3.73,6.9
400.06,90.31,195.32,34.05,42.67
401.01,15.15,34.97,5.18,7.88
401.02,8.35,17.04,3.39,3.6
402.02,15.9,34.31,5.94,7.41
402.03,9.13,21.87,2.97,5.03
403.01,5.04,10.88,1.86,2.34
403.04,11.79,29.47,3.68,6.7
403.05,18.63,43.96,6.07,9.87
404.01,19.36,45.84,6.62,10.25
404.02,4.39,10.87,1.3,2.53
410.02,6.73,15.76,2.27,3.52
410.04,21.5,53.66,6.31,13.38
410.05,21.11,47.44,7.69,10.24
410.06,26.05,61.04,8.46,14.02
501.01,3.58,8.46,1.19,1.94
501.02,8.99,22.34,2.92,5.12
501.03,32.78,76.55,11.77,16.81
502.01,23.25,53.99,7.89,12.23
502.02,11.02,24.02,4.12,5.27
502.03,35.23,72.92,14.39,15.21
502.06,9.39,21.85,3.16,5.09
502.07,10.97,22.61,4.61,4.68
503.01,88.41,178.89,37.15,36.94
503.03,6.11,12.61,2.37,2.75
503.07,7.07,16.26,2.53,3.64
503.09,19.3,39.87,7.99,8.34
504.03,16.68,37.04,6.02,8.26
504.05,5.13,11.5,1.8,2.59
504.08,15.38,34.83,5.59,8.08
504.09,9.75,23.69,2.96,5.43
504.1,7.32,19.37,2,4.68
505.01,6.65,15.74,2.14,3.51
506.01,5.48,16.86,1.12,4.35
506.02,3.43,10.09,0.85,2.48
