"CT","mx_mean","mx_ub","mx_lb","mx_se"
282.01,413.23,614.87,261.91,90.65
282.02,294.69,456.88,178.85,70.95
283,302.87,436.33,200.39,61.37
284.01,274.97,407.26,178.08,60.13
284.02,299.98,447.64,190.08,66.58
285.01,404.4,614.37,248.61,93.6
285.02,244.95,355.17,163.84,49.05
286.02,263.38,360.78,189.73,44.09
287.01,283.42,442.12,173.94,68.26
287.06,296.9,439.32,190.84,64.01
287.09,432.23,694.69,249.62,115.98
287.11,205.27,325.74,119.54,53.72
290.02,359.33,518.02,238.49,71.48
290.04,307.33,450.05,199.71,65.44
290.05,330.91,536.5,186.33,91.39
291.01,106.27,171.99,61.36,28.78
291.02,357.02,535.76,226.7,79.97
292.01,268.12,401.45,171.52,59.04
292.03,307.13,492.45,177.36,81.68
292.04,304.58,499.96,165.71,85.97
400.04,257.53,395.96,157.4,61.65
400.05,218.9,354.03,129.11,57.93
400.06,320.53,538.83,173.77,96.1
401.01,373.94,559.42,240.56,81.58
401.02,346.31,486.88,236.74,63.79
402.02,298.47,442.74,192.1,64.29
402.03,357.78,533.21,230.04,79.03
403.01,226.79,324.86,151.48,44.86
403.04,375.93,551.16,240.75,80.55
403.05,305.81,479.9,180.74,76.86
404.01,292.12,450.3,178.53,71.37
404.02,222.77,327.43,141.89,48.32
410.02,300.74,439.62,194.7,62.8
410.04,299.78,485.79,171.02,81.05
410.05,283.25,438,170.72,69.68
410.06,340.87,544.37,199.55,89.45
501.01,323.48,452.89,223.27,58.51
501.02,191.39,289.78,116.49,45.01
501.03,295.05,459.99,179.98,72.75
502.01,298.18,477.89,176.62,76.57
502.02,216.15,320.82,138.95,46.73
502.03,283.2,433.14,177.17,64.92
502.06,295.48,440.14,187.41,64.81
502.07,211.85,301.41,141.92,41.03
503.01,245.71,400.46,143.08,65.91
503.03,258.75,364.86,174.72,48.61
503.07,392.2,559.93,263.92,76.03
503.09,345.53,517.15,223.89,74.91
504.03,236.26,366.22,144.43,56.77
504.05,238.07,348.75,158.93,49
504.08,214.12,329.4,127.22,52.83
504.09,208.19,326.99,126.51,51.65
504.1,224.46,363.81,130.46,59.85
505.01,142.91,219,87.7,33.76
506.01,264.58,428.72,149.9,72.49
506.02,227.15,340.91,142.31,51.57
