"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,0.16,0.01,0.77,0.32
1.02,0.2,0.01,0.95,0.29
2.01,0.25,0.01,1.19,0.48
2.04,0.23,0.02,1.05,0.36
3.01,0.23,0.01,1.19,0.41
3.02,0.21,0.01,1.18,0.41
4.01,0.15,0.01,0.76,0.24
5,0.2,0.01,0.96,0.36
6.01,0.19,0.01,0.99,0.29
6.02,0.22,0.01,1.03,0.32
7.01,0.17,0.01,0.84,0.28
7.02,0.2,0.01,0.97,0.85
8.01,0.18,0.01,0.85,0.34
8.02,0.16,0.01,0.76,0.25
9,0.15,0.01,0.68,0.21
10.02,0.22,0.02,1.09,0.37
11,0.18,0.01,0.89,0.25
13.01,0.16,0.01,0.76,0.23
13.03,0.16,0.01,0.69,0.25
13.04,0.2,0.01,1.18,0.3
14.02,0.2,0.01,0.86,0.31
15.01,0.2,0.01,0.89,0.34
15.02,0.19,0.01,0.8,0.29
16.01,0.18,0.01,0.82,0.26
16.05,0.25,0.02,1.21,0.39
17.01,0.34,0.02,1.6,0.46
17.02,0.22,0.02,1.01,0.32
18.02,0.21,0.01,1.06,0.33
19,0.19,0.01,0.87,0.28
20,0.14,0.01,0.67,0.22
21,0.17,0.01,0.7,0.22
23,0.16,0.01,0.79,0.3
24,0.16,0.01,0.89,0.26
25,0.14,0.01,0.63,0.22
26,0.16,0.01,0.75,0.26
27.01,0.18,0.01,0.84,0.29
27.02,0.15,0.01,0.75,0.23
28,0.17,0.01,0.83,0.24
29,0.2,0.01,0.88,0.31
30,0.21,0.01,1.1,0.28
31.01,0.24,0.01,1.16,0.34
31.02,0.19,0.01,0.85,0.29
32,0.31,0.02,1.38,0.41
33.01,0.21,0.01,1.04,0.3
33.02,0.3,0.02,1.39,0.44
34.02,0.21,0.01,1.06,0.3
35.01,0.17,0.01,0.73,0.24
35.02,0.16,0.01,0.77,0.23
36.01,0.15,0.01,0.7,0.23
36.02,0.21,0.01,1.2,0.34
37.01,0.18,0.01,0.89,0.29
37.02,0.18,0.01,0.95,0.25
38,0.21,0.02,0.92,0.29
39.01,0.23,0.01,1.1,0.31
39.02,0.23,0.01,1.27,0.36
40.01,0.22,0.01,1.18,0.41
40.02,0.2,0.01,1,0.38
41.01,0.18,0.01,0.84,0.28
41.02,0.15,0.01,0.67,0.19
42,0.15,0.01,0.76,0.26
43.02,0.16,0.01,0.81,0.25
44,0.2,0.01,0.91,0.33
45.01,0.21,0.01,0.99,0.4
45.02,0.17,0.01,0.89,0.28
46,0.15,0.01,0.74,0.23
47.01,0.23,0.01,1.37,0.4
48,0.15,0.01,0.67,0.2
49.01,0.2,0.02,0.89,0.29
49.02,0.22,0.01,1.32,0.41
50.02,0.22,0.01,0.94,0.26
50.03,0.21,0.02,0.98,0.29
50.04,0.2,0.01,1.07,0.31
51.01,0.18,0.01,0.87,0.27
51.02,0.17,0.01,0.87,0.26
52.01,0.13,0.01,0.63,0.17
52.02,0.17,0.01,0.86,0.25
53.01,0.18,0.01,0.8,0.28
53.02,0.22,0.01,1.14,0.42
54.01,0.2,0.02,0.88,0.25
54.02,0.24,0.02,1.11,0.36
55.01,0.29,0.01,1.79,0.56
55.02,0.32,0.01,1.86,0.63
56.02,0.23,0.01,1.2,0.34
57.02,0.22,0.02,1.08,0.3
59.06,0.77,0.03,4.63,1.27
59.07,0.23,0.01,1.17,0.33
59.09,0.33,0.01,1.72,0.68
59.1,0.3,0.02,1.41,0.4
59.11,0.24,0.02,1.01,0.32
60.02,0.22,0.01,1.23,0.35
61,0.32,0.01,1.89,0.63
62,0.22,0.01,1,0.48
64,0.23,0.02,1.15,0.3
65,0.48,0.04,2.03,0.77
67.01,0.61,0.04,3.25,0.97
68,0.33,0.02,2.06,0.58
69.02,0.17,0.01,0.7,0.25
100.01,0.33,0.01,1.82,0.57
100.02,0.6,0.03,3.45,0.94
101.03,0.36,0.01,2.05,0.64
101.04,0.34,0.01,1.98,0.66
101.06,0.57,0.03,2.65,0.97
103,0.37,0.02,1.76,0.59
104,0.23,0.01,1.15,0.47
110.02,0.3,0,2.12,0.64
110.03,0.48,0.01,2.52,1.09
110.04,0.29,0.01,2.08,0.79
111.02,0.25,0.01,1.22,0.47
111.05,0.29,0.01,1.64,0.61
111.07,0.22,0.02,0.95,0.29
112,0.3,0.01,1.55,0.5
113,0.22,0.01,1.08,0.45
114.01,0.28,0.01,1.46,0.69
114.02,0.23,0.01,1.32,0.42
115,0.19,0.01,0.87,0.27
116,0.24,0.02,1.14,0.42
117,0.29,0.02,1.41,0.43
118,0.25,0.01,1.07,0.38
120,0.31,0.01,1.27,0.86
121,0.23,0.01,1.23,0.45
122,0.3,0.02,1.4,0.58
130.03,0.2,0.01,1.17,0.4
131,0.24,0.02,1.16,0.34
132,0.28,0.01,1.4,0.71
133.01,0.18,0.01,1,0.32
133.02,0.16,0.01,0.97,0.27
134,0.21,0.01,0.94,0.33
135,0.18,0.01,0.84,0.3
140.02,0.15,0.01,0.81,0.22
140.03,0.16,0.02,0.67,0.24
140.04,0.25,0.01,1.24,0.4
141.01,0.16,0.01,0.87,0.28
142.01,0.2,0.01,0.96,0.29
142.02,0.35,0.02,1.94,0.72
142.03,0.33,0.01,2.08,0.68
143.01,0.18,0.01,0.85,0.29
143.02,0.21,0.02,1.04,0.29
143.03,0.18,0.01,0.85,0.28
144.04,0.17,0.01,0.96,0.27
144.06,0.16,0.01,0.79,0.28
145.01,0.15,0.01,0.7,0.19
145.02,0.22,0.01,1.03,0.43
146,0.16,0.01,0.79,0.25
147.01,0.17,0.01,0.89,0.26
147.09,0.19,0.01,0.91,0.33
148,0.28,0.02,1.31,0.4
149.02,0.25,0.01,1.24,0.59
149.05,0.23,0.01,1.24,0.53
149.08,0.19,0.01,0.85,0.36
149.09,0.28,0.02,1.33,0.48
150,0.16,0.01,0.77,0.21
151.03,0.21,0.01,1.04,0.36
151.05,0.16,0.01,0.82,0.26
151.07,0.16,0.01,0.8,0.21
151.08,0.15,0.01,0.75,0.26
160.01,0.21,0.01,1.16,0.58
160.02,0.24,0.01,1.19,0.54
160.03,0.22,0.01,1.02,0.47
160.04,0.22,0.01,1.1,0.45
161.02,0.19,0.01,0.9,0.4
161.03,0.14,0.01,0.79,0.24
161.05,0.22,0.01,1.18,0.43
161.06,0.16,0.01,0.88,0.28
161.08,0.23,0.01,1.31,0.38
161.09,0.14,0.01,0.63,0.18
162.01,0.27,0.02,1.12,0.37
162.02,0.21,0.01,1.16,0.32
162.03,0.19,0.01,0.82,0.3
162.04,0.37,0.02,1.97,0.59
163.01,0.22,0.01,1.13,0.35
163.04,0.19,0.01,0.83,0.26
163.05,0.22,0.01,0.97,0.31
163.06,0.22,0.01,1.01,0.41
163.07,0.21,0.01,1,0.3
163.08,0.32,0.02,1.57,0.51
170.03,0.17,0.01,0.91,0.25
170.04,0.11,0.01,0.55,0.19
170.05,0.18,0.01,0.94,0.28
170.07,0.16,0.01,0.77,0.28
180.01,0.16,0.01,0.72,0.41
180.04,0.15,0.01,0.73,0.2
181.03,0.14,0.01,0.65,0.26
181.05,0.13,0.01,0.55,0.17
181.07,0.15,0.01,0.89,0.28
181.08,0.15,0.01,0.98,0.31
181.09,0.12,0.01,0.67,0.19
181.11,0.12,0.01,0.65,0.19
181.12,0.18,0.01,0.96,0.41
181.13,0.11,0.01,0.54,0.16
181.14,0.15,0.01,0.72,0.31
181.16,0.16,0.01,0.75,0.31
182.01,0.14,0.01,0.58,0.18
182.04,0.18,0.01,0.83,0.24
182.05,0.18,0.01,0.82,0.29
183.01,0.21,0.01,1.08,0.35
183.03,0.19,0.01,0.92,0.39
183.05,0.16,0.01,0.64,0.23
183.06,0.2,0.01,1.02,0.37
183.07,0.18,0.01,0.85,0.35
184.02,0.19,0.01,0.84,0.22
184.06,0.18,0.01,0.91,0.24
184.07,0.2,0.01,1.05,0.28
184.08,0.17,0.01,0.91,0.28
184.09,0.26,0.02,1.48,0.45
184.1,0.21,0.01,1.16,0.36
184.11,0.25,0.01,1.22,0.37
184.12,0.17,0.01,0.86,0.28
184.13,0.17,0.01,0.84,0.25
184.14,0.18,0.01,0.89,0.26
184.15,0.25,0.02,1.26,0.48
184.16,0.23,0.01,1.09,0.36
