"CT","mx_mean","mx_lb","mx_ub","mx_se"
404.02,2.05,0.81,4.47,0.94
410.02,1.92,0.78,4.19,0.93
410.04,1.96,0.7,4.4,0.95
410.05,2.83,0.92,6.9,1.67
410.06,2.45,0.78,5.93,1.43
501.01,2.33,0.97,5.1,1.04
501.02,3.86,1.42,8.62,2.01
501.03,3.49,1.15,7.92,1.83
502.01,2.82,1.05,6.47,1.46
502.02,2.86,0.96,6.42,1.5
502.03,2.93,1.02,6.9,1.55
502.06,3.81,1.4,8.45,1.78
502.07,4.25,1.68,8.55,1.89
503.01,2.88,0.94,6.83,1.62
503.03,2.57,1.05,5.33,1.12
503.07,3.01,1.04,6.83,1.63
503.09,3.19,1.19,7.3,1.6
504.03,2.14,0.81,4.56,0.99
504.05,1.54,0.57,3.31,0.74
504.08,2.26,0.75,5.2,1.26
504.09,1.99,0.75,4.17,0.9
504.1,1.85,0.55,4.75,1.12
505.01,2.28,0.95,4.86,1.06
506.01,4.44,1.38,10.88,2.61
506.02,6.05,2.21,13.24,2.88
