"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,75.91,113.14,47.63,17.12
1.02,76.19,121.77,44.37,20.12
2.01,66.24,111.35,36.41,19.41
2.04,84.44,127.12,52.52,19.65
3.01,89.7,153.07,48.46,26.68
3.02,188.55,290.07,114.74,44.84
4.01,136.18,202.4,87.64,29.83
5,75.84,124.45,43.15,21.12
6.01,61.16,102.6,33.42,17.85
6.02,100.45,159.14,60.77,25.81
7.01,70.91,116.23,39.58,19.56
7.02,126.79,200.83,73.63,32.88
8.01,70.37,132.3,32.57,25.02
8.02,82.98,136.35,46.31,23.79
9,57.57,88.85,34.77,14.05
10.02,70.49,113.73,41.57,18.84
11,64.65,104.18,37.33,17.19
13.01,95.5,152.29,56.3,24.55
13.03,80.88,135.24,44.63,23.84
13.04,87.14,154.83,45.51,27.58
14.02,82.06,136.52,46.55,23.24
15.01,74.55,125.6,40.4,22.3
15.02,76.84,119,47.13,18.58
16.01,77.26,131.22,42.82,22.38
16.05,87.22,146.36,48.07,25.49
17.01,84.64,135.9,48.96,22.92
17.02,92.26,152.46,52.4,26.07
18.02,81.66,128.64,48.92,20.52
19,93.14,147.12,56.05,22.74
20,83.46,121.34,55.36,16.77
21,66.68,110.97,37.27,18.94
23,82.26,129.44,50.74,20.81
24,73.4,119.79,41.18,20.9
25,80.52,124.27,50.01,19.15
26,75.01,118.26,44.82,19.07
27.01,65.78,101.05,39.22,16.29
27.02,47.42,71.63,29.45,11.05
28,75.49,126.22,40.73,22.06
29,125.84,193.07,77.28,29.79
30,76.32,124.16,43.72,20.77
31.01,68.08,115.09,37.34,20.29
31.02,88.1,148.3,48.37,25.73
32,82.32,134.58,47.56,22.36
33.01,77.56,129.27,42.71,22.16
33.02,83.37,131.8,47.81,21.95
34.02,100.55,159.03,58.59,26.58
35.01,84.03,141.42,46.35,24.47
35.02,81.15,129.96,47.94,21.45
36.01,95.57,150.89,57.29,24.06
36.02,88.21,146.96,47.86,25.68
37.01,72.28,121.15,38.72,21.41
37.02,77.72,135.38,41.37,24.3
38,110.91,172.12,67.55,27.45
39.01,80.33,130.08,45.11,22.36
39.02,121.03,184.28,77.99,26.92
40.01,61.93,103.42,34.12,17.98
40.02,68.7,109.32,39.45,18.11
41.01,93.56,146.38,56.07,23.41
41.02,60.52,96.17,34.75,16.1
42,70.06,116.4,39.79,19.76
43.02,79.25,130.09,43.46,22.5
44,66.44,108.6,38.28,18.02
45.01,79.87,136.58,42.69,23.88
45.02,84.25,142.42,46.02,24.69
46,80.59,134.65,44.48,22.97
47.01,105.63,163.26,63.68,25.92
48,62.98,103.04,35.79,17.99
49.01,108.77,181.23,60.09,31.3
49.02,81.75,131.94,47.15,21.49
50.02,88.84,145.37,50.39,24.28
50.03,93.71,159.61,48.98,28.7
50.04,62.88,113.87,31.9,21.59
51.01,70.02,115.24,38.18,20.29
51.02,125.19,198.46,75,31.68
52.01,102.28,158.09,61.6,25.51
52.02,86.51,141.03,50.77,23.26
53.01,88.43,148.65,49.65,24.5
53.02,84.36,148.87,44.46,26.61
54.01,67.61,102.94,42.73,15.39
54.02,88.06,143.86,50.04,24.17
55.01,82.04,138.09,45.05,24.28
55.02,64.94,114.41,33.01,20.69
56.02,130.56,213.66,74,35.56
57.02,72.98,113.72,44.3,17.94
59.06,74.77,128.77,40.63,22.84
59.07,96.38,161.67,50.68,29.01
59.09,64.85,117.09,31.93,21.97
59.1,73.18,134.61,35.84,25.31
59.11,84.49,142.98,47.11,24.38
60.02,73.81,125.53,39.62,22.8
61,55.68,94.6,29.22,17.08
62,65.03,105.41,37.91,17.39
64,62.35,100.34,36.88,16.24
65,87.42,137.84,53.26,21.78
67.01,95.67,158.69,52.83,27.8
68,83.98,135.52,50.29,21.85
69.02,71.01,110.02,43.19,17.25
100.01,234.67,345.88,152.69,49.28
100.02,90.55,149.51,50.33,25.83
101.03,69.35,117.88,38.47,20.06
101.04,80.99,136.39,44.68,23.3
101.06,72.04,119.44,42.01,19.65
103,54.46,87.12,32.02,14.26
104,78.89,132.3,44.7,22.7
110.02,113.3,203.74,53.33,39.07
110.03,85.59,159.17,40.87,30.28
110.04,84.92,151.62,42.24,28.22
111.02,115.36,191.79,65.06,32.6
111.05,134.85,228.07,75.2,38.38
111.07,121.89,207.09,67.18,37.27
112,85.53,147.13,46.1,26.2
113,84.89,130.34,52.21,20.04
114.01,95.7,176.96,47.88,34
114.02,183.78,302.45,102.04,51.81
115,115.92,181.44,70.74,28.61
116,74.34,126.67,40.26,22.34
117,84.87,141.23,47.99,24.31
118,58.23,93.63,34.12,15.41
120,94.56,160.89,51.97,28.84
121,96.41,163.26,51.56,29.73
122,89.66,155.25,48.48,27.08
130.03,103.53,151.32,68.99,21.14
131,93.75,131.46,65.01,16.95
132,87.91,148.88,46.25,27.46
133.01,94.05,170.88,47.69,31.16
133.02,99.9,167.4,54.43,29.05
134,119.74,186.08,72.24,29.36
135,88.32,144.79,49.16,24.79
140.02,88.9,144.81,50.61,24.57
140.03,88.08,144.67,48.65,25.18
140.04,68.76,125.92,32.99,24.27
141.01,83.39,132.06,48.93,21.28
142.01,86.44,148.91,45.69,26.66
142.02,65.34,112.88,33.95,20.41
