"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,81.42,130.1,47.48,21.19
1.02,103.28,172.15,58.19,28.93
2.01,89.08,153.8,47,28
2.04,92.58,145.43,55.48,23.08
3.01,106.42,181.66,56.2,32.3
3.02,83.89,143.11,45.27,25.26
4.01,142.56,226.35,87.01,36.01
5,72.4,123.44,39.45,21.83
6.01,84.9,146.34,45.07,25.59
6.02,111.33,182.03,62.91,30.56
7.01,81.25,137.23,45.04,23.98
7.02,81.49,140.79,44.04,25.06
8.01,70.69,133.21,33.17,26.08
8.02,74.97,124.76,41.17,21.76
9,62.9,103.25,35.49,17.31
10.02,80.77,130.95,46.12,21.97
11,79.02,132.35,46.03,22.25
13.01,96.58,160.36,53.61,27.82
13.03,78.85,137.08,41.94,24.21
13.04,92.59,159.22,48.49,28.22
14.02,86.76,144.99,47.82,25.32
15.01,81.23,140.66,42.75,24.85
15.02,87.98,140.35,50.22,22.96
16.01,101.04,170.45,57.12,28.91
16.05,74.48,128.37,39.58,22.64
17.01,94.54,157.42,53.41,26.98
17.02,79.05,133.79,43.12,23.23
18.02,92.88,147.3,56.11,22.9
19,102.05,164.09,58.03,27.19
20,90.98,135.19,57.93,20.3
21,74.76,125.11,40.14,22.35
23,76.65,128.95,42.82,22.54
24,66.33,111.4,34.75,19.57
25,58.57,99.82,31.87,17.69
26,83.6,140.55,46.06,24.85
27.01,84.6,137.13,47.08,22.95
27.02,75.51,120.86,44.27,19.92
28,100.47,168.93,55.27,29.24
29,198.21,301.89,125.38,46.03
30,102.09,168.67,59.44,27.85
31.01,102.26,170.66,57.07,29.45
31.02,103.44,177.66,55.52,31.11
32,104.87,174.05,60.57,29.18
33.01,104.9,179.19,57.49,31.73
33.02,111.52,181.78,62.48,30.58
34.02,125.98,199.82,74.19,32.69
35.01,87.02,146.76,47.6,25.59
35.02,91.17,149.58,51.32,25.24
36.01,133.04,212.16,77.1,34.88
36.02,87.87,155.98,45.43,28.62
37.01,93.55,158.75,49.34,28.01
37.02,89.45,157.63,47.03,28.36
38,169.97,275.54,96.41,46.11
39.01,90.85,152.88,49.35,27.07
39.02,207.15,325.21,124.5,51.44
40.01,85.1,150.83,42.44,28.3
40.02,111.91,187.08,63.22,32.21
41.01,118.11,198.39,65.59,34.49
41.02,83.94,142.4,45.94,25.05
42,84.74,142.37,45.34,25.37
43.02,73.4,129.74,36.72,24.29
44,62.02,106.11,32.41,19.07
45.01,80.66,141.51,41.15,26.67
45.02,84.39,143.88,44.37,25.97
46,96.44,170.85,50.15,31.87
47.01,182.08,295.74,105.93,48.83
48,112.3,188.98,60.42,33.26
49.01,131.55,222.39,70.23,39.39
49.02,99.98,175.29,52.48,31.7
50.02,94.47,156.43,54.11,26.36
50.03,111.63,188.4,60.6,32.87
50.04,116.92,205.24,60.79,37.68
51.01,87.83,150.21,47.26,26.92
51.02,126.45,206.23,71.03,35.45
52.01,118.47,190.48,67.84,32.16
52.02,121.55,201.38,67.84,34.14
53.01,99.69,167.35,54.12,29.17
53.02,81.27,140.14,41.65,26.67
54.01,98.7,150.32,62.44,22.53
54.02,104.62,172.06,58.52,29.93
55.01,101.35,171.66,55.23,30.77
55.02,90.16,159.72,47.15,29.46
56.02,143.48,243.46,77.65,43
57.02,124,194.96,73.36,31.29
59.06,149.09,238.11,86.68,39.35
59.07,109.53,191.75,57.26,34.78
59.09,113.54,198.88,57.63,36.21
59.1,108.19,192.3,54.77,35.92
59.11,141.4,233.9,80.97,39.36
60.02,79.79,140.57,41.63,25.74
61,77.96,142.79,38.06,26.88
62,68.19,114.45,36.53,20.41
64,98.87,158.99,56.54,26.44
65,142.65,227.92,84.68,37.16
67.01,69.89,123.46,36.24,22.81
68,83.03,138.77,45.73,24.05
69.02,48.62,80.44,26.64,13.72
100.01,161.56,257.62,94.55,42.02
100.02,111.88,188.82,60.85,33
101.03,107.21,187.8,57.05,33.7
101.04,106.54,184.32,56.66,32.78
101.06,97.4,165.82,53.77,28.72
103,98.12,159.72,56.53,26.83
104,84.29,143.96,46.77,25.29
110.02,61.46,123.43,24.45,25.88
110.03,98.02,184.96,44.28,36.41
110.04,74.79,141.06,34.3,27.93
111.02,102.4,176.16,54.81,31.34
111.05,136.58,246.77,70.62,44.4
111.07,125.32,218.67,66.76,39.29
112,101.44,179.5,53.36,32.93
113,105.91,173.46,61.93,29.01
114.01,85.12,163.9,37.73,32.51
114.02,172.28,295.21,92.33,54.24
115,118.41,193.14,66.81,32.87
116,80.9,141.24,42.99,24.73
117,73.7,124.2,40.38,21.51
118,65.43,108.5,36.97,18.71
120,66.94,118.46,35.38,21.34
121,85.51,146.02,45.89,25.73
122,73.74,129.19,39.04,23.17
130.03,135.54,212.03,84.75,33.3
131,122.51,180.39,78.65,26.28
132,60.49,108.25,31.27,19.73
133.01,85.84,156.81,42.23,29.74
133.02,68.64,122.38,34.45,21.85
134,106.48,172.61,62.43,28.36
135,70.17,117.9,38.32,20.71
140.02,86.94,143.93,49.22,24.8
140.03,75.87,129.4,40.6,22.93
140.04,92.44,166.87,44.87,31.57
141.01,81,132.8,44.67,22.93
142.01,70.06,122.31,36.65,22.25
142.02,85,147.74,43.94,27.15
142.03,69.11,115.89,36.78,20.71
143.01,77.71,135.29,40.33,24.54
143.02,90.3,143.29,52.67,23.07
143.03,67.81,114.73,36.09,20.43
144.04,109.67,184.53,59.61,32.33
144.06,76.84,124.5,43.32,21.04
145.01,73.2,123.63,40.41,21.41
145.02,53.31,98.49,25.8,19.07
146,92.09,157.1,50.09,27.45
147.01,65.43,111.12,35.71,19.63
147.09,96.1,157.91,54.55,26.6
148,122.54,191.2,74.97,29.79
