"CT","mx_mean","mx_ub","mx_lb","mx_se"
234,32.9,67.97,13.52,14.08
235.02,35.55,74.57,14.1,16.16
235.03,45.67,103.4,15.84,22.74
236,123.47,251.41,51.2,51.69
237,19.17,43.77,6.39,10.12
238.01,143.99,294.83,58.97,61.26
238.02,5.37,14.57,1.57,3.52
239.02,76.12,170.76,26.85,38.25
240.01,31.02,70.43,11.09,15.57
240.02,60.98,126.17,25.82,25.98
241,19.46,43.99,6.92,9.89
242,20.05,47.71,6.7,10.88
243.01,19.21,46.04,5.81,10.75
243.02,47.71,111.09,15.52,25.18
250.02,35.42,83.36,11.56,19.24
251.01,77.58,219.62,19.62,53.81
260.04,58.2,150.82,16.22,36.26
260.05,125.32,277.5,49.51,60.77
260.06,39.38,91.46,12.62,21.02
260.07,34.49,92.22,8.89,23.02
260.08,78.03,190.97,23.92,47.84
281.01,84.54,190.82,29.01,42.46
281.02,37.54,91.45,12.67,20.65
282.01,46.28,109.47,15.57,24.08
282.02,102.93,210.4,43.88,43.62
283,27.61,60.54,10.3,13.17
284.01,31.35,70.73,11.25,15.75
284.02,20.76,52.45,6.44,12.09
285.01,94.8,206.48,34.34,44.99
285.02,61.88,117.11,29.05,22.91
286.02,8.19,17.41,3.17,3.8
287.01,92.94,189.4,35.87,40.91
287.06,17.08,41.1,5.45,9.34
287.09,48.16,116.97,13.56,28.01
287.11,196.32,391.18,80.35,81.39
290.02,30.13,66.95,11.01,14.58
290.04,22.13,52.01,7.06,12.13
290.05,20.8,65.48,3.64,17.13
291.01,45.21,101.16,16.19,22.31
291.02,61.62,134.78,23.14,29.54
292.01,26.61,61.8,8.96,14.05
292.03,52.53,135.47,16.1,31.46
292.04,120.31,297.32,38.92,66.9
400.04,27.09,67.59,8.63,15.87
400.05,43.38,110.3,13.76,25.57
400.06,183.62,431.37,61.6,95.99
401.01,167.81,329.27,74.69,66.51
401.02,27.33,56.63,11.48,11.7
402.02,59.13,126.33,22.9,27.4
402.03,98.82,203.83,41.17,42.39
403.01,23.93,50.26,9.3,10.89
403.04,63.82,141.88,23.48,32.21
403.05,50.13,129.92,14.57,29.44
404.01,80.54,174.64,30.46,38.06
404.02,45.47,95.01,18.12,19.99
410.02,21.18,52.9,6.81,12.34
410.04,66.28,181.92,17.6,42.55
410.05,36.46,88.89,10.61,21.27
410.06,239.12,483,96.25,100.64
501.01,33.78,68.24,14.04,14.39
501.02,37.47,84.2,13.28,19.06
501.03,38.85,97.95,11.31,22.8
502.01,136.91,298.31,53.47,64.02
502.02,29.04,63.73,10.07,14.17
502.03,87.4,189.66,35.13,41.21
502.06,134.26,263.34,60.21,51.8
502.07,7.74,18.85,2.46,4.41
503.01,471.69,928.13,215.65,179.77
503.03,76.75,143.82,36.82,28.25
503.07,19.04,42.35,6.72,9.16
503.09,36.99,83.28,12.47,19.2
504.03,141.35,287.48,58.29,59.02
504.05,26.29,58.99,9.71,12.68
504.08,19.79,52.13,5.1,12.83
504.09,71.65,171.2,23.59,38.15
504.1,32.64,87.49,9.61,19.86
505.01,15.58,38.06,4.61,8.88
506.01,110.95,249.85,39.47,55.49
506.02,6.29,19.74,1.09,5.15
