"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,4.46,2.92,6.47,0.91
1.02,4.23,2.68,6.22,0.92
2.01,4.19,2.6,6.54,0.98
2.04,4.66,3.05,6.71,0.95
3.01,4.72,2.93,7.21,1.09
3.02,4.19,2.67,6.35,0.97
4.01,4.84,3.12,7.06,0.99
5,4.19,2.72,6.36,0.9
6.01,4.38,2.79,6.47,0.96
6.02,5.12,3.35,7.7,1.12
7.01,4,2.52,5.9,0.9
7.02,4.09,2.56,6.19,0.91
8.01,5,3.03,7.94,1.3
8.02,5.34,3.15,8.39,1.29
9,4.32,2.84,6.23,0.87
10.02,4.4,2.82,6.46,0.94
11,4.43,2.94,6.47,0.92
13.01,4.55,2.91,6.7,0.96
13.03,4.46,2.87,6.69,0.99
13.04,4.47,2.71,6.73,1.03
14.02,4.49,2.81,6.81,1.01
15.01,3.97,2.53,5.83,0.89
15.02,4.3,2.78,6.38,0.89
16.01,4.46,2.86,6.54,0.95
16.05,4.39,2.78,6.63,0.97
17.01,4.5,2.95,6.61,0.95
17.02,4.39,2.86,6.38,0.95
18.02,4.4,2.93,6.33,0.89
19,4.48,2.93,6.62,0.97
20,4.59,3.11,6.48,0.88
21,4.09,2.65,5.93,0.87
23,4.04,2.6,6.04,0.87
24,3.98,2.52,5.96,0.89
25,4.03,2.55,6.12,0.87
26,3.82,2.47,5.69,0.81
27.01,4.12,2.7,6.06,0.89
27.02,3.95,2.57,5.71,0.84
28,4.35,2.78,6.51,0.95
29,5.15,3.33,7.64,1.09
30,4.55,2.85,6.74,0.97
31.01,4.39,2.81,6.68,0.99
31.02,4.4,2.87,6.52,0.93
32,4.9,3.17,7.14,1.05
33.01,4.4,2.8,6.71,0.97
33.02,4.77,3.12,7.03,1.01
34.02,5.25,3.47,7.75,1.14
35.01,4.32,2.75,6.55,0.94
35.02,4.66,3.14,6.76,0.93
36.01,4.9,3.22,7.33,1.05
36.02,4.6,2.85,7.04,1.13
37.01,5.07,3.32,7.59,1.1
37.02,5.04,3.16,7.37,1.09
38,5.38,3.48,8,1.14
39.01,4.4,2.86,6.48,0.93
39.02,5.57,3.61,8.19,1.19
40.01,4.47,2.86,6.65,1.01
40.02,4.18,2.66,6.24,0.94
41.01,4.13,2.69,6.04,0.88
41.02,3.96,2.55,5.77,0.84
42,3.82,2.52,5.74,0.82
43.02,3.89,2.45,5.92,0.89
44,3.79,2.36,5.73,0.86
45.01,3.87,2.41,5.91,0.92
45.02,3.8,2.47,5.6,0.82
46,4.2,2.7,6.12,0.92
47.01,4.04,2.54,6.11,0.93
48,4.4,2.72,6.43,0.94
49.01,4.5,2.98,6.55,0.92
49.02,4.24,2.51,6.47,1.1
50.02,5,3.32,7.59,1.06
50.03,5.95,3.66,8.96,1.38
50.04,5.18,3.23,7.97,1.21
51.01,4.35,2.83,6.49,0.95
51.02,4.74,3.1,7,1.03
52.01,4.36,2.84,6.36,0.92
52.02,4.25,2.66,6.21,0.92
53.01,4.16,2.6,6.26,0.97
53.02,3.99,2.46,6.25,0.99
54.01,5.01,3.35,7.17,0.97
54.02,4.06,2.64,6.02,0.88
55.01,5.69,3.39,8.94,1.46
55.02,5.42,3.13,8.8,1.5
56.02,6.11,3.75,9.51,1.55
57.02,4.43,2.94,6.55,0.92
59.06,9.05,5.49,14.41,2.35
59.07,5.19,3.29,7.89,1.21
59.09,5.3,3.22,8.09,1.35
59.1,6.21,3.73,9.77,1.56
59.11,9.26,5.26,14.96,2.52
60.02,4.99,3.04,7.68,1.22
61,4.46,2.58,7.25,1.25
62,4.7,2.87,7.33,1.11
64,5.21,3.31,7.74,1.15
65,5.23,3.26,7.84,1.16
67.01,5,3.05,7.74,1.23
68,5.15,3.15,7.76,1.21
69.02,3.75,2.45,5.51,0.76
100.01,4.24,2.63,6.5,0.99
100.02,3.73,2.29,5.85,0.9
101.03,3.72,2.26,5.7,0.9
101.04,3.97,2.47,5.98,0.91
101.06,3.9,2.45,5.95,0.92
103,3.32,2.18,5,0.74
104,3.53,2.24,5.24,0.79
110.02,3.51,1.86,5.9,1.06
110.03,3.83,2.28,5.96,0.95
110.04,3.52,2.06,5.69,0.93
111.02,3.47,2.12,5.45,0.82
111.05,3.57,2.1,5.46,0.93
111.07,3.88,2.47,5.99,0.89
112,3.57,2.19,5.31,0.83
113,3.51,2.22,5.24,0.78
114.01,3.69,2.16,5.9,0.96
114.02,3.6,2.24,5.6,0.88
115,3.53,2.24,5.24,0.79
116,3.82,2.4,5.83,0.88
117,3.27,2.06,4.83,0.73
118,3.44,2.15,5.16,0.77
120,3.47,2.11,5.43,0.84
121,3.4,2.07,5.44,0.88
122,3.4,2.15,5.23,0.78
130.03,3.26,2,5.05,0.78
131,3.22,2.05,4.66,0.66
132,3.62,2.13,5.74,0.94
133.01,4.47,2.38,7.41,1.3
133.02,3.79,2.32,5.86,0.95
134,3.56,2.21,5.51,0.85
135,3.49,2.11,5.29,0.82
140.02,4.18,2.72,6.06,0.87
140.03,4.31,2.72,6.55,0.96
140.04,4.04,2.38,6.37,1.03
141.01,4.46,2.87,6.65,1
142.01,4.09,2.59,6.15,0.95
142.02,4.25,2.64,6.64,1.06
142.03,3.83,2.34,6.05,0.96
143.01,4.01,2.55,6.12,0.91
143.02,4.31,2.77,6.21,0.9
143.03,4.15,2.56,6.25,0.97
144.04,4.55,2.73,7.09,1.12
144.06,4.16,2.65,6.17,0.92
145.01,4.06,2.61,6.01,0.87
145.02,4.12,2.48,6.28,1.03
146,4.34,2.71,6.52,0.98
147.01,3.77,2.36,5.67,0.87
147.09,4.45,2.79,6.74,1.01
148,4.45,2.89,6.55,0.95
149.02,3.72,2.22,5.86,0.98
149.05,4.2,2.66,6.21,0.98
149.08,3.98,2.46,5.89,0.9
149.09,4.22,2.7,6.4,1
150,4.46,2.73,6.76,1.03
151.03,4.24,2.78,6.42,0.92
151.05,4.14,2.67,6.22,0.93
151.07,4.36,2.85,6.4,0.92
151.08,4.24,2.7,6.41,0.97
160.01,4.66,2.72,7.76,1.28
160.02,4.03,2.55,6.3,0.95
160.03,4.33,2.72,6.79,1.05
160.04,4.55,2.88,7.06,1.09
161.02,4.54,2.8,7.1,1.08
161.03,4.29,2.67,6.41,0.96
161.05,4.09,2.53,6.3,0.97
161.06,4.17,2.64,6.13,0.93
161.08,4.53,2.75,7.12,1.15
161.09,5.5,3.54,8.04,1.18
162.01,4.22,2.69,6.33,0.92
162.02,4.44,2.8,6.7,1.01
162.03,4.49,2.86,6.74,0.97
162.04,4.11,2.64,6.28,0.91
163.01,4.27,2.71,6.43,0.98
163.04,4.41,2.84,6.36,0.92
163.05,4.24,2.76,6.43,0.94
163.06,4.45,2.9,6.7,1
163.07,4.51,2.9,6.56,0.98
163.08,4.33,2.71,6.65,1.02
170.03,3.34,2.09,4.97,0.76
170.04,3.36,2.21,5.07,0.76
170.05,3.28,2.06,4.96,0.75
170.07,4.08,2.64,6.26,0.92
180.01,3.72,2.32,5.77,0.9
180.04,4.11,2.62,6.42,0.95
181.03,3.59,2.24,5.52,0.82
181.05,3.78,2.5,5.64,0.82
181.07,3.81,2.29,6,0.94
181.08,3.77,2.23,6.04,0.97
181.09,3.6,2.28,5.29,0.78
181.11,3.33,2.11,4.98,0.75
181.12,3.75,2.31,5.74,0.92
181.13,3.52,2.36,5.07,0.71
181.14,3.87,2.38,5.99,0.91
181.16,3.57,2.25,5.59,0.89
182.01,4.13,2.75,5.91,0.81
182.04,4.36,2.8,6.56,0.94
182.05,4.39,2.86,6.47,0.92
183.01,4.11,2.52,6.35,0.98
183.03,4.53,2.85,6.66,0.98
183.05,4.14,2.66,6.15,0.9
183.06,4.49,2.91,6.71,0.97
183.07,4.31,2.7,6.62,1.01
184.02,5.09,3.25,7.53,1.12
184.06,5.18,3.28,7.61,1.17
184.07,5.12,3.37,7.5,1.09
184.08,4.75,2.98,7.34,1.1
184.09,4.67,2.98,7.23,1.08
184.1,5.14,3.22,8,1.2
184.11,4.53,2.78,6.92,1.08
184.12,4.51,2.78,7.05,1.07
184.13,4.37,2.8,6.48,0.97
184.14,4.33,2.76,6.39,0.96
184.15,5.07,3.11,7.7,1.19
184.16,5.56,3.37,8.71,1.34
185.05,4.55,2.89,6.71,0.97
185.07,4.63,2.91,7.01,1.05
185.08,4.52,2.83,6.85,1.05
185.09,4.74,3.09,6.95,1.01
185.1,4.59,2.99,6.93,1.01
185.11,4.5,2.86,6.78,1
185.12,4.84,3.05,7.26,1.13
185.15,4.9,3.14,7.41,1.08
185.16,5.02,3.16,7.67,1.16
185.17,4.31,2.66,6.76,1.05
185.18,4.48,2.77,7,1.08
185.19,4.77,3.09,7.33,1.07
185.2,4.7,2.91,7.26,1.14
185.21,4.62,3.07,6.76,0.94
186.01,4.34,2.74,6.62,1.02
186.02,4.69,3,6.94,1.03
186.05,4.52,2.93,6.54,0.96
186.06,4.77,3.1,6.99,1.02
186.07,5.31,3.3,7.93,1.18
186.08,5.15,3.28,7.73,1.15
187.03,4.57,2.9,6.96,1.03
187.04,5.69,3.54,8.62,1.27
187.06,4.24,2.72,6.16,0.9
187.11,4.69,2.89,7.15,1.11
187.12,4.89,3.06,7.38,1.12
187.13,4.8,3.13,7.26,1.09
187.14,4.8,2.89,7.74,1.24
187.15,4.23,2.63,6.21,0.93
188.01,4.11,2.53,6.19,0.94
188.04,4.23,2.78,6.35,0.89
188.05,4.04,2.41,6.2,0.96
188.07,3.91,2.38,6.02,0.92
188.08,3.98,2.33,6.43,1.06
189.03,4.22,2.73,6.29,0.95
189.05,4.71,3.01,6.99,1.02
189.06,4.58,2.81,7.02,1.12
189.08,4.74,3.13,6.95,1.02
189.09,4.39,2.73,6.8,1.07
189.1,4.32,2.77,6.49,0.96
190.03,4.46,3.01,6.41,0.89
190.04,4.56,2.9,6.96,1.04
190.05,4.45,2.65,7.01,1.11
191.03,4.43,2.79,6.61,0.97
191.04,4.84,3.11,7.2,1.1
191.05,4.54,2.75,6.73,1.07
192,4.66,3.09,6.77,0.93
200,4.36,2.6,6.64,1.02
201,4.57,2.83,7.11,1.07
202,4.41,2.86,6.68,0.98
203,4.47,2.84,6.62,1.01
204.01,4.3,2.55,6.49,1.05
204.02,4.19,2.79,6.29,0.9
205.02,4.25,2.75,6.39,0.93
207,4.76,2.66,7.87,1.38
208,4.08,2.64,5.93,0.86
209,5.02,3.24,7.39,1.04
210,4.86,3.22,7.09,1.01
220,4.09,2.65,6.06,0.89
221.01,4.21,2.67,6.29,0.95
221.03,4.3,2.75,6.52,1.01
221.04,4.07,2.65,5.82,0.84
222.01,4.25,2.65,6.23,0.93
222.02,4.22,2.63,6.44,0.99
223.01,4.45,2.91,6.47,0.95
223.02,4.33,2.79,6.74,0.97
224.02,4.36,2.91,6.29,0.92
225.01,4.46,2.79,6.82,1.05
225.02,4.47,2.78,6.71,1.01
226.02,4.12,2.53,6.39,0.97
226.04,4.06,2.57,6.04,0.89
228.02,4.64,2.75,7.29,1.16
228.04,4.4,2.95,6.36,0.91
229,4.69,3.15,6.83,0.92
230.01,4.13,2.64,6.1,0.9
230.02,4.54,2.98,6.66,0.96
231,4.47,2.87,6.46,0.94
232,4.31,2.82,6.66,0.96
233,4.63,3.09,6.79,0.97
234,5.99,3.72,9.18,1.41
235.02,4.34,2.83,6.52,0.91
235.03,4.48,2.72,6.95,1.09
236,4.22,2.71,6.36,0.95
237,3.77,2.36,5.8,0.87
238.01,4.25,2.75,6.5,1
238.02,3.79,2.46,5.48,0.79
239.02,4.02,2.59,5.92,0.91
240.01,4.05,2.67,5.86,0.86
240.02,3.87,2.47,5.73,0.87
241,4.2,2.71,6.36,0.92
242,4.44,2.82,6.77,0.99
243.01,4.07,2.58,5.94,0.89
243.02,4.21,2.66,6.23,0.94
250.02,3.91,2.45,5.98,0.89
251.01,4.6,2.91,7,1.05
260.04,4.66,2.6,7.5,1.29
260.05,4.89,2.91,7.71,1.2
260.06,4.18,2.52,6.58,1.06
260.07,4.27,2.62,6.59,1.02
260.08,4.34,2.71,6.7,1.05
281.01,4.35,2.53,6.96,1.18
281.02,4.87,3.04,7.36,1.16
282.01,4.84,2.95,7.34,1.13
282.02,4.82,3.02,7.41,1.16
283,4.51,2.9,6.73,0.96
284.01,4.02,2.65,6.13,0.87
284.02,4.31,2.71,6.61,1.01
285.01,4.67,2.95,6.97,1.05
285.02,4.64,3.07,6.71,0.94
286.02,4.03,2.72,5.86,0.81
287.01,4.22,2.34,7.16,1.27
287.06,4.04,2.5,6.11,0.93
287.09,4.23,2.45,6.82,1.18
287.11,4.16,2.61,6.22,0.96
290.02,4.32,2.8,6.32,0.91
290.04,4.02,2.55,5.94,0.87
290.05,4.14,2.42,6.61,1.08
291.01,3.91,2.44,5.96,0.9
291.02,4.41,2.74,6.77,1.02
292.01,4.22,2.71,6.21,0.92
292.03,3.94,2.44,6,0.93
292.04,4.28,2.55,6.63,1.08
400.04,4.13,2.57,6.33,1
400.05,4.27,2.7,6.55,1.01
400.06,4.56,2.66,7.51,1.3
401.01,4.31,2.75,6.5,0.95
401.02,4.2,2.75,6.26,0.9
402.02,4.05,2.55,6.37,0.97
402.03,4.43,2.72,6.96,1.08
403.01,4.39,2.86,6.43,0.91
403.04,3.92,2.46,5.96,0.93
403.05,4.27,2.49,6.51,1.07
404.01,4.15,2.5,6.87,1.13
404.02,4.39,2.78,6.63,0.97
410.02,3.91,2.54,5.81,0.81
410.04,4.13,2.6,6.22,0.93
410.05,3.9,2.4,6.11,0.99
410.06,4.32,2.69,6.73,1.07
501.01,4.26,2.83,6.28,0.89
501.02,4.03,2.47,6.18,0.98
501.03,3.93,2.42,6,0.94
502.01,4.3,2.7,6.57,1
502.02,3.83,2.33,5.92,0.91
502.03,4.13,2.5,6.5,1.04
502.06,4.14,2.58,6.52,1
502.07,3.72,2.37,5.45,0.83
503.01,4.43,2.74,6.68,1.02
503.03,3.96,2.62,5.77,0.8
503.07,4.41,2.85,6.56,0.98
503.09,4.69,2.92,6.97,1.03
504.03,3.86,2.26,6.13,1.01
504.05,4.23,2.74,6.36,0.94
504.08,4.27,2.72,6.49,0.99
504.09,4.52,2.87,6.74,0.99
504.1,4.9,2.94,7.67,1.29
505.01,4.1,2.72,6,0.88
506.01,3.94,2.3,6.33,1
506.02,4.28,2.57,6.59,1.04
