"CT","mx_mean","mx_ub","mx_lb","mx_se"
501.01,51.8,71.4,36.61,9.1
501.02,39.25,60.1,24.99,9.08
501.03,56.24,87.33,35.01,13.61
502.01,56.82,86.64,35.56,13.03
502.02,53.73,77.78,35.45,10.96
502.03,72.09,106.6,46.4,15.62
502.06,53.35,77.17,35.41,10.79
502.07,53.09,74.45,36.66,9.76
503.01,52.48,82.2,32.17,12.87
503.03,55.46,75.56,38.76,9.56
503.07,66.73,97.1,44.61,13.49
503.09,64.49,92.51,42.97,12.86
504.03,48.11,70.86,31.42,10.06
504.05,54,76.54,36.8,10.16
504.08,34.01,53.07,20.95,8.49
504.09,50.02,74.57,31.81,10.84
504.1,64.13,98.55,39.6,15.16
505.01,36.37,52.87,23.7,7.53
506.01,53.83,85.96,31.33,13.95
506.02,58.44,88.54,37.83,13.08
