"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,5.5,3.51,8.08,1.19
1.02,5.86,3.59,8.91,1.38
2.01,5.35,3.19,8.46,1.36
2.04,7.03,4.67,10.34,1.46
3.01,6.63,3.81,10.84,1.8
3.02,8.68,5.12,14.13,2.31
4.01,8.51,5.44,12.68,1.83
5,6.61,4.05,10.49,1.62
6.01,5.38,3.25,8.39,1.34
6.02,7.83,4.84,12.5,1.97
7.01,6.03,3.64,9.73,1.54
7.02,6.01,3.58,9.67,1.53
8.01,7.41,4.3,12.43,2.05
8.02,7.54,4.36,11.68,1.83
9,5.4,3.5,8.04,1.18
10.02,5.44,3.42,8.13,1.21
11,6.45,4.16,10.01,1.5
13.01,6.11,3.97,9.22,1.36
13.03,5.95,3.74,9.22,1.45
13.04,6.54,3.77,10.44,1.7
14.02,6.5,3.91,10.37,1.67
15.01,5.38,3.22,8.57,1.36
15.02,6.71,4.16,10.22,1.52
16.01,6.1,3.8,9.31,1.46
16.05,5.77,3.46,9,1.42
17.01,5.67,3.65,8.5,1.31
17.02,5.25,3.31,7.81,1.21
18.02,5.51,3.52,8.19,1.2
19,6.97,4.37,10.9,1.68
20,6.07,4.1,8.67,1.19
21,6.44,3.95,9.72,1.52
23,5.2,3.3,7.98,1.21
24,4.77,2.89,7.42,1.19
25,5.04,3.11,8.03,1.2
26,5.81,3.69,8.82,1.36
27.01,5.53,3.56,8.38,1.24
27.02,6.1,4.02,9.27,1.37
28,6.73,4.15,10.34,1.6
29,8.77,5.75,13.01,1.82
30,6.01,3.69,8.92,1.35
31.01,6.16,3.84,9.49,1.5
31.02,5.7,3.56,8.94,1.36
32,6.02,3.83,9,1.33
33.01,5.61,3.42,8.74,1.31
33.02,5.72,3.53,8.55,1.3
34.02,5.63,3.61,8.7,1.29
35.01,5.03,3.08,7.91,1.21
35.02,5.78,3.71,8.62,1.26
36.01,6.03,3.71,9.36,1.47
36.02,5.36,3.1,8.76,1.52
37.01,6.2,3.82,9.63,1.56
37.02,6.03,3.56,9.42,1.51
38,7.71,4.82,11.77,1.72
39.01,5.79,3.64,8.78,1.37
39.02,7.72,4.92,11.49,1.73
40.01,7.25,4.39,11.58,1.84
40.02,6.35,3.85,10.1,1.57
41.01,7.2,4.52,10.97,1.69
41.02,6.22,3.89,9.21,1.4
42,5.09,3.23,7.88,1.18
43.02,5.37,3.28,8.51,1.35
44,5.54,3.35,8.59,1.36
45.01,5.75,3.3,9.28,1.55
45.02,6.47,4.02,9.83,1.55
46,6.42,3.92,10.16,1.58
47.01,7.44,4.64,11.54,1.8
48,6,3.76,9.12,1.4
49.01,6.9,4.23,10.95,1.69
49.02,5.88,3.32,9.44,1.7
50.02,6.23,4.07,9.14,1.35
50.03,8.08,4.92,12.48,2.01
50.04,7.08,4.1,11.33,1.93
51.01,4.84,3.02,7.47,1.16
