"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,19.87,39.93,8.97,7.91
1.02,23.27,51.1,8.31,11.35
2.01,10.12,25.14,2.81,6.06
2.04,17.02,33.82,7.55,6.82
3.01,12.66,34.42,3.22,8.38
3.02,18.27,44.19,5.97,10.35
4.01,19.76,39.28,8.58,8.06
5,24.81,58.15,8.06,13.1
6.01,13.25,32.48,4.02,7.9
6.02,21.28,46.63,7.57,10.4
7.01,17.95,42.87,5.59,9.82
7.02,21.95,54.06,7.19,13.74
8.01,114.77,245.38,45.58,50.65
8.02,27.02,56.05,10.92,11.87
9,22.69,47.76,9.05,10.08
10.02,13.22,29.7,4.78,6.69
11,14.15,32.13,5.06,7.06
13.01,18.05,41.67,6.48,9.09
13.03,8.5,23.3,2.06,5.67
13.04,16.81,42.52,4.84,10.13
14.02,15.57,35.8,5.43,8.06
15.01,28.36,61.47,11.19,13.26
15.02,9.26,21.1,3.23,4.74
16.01,21.39,49.26,7.16,11.03
16.05,15.67,36.93,5.25,8.29
17.01,13.33,31.6,4.46,7.07
17.02,40.17,79.98,16.99,16.54
18.02,8.1,18.27,2.86,4.08
19,83.04,148.58,41.79,28.02
20,3.48,8.01,1.2,1.93
21,40.41,86,16.94,17.35
23,9.77,24.37,3.02,5.79
24,27.53,59.21,10.86,12.6
25,9.04,21.97,2.91,5.12
26,15.13,35.33,5.17,8.1
27.01,14.24,30.69,5.57,6.7
27.02,8,18.03,2.83,4.04
28,95.19,179.49,43.66,36.05
29,10.8,24.96,3.65,5.81
30,9.78,24.18,2.83,5.64
31.01,21.48,49.67,7.14,11.28
31.02,24.99,57.57,8.01,13.04
32,13.32,32.1,4.44,7.26
33.01,33.77,70.39,13.11,15.51
33.02,8.38,20.38,2.68,4.62
34.02,11.74,26.46,4.31,5.71
35.01,28.89,63.5,10.28,14.74
35.02,18.43,38.24,7.34,8
36.01,14.72,32.72,5.35,7.05
36.02,6.56,18.07,1.64,4.31
37.01,23.67,57.94,7.09,13.36
37.02,32.08,74.7,10.58,16.77
38,15.52,37.47,4.93,8.39
39.01,108.88,219.57,45.98,45.08
39.02,6.64,17.48,1.89,4.31
40.01,37.33,90.66,11.03,21.24
40.02,28.44,67.23,9.92,14.84
41.01,33.76,70.04,12.85,15.35
41.02,17.3,38,6.16,8.68
42,13.24,31.53,4.2,7.42
43.02,30.3,68.65,11.11,14.98
44,6.79,19.07,1.77,4.61
45.01,18.46,48.29,5.08,11.09
45.02,28.13,65.79,9.86,14.63
46,53.65,114.25,20.14,24.63
47.01,19.56,44.14,6.81,9.89
48,16.13,38.22,5.23,8.71
49.01,56.6,119.01,23.75,24.53
49.02,11.17,25.18,3.66,5.71
50.02,11.23,26.96,3.44,6.34
50.03,14.1,35.22,4.21,8.54
50.04,77.69,179.44,27.86,38.78
51.01,22.59,54.17,7.14,12.51
51.02,14.92,33.96,5.06,7.8
52.01,23.24,46.28,9.71,9.76
52.02,38.84,79.24,16.32,16.45
53.01,7.29,18.59,2.01,4.47
53.02,112.37,213.57,50.48,42.61
54.01,3.74,8.61,1.31,1.88
54.02,11.61,30.22,3.49,6.94
55.01,7.74,21.94,1.98,5.37
55.02,14.82,37.03,4.54,8.32
56.02,41.54,97.5,13.82,22.17
57.02,18.93,39.99,6.99,8.54
59.06,16.26,37.84,5.25,8.67
59.07,10.3,25.07,3.25,5.7
59.09,25.32,63.78,6.98,15.44
59.1,43.99,104.75,14.27,23.89
59.11,12.15,27.63,3.99,6.32
60.02,28.65,65.28,10,14.39
61,38.09,89.05,12.61,20.08
62,29.82,64.75,11.72,13.9
64,45.06,85.96,19.96,17.55
65,6.55,15.08,2.27,3.45
67.01,37.07,81.57,13.12,17.81
68,23.1,53.37,7.94,11.91
69.02,18.6,37.01,8.25,7.5
100.01,15.47,35.42,5.23,8.18
100.02,16.98,39.9,5.63,8.96
101.03,29.36,65.8,10.92,14.38
101.04,43.41,89.21,18.56,18.51
101.06,21.01,44.28,8.19,9.61
103,23.61,50.81,9.37,10.89
104,11.92,29.32,3.77,6.66
110.02,22.28,56.01,6.53,13.05
110.03,21.52,59.04,5.25,14.96
110.04,80.15,172.99,30.78,37.92
111.02,18.42,40.56,7.16,8.82
111.05,8.77,22.86,2.31,5.74
