"CT","mx_mean","mx_ub","mx_lb","mx_se"
237,14.9,24.69,8.2,4.27
238.01,15.23,25.73,8.28,4.49
238.02,15.11,24.47,8.84,4.06
239.02,14.59,25.22,7.5,4.57
240.01,17.23,27.72,9.9,4.66
240.02,18.53,30.63,10.49,5.22
241,18.32,30.65,10.12,5.28
242,18.53,30.95,10.22,5.34
243.01,16.45,27.07,9.12,4.65
243.02,17.72,28.87,10.14,4.81
250.02,19.32,30.74,11.41,5.01
251.01,19.17,32.64,10.58,5.71
260.04,27.4,50.28,13.45,9.47
260.05,22.01,37.96,11.7,6.83
260.06,23.05,39.79,11.94,7.3
260.07,24.35,41.4,12.99,7.41
260.08,20.75,34.8,11.35,6.17
281.01,18.86,33.11,9.47,6.19
281.02,18.37,31.36,9.8,5.5
282.01,22.4,38.36,11.72,6.82
282.02,22.73,38.55,12.32,6.85
283,22.34,36.27,12.87,6
284.01,20.7,33.93,11.81,5.78
284.02,22.5,37.93,12.63,6.47
285.01,21.22,35.42,11.56,6.11
285.02,19.15,30.52,11.22,4.96
286.02,19.28,29.26,11.82,4.51
287.01,17.03,29.14,9.15,5.19
287.06,17.83,30.17,9.75,5.21
287.09,16.54,29.8,7.87,5.83
287.11,21.41,35.4,11.96,6.04
290.02,20.9,33.7,12.06,5.63
290.04,19.53,31.54,11.25,5.31
290.05,17.85,31.34,9.01,5.81
291.01,16.07,27.27,8.64,4.81
291.02,22.61,38.15,12.28,6.74
292.01,19.29,30.79,11.03,5.14
292.03,20.3,34.7,10.98,6.1
292.04,21.26,37.87,10.75,7.02
400.04,21.62,37.14,11.75,6.71
400.05,23.75,39.97,13.02,7
400.06,24.68,45.24,12.19,8.5
401.01,20,32.91,10.98,5.74
401.02,21.38,34.86,12.52,5.69
402.02,20.01,33.81,11.09,5.85
402.03,21.22,36.17,11.54,6.37
403.01,18.38,29.25,10.87,4.75
403.04,19.43,32.87,10.77,5.78
403.05,23.86,41.87,12.42,7.56
404.01,22.75,38.3,12.28,6.67
404.02,20.28,33.44,11.59,5.66
410.02,19.44,31.4,11.11,5.28
410.04,18.82,31.24,10.65,5.19
410.05,18.13,30.93,9.78,5.42
410.06,19.85,34.49,10.24,6.31
501.01,19.15,30.38,11.39,4.89
501.02,17.89,30.18,9.76,5.29
501.03,22.27,38.18,12.08,6.76
502.01,19.3,31.9,10.53,5.5
502.02,20.31,33.74,11.08,5.81
502.03,19.3,33.5,10.53,5.91
502.06,18.78,31.1,10.5,5.18
502.07,19.38,31.84,11.35,5.22
503.01,20.37,34.9,11.18,6.07
503.03,19.91,32.18,11.65,5.26
503.07,21.86,36.58,12.05,6.35
503.09,20.6,33.93,11.34,5.82
504.03,20.48,34.09,11.57,5.79
504.05,19.39,31.45,11.17,5.21
504.08,20.24,34.44,10.99,6.05
504.09,18.09,29.91,10.11,5.06
504.1,18.63,32.93,9.71,6.01
505.01,19.38,31.87,10.87,5.41
506.01,23.26,41.37,11.61,7.74
506.02,20.37,35.32,10.37,6.48
