"CT","mx_mean","mx_lb","mx_ub","mx_se"
181.05,11.03,7.54,15.54,2.18
181.07,8.23,3.93,15.42,3.01
181.08,8.41,3.72,16.66,3.2
181.09,10.09,6.04,15.89,2.59
181.11,8.34,4.75,13.51,2.39
181.12,7.77,3.92,14.42,2.68
181.13,7.92,4.98,11.93,1.8
181.14,11.76,6.44,20.42,3.62
181.16,13.82,8.17,21.88,3.55
182.01,10.54,6.53,15.9,2.45
182.04,9.4,5.4,15.13,2.47
182.05,9.85,5.83,15.83,2.52
183.01,9.23,4.71,15.8,2.83
183.03,11.19,6.55,17.87,2.94
183.05,10.3,6.04,16.51,2.8
183.06,12.94,7.58,19.85,3.17
183.07,8.58,4.55,14.52,2.53
184.02,12.9,7.74,20.17,3.33
184.06,6.53,3.38,10.95,1.94
184.07,10.97,6.39,17.86,2.85
184.08,7.28,3.78,13.08,2.39
184.09,9.1,4.84,16.25,2.91
184.1,9.27,4.99,15.75,2.86
184.11,7.03,3.75,12.04,2.2
184.12,8.8,4.59,15.5,2.84
184.13,11.81,6.09,20.8,3.83
184.14,8.26,4.08,14.92,2.83
184.15,8.81,4.53,14.93,2.78
184.16,8.01,4.28,14.33,2.54
185.05,9.07,5.27,14.63,2.43
185.07,9.04,5.21,15.16,2.61
185.08,7.92,4.01,14.19,2.68
185.09,9.42,5.67,15.36,2.5
185.1,7.63,4.14,12.96,2.35
185.11,8.4,4.69,14.31,2.51
185.12,8.01,4.38,13.67,2.25
185.15,9.11,5.18,14.56,2.57
185.16,9.02,5.06,15.36,2.76
185.17,8.47,4.19,14.76,2.77
185.18,9.33,5.27,16.25,2.94
185.19,10.1,5.23,17.29,3.11
185.2,9.16,4.71,15.27,2.75
185.21,9.29,5.44,15.35,2.54
186.01,9.12,4.86,15.65,2.74
186.02,11.92,6.76,19.83,3.41
186.05,9.18,5.21,14.81,2.51
186.06,9.4,5.27,15.42,2.68
186.07,9.52,5.1,16.12,2.78
186.08,13.67,8.04,22.26,3.68
187.03,9.27,5.31,15.43,2.67
187.04,17.99,11.27,27.99,4.09
187.06,8.87,5.3,14.05,2.32
187.11,8.68,4.58,15.7,2.78
187.12,7.91,4.47,13.53,2.29
187.13,8.62,4.84,13.85,2.36
187.14,12.3,6.73,21.46,3.76
187.15,13.02,7.68,21.57,3.43
188.01,8.28,4.49,14.68,2.61
188.04,9.2,5.49,14.84,2.44
188.05,7.99,4.29,13.34,2.35
188.07,7.49,3.73,13.69,2.56
188.08,9.45,4.21,18.22,3.73
189.03,10.56,5.81,17.35,2.95
189.05,8.52,5.35,13.05,2.06
189.06,14.59,7.33,25.39,4.82
189.08,11.37,6.31,18.72,3.24
189.09,7.97,4.1,14.71,2.69
189.1,7.88,4.33,12.64,2.22
190.03,17.92,12.14,24.92,3.26
190.04,13.14,7.39,21.95,3.83
190.05,11.83,5.33,22.86,4.64
191.03,9.31,5.12,15.5,2.66
191.04,24.28,14.75,37.58,5.76
191.05,11.87,6.48,21.35,3.69
192,10.02,6.34,15.08,2.33
200,7.12,3.75,12.55,2.3
201,6.72,3.52,12.13,2.31
202,7.85,4.64,12.98,2.13
203,6.16,3.26,10.51,1.99
204.01,8.19,3.75,15.32,2.97
204.02,7.3,4.12,12.2,2.02
205.02,8.54,5.05,13.99,2.26
207,9.81,4.91,17.35,3.22
208,10.99,6.48,17.84,2.86
209,14.72,9.42,22.55,3.39
210,9.71,6.11,14.57,2.2
220,5.6,3.21,9.88,1.69
221.01,6.54,3.2,11.84,2.27
221.03,5.53,2.84,9.79,1.86
221.04,7.46,4.63,11.42,1.77
222.01,5.5,2.94,9.39,1.7
222.02,5.44,2.64,9.79,1.84
223.01,5.89,3.23,9.98,1.77
223.02,7.73,4.42,13.04,2.22
224.02,9.01,5.25,14.9,2.43
225.01,4.9,2.39,8.71,1.63
225.02,5.37,2.95,9.32,1.61
226.02,5.76,2.92,10.52,1.94
226.04,5.47,2.74,10.27,1.9
228.02,5.56,2.74,10.04,1.88
228.04,5.98,3.52,9.53,1.58
229,7.53,4.69,11.4,1.78
230.01,5.13,2.91,8.89,1.54
230.02,6.64,3.79,11.49,1.84
231,6.03,3.48,9.66,1.59
232,5.92,3.24,9.94,1.72
233,7.72,4.59,12.43,2.04
234,9.55,5.63,15,2.36
235.02,6.79,4.11,11.01,1.78
235.03,6.38,3.19,11.93,2.22
236,5.64,3.14,9.37,1.61
237,5.85,3.06,9.87,1.78
238.01,5.45,2.86,9.48,1.7
238.02,4.91,2.91,8.08,1.31
239.02,5.52,2.72,9.71,1.89
240.01,5.28,3.03,8.5,1.41
240.02,4.66,2.53,7.8,1.39
241,6.24,3.42,10.52,1.9
242,4.96,2.59,8.36,1.56
243.01,6.38,3.42,11.01,1.99
243.02,6.3,3.48,10.3,1.81
250.02,6.66,3.96,10.33,1.68
251.01,9.97,4.9,18.56,3.6
260.04,10.65,4.08,23.44,4.93
260.05,9.6,4.6,17.91,3.51
260.06,4.98,2.42,9.12,1.84
260.07,9.53,5.03,17.15,3.2
260.08,6.34,3.41,11.08,2.11
281.01,9.99,4.54,18.19,3.6
281.02,7.09,3.69,12.22,2.21
282.01,8.92,4.49,16.17,3.01
282.02,7.65,3.95,14.24,2.57
283,9.03,5.52,14.66,2.32
284.01,6.13,3.46,9.94,1.68
284.02,7.35,4.02,13.11,2.26
285.01,8.44,4.68,14.39,2.56
285.02,8.3,4.9,12.8,2.07
286.02,7.3,4.92,10.61,1.44
287.01,8.23,4.12,14.76,2.64
287.06,7.69,4.19,12.44,2.18
287.09,5.92,2.5,11.95,2.47
287.11,7.04,3.56,12.63,2.38
290.02,11.71,7.25,18.31,2.78
290.04,7.36,4.28,11.78,1.96
290.05,7.48,3.56,14.2,2.89
291.01,10.1,5.3,17.47,3.17
291.02,8.22,4.34,14.77,2.68
292.01,7.34,4.39,11.4,1.88
292.03,8.18,4.13,15.07,2.83
292.04,8.8,4.06,16.46,3.3
400.04,9.78,4.95,17.08,3.09
400.05,8.53,4.7,14.7,2.57
400.06,10.05,4.5,19.74,4.04
401.01,11.56,6.62,19.04,3.23
401.02,10.98,7.01,16.78,2.55
402.02,12.44,7.32,19.81,3.22
402.03,13.48,7.78,22.27,3.71
403.01,13.92,8.95,20.68,3.06
403.04,10.53,5.6,18.23,3.27
403.05,9.81,4.65,19.23,3.64
404.01,8.24,4.27,14.22,2.51
404.02,10.99,6.63,17.54,2.84
410.02,7.73,4.59,11.96,1.91
410.04,8.74,4.8,14.69,2.62
410.05,8.18,4.17,13.96,2.63
410.06,8.83,4.23,16.41,3.15
501.01,13.86,9.15,20.32,2.8
501.02,10.35,5.58,17.75,3.18
501.03,9.49,5.03,17.01,3.12
502.01,12.94,6.6,23.39,4.34
502.02,12.73,7.08,21.94,3.96
502.03,10.1,5.25,17.63,3.3
502.06,11.2,6.25,18.84,3.16
502.07,10.01,6.07,15.99,2.47
503.01,12.83,6.3,24.33,4.76
503.03,9.32,5.92,14.09,2.15
503.07,12.87,7.78,20.13,3.18
503.09,16.87,9.44,28.35,4.75
504.03,8.89,5.17,14.92,2.59
504.05,11.35,7.1,17.09,2.7
504.08,7.56,4.12,13.07,2.36
504.09,12.24,7.22,20.39,3.38
504.1,9.65,4.68,17.9,3.62
505.01,9.33,5.5,14.91,2.4
506.01,11.06,5.29,21.97,4.55
506.02,12.57,6.81,21.87,3.81
