"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,15.38,9.95,22.42,3.18
1.02,17.12,10.69,26.4,4.05
2.01,16.62,9.43,27.35,4.69
2.04,39.98,28.11,56.33,7.18
3.01,18.5,10.73,29.45,4.85
3.02,60.23,37.03,94.14,14.83
4.01,63.3,42.48,89.77,11.9
5,15.21,9.07,23.93,3.91
6.01,17.47,10.61,27.98,4.46
6.02,51.41,35.38,75.19,10.35
7.01,19.19,11.68,30.92,4.82
7.02,72.34,45.64,113.13,17.4
8.01,21.42,11.29,38.34,6.79
8.02,24.02,13.66,37.27,5.94
9,18.49,11.86,26.6,3.81
10.02,22.21,14.16,33.58,4.92
11,14.97,9.34,23.31,3.55
13.01,18.46,10.76,30.25,4.86
13.03,19.7,12.11,31.15,4.92
13.04,20.93,12.3,34.94,5.61
14.02,16.84,8.82,28.9,5.26
15.01,15.83,9.61,25.62,4.03
15.02,24.09,15.68,35.9,5.17
16.01,14.58,8.66,23.61,3.81
16.05,13.26,7.54,21.45,3.56
17.01,18.45,11.1,29.5,4.71
17.02,17.47,10.43,27.12,4.24
18.02,17.38,11.24,25.76,3.7
19,24.07,15.27,35.74,5.57
20,36.94,25.74,52.82,6.82
21,26.61,15.62,42.33,7.02
23,24.4,15.8,36.46,5.25
24,21.42,13.2,34.09,5.47
25,20.41,12.8,31.04,4.67
26,20.06,12.27,31.45,4.86
27.01,17.31,10.48,26.48,4.13
27.02,36.5,25.56,51.74,6.85
28,28.38,17.3,42.74,6.61
29,94.71,65.27,132.96,17.03
30,16.16,9.32,24.59,3.95
31.01,18.82,11.2,29.81,4.83
31.02,14.91,8.68,24.62,4.02
32,21.25,13.25,32.27,4.92
33.01,20.85,12.55,32.42,5.27
33.02,19.19,11.82,29.26,4.49
34.02,29.31,18.97,44.59,6.49
35.01,17.26,10.32,26.61,4.27
35.02,27.33,17.68,40.81,5.89
36.01,21.52,13.1,34.48,5.25
36.02,15.61,8.97,25.92,4.41
37.01,18.65,11.07,29.33,4.81
37.02,23.8,13.38,40.23,6.67
38,30.25,19.21,45.62,6.67
39.01,19.67,11.86,30.95,4.96
39.02,64.78,43.8,92.69,12.78
40.01,15.32,7.42,26.49,5.05
40.02,14.95,9.25,23.45,3.67
41.01,29.17,18.27,43.54,6.89
41.02,15.51,9.01,24.7,4.19
42,17.06,10.65,27.05,4.3
43.02,21.29,12.36,33.93,5.48
