"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,16.59,11.55,23,2.94
1.02,14.99,9.76,22.38,3.22
2.01,14.48,8.98,21.4,3.29
2.04,16.61,11.6,22.79,2.98
3.01,17.75,11.48,26.45,3.83
3.02,21.25,13.17,32.67,4.9
4.01,20.46,14.04,28.89,3.74
5,20.91,14.6,29.64,3.9
6.01,15.77,9.94,23.92,3.53
6.02,20.38,13.28,30.52,4.37
7.01,15.62,9.95,23.32,3.44
7.02,13.21,8.39,19.74,2.97
8.01,17.77,10.33,27.98,4.42
8.02,22.92,14.35,33.45,4.75
9,13.81,9.38,19.88,2.7
10.02,16.73,10.98,24.91,3.55
11,19.31,12.82,27.86,3.84
13.01,17.92,11.48,26.79,4
13.03,16.97,10.64,26.09,3.85
13.04,15.83,9.69,24.64,3.87
14.02,16.98,10.08,27.12,4.37
15.01,17.08,10.99,25.71,3.78
15.02,16.21,10.58,23.47,3.29
16.01,20.7,13.25,30.61,4.49
16.05,17.76,11.31,26.48,3.83
17.01,16.45,10.69,23.73,3.32
17.02,15.52,10.32,22.75,3.27
18.02,15.78,10.93,22.02,2.87
19,15.64,10.2,23.72,3.43
20,16.23,11.05,23.57,3.21
21,14.8,9.76,21.86,3.14
23,13.64,9.07,19.71,2.8
24,13.38,8.79,19.65,2.9
25,14.2,9.09,20.79,2.96
26,15.35,10.2,22.22,3.1
27.01,15.09,9.71,22.35,3.42
27.02,13.35,8.83,19.33,2.78
28,13.72,8.64,20.38,3.15
29,15.64,9.42,24.01,3.63
30,18.23,12.37,26.14,3.55
31.01,17.16,11.3,26.08,3.68
31.02,23.57,16.19,34.39,4.77
32,24.93,17.21,35.68,4.71
33.01,20.69,13.6,30.32,4.39
33.02,20.63,13.7,29.54,4.1
34.02,20.69,14.17,29.56,4.04
35.01,14.52,9.17,22.23,3.31
35.02,20.85,14.46,28.93,3.69
36.01,18.42,11.99,26.54,3.88
36.02,17.27,10.46,26.02,4.14
37.01,35.02,24.18,48.62,6.32
37.02,33.76,22.7,47.92,6.55
38,32.77,22.01,46.27,6.04
39.01,23.19,15.85,32.34,4.38
39.02,20.78,12.44,31.65,4.91
40.01,22.62,13.03,36.94,6.19
40.02,19.73,12.74,28.73,4.19
41.01,16.66,10.09,26.45,4.06
41.02,29.7,20.36,41.88,5.66
42,16.88,11.02,24.72,3.45
43.02,16.97,10.53,25.14,3.82
44,19.07,12.24,28.74,4.21
45.01,20.9,13.18,31.66,4.84
45.02,15.6,10.35,23.4,3.28
46,17.73,11.68,25.05,3.51
47.01,16.38,10.61,25.54,3.64
48,20.98,12.83,33.33,4.86
49.01,23.93,16.67,33.44,4.44
49.02,18.24,10.95,30.28,4.79
50.02,36.64,26.61,50.06,5.92
50.03,41.61,28.79,59.16,7.74
50.04,34.88,22.89,50.68,7.22
51.01,28.05,18.03,41.56,5.86
51.02,19.9,13.16,28.14,4
52.01,19.46,13.09,28.08,3.72
52.02,21.9,14.71,31.74,4.4
53.01,19.87,12.72,29.53,4.44
53.02,17.6,10.81,28.04,4.46
54.01,50.91,38.3,66.13,7.22
54.02,20.91,13.86,30.32,4.33
55.01,32.75,21.65,48.02,6.67
55.02,45.33,29.47,67.9,9.52
56.02,40.4,27.71,59.1,8.06
57.02,35.75,25.04,50.51,6.34
59.06,149.87,108.48,198.56,23.37
59.07,37.31,24.06,56,8.3
59.09,66,42.9,96.71,14.62
59.1,73.38,47.56,108.19,16.15
59.11,97.12,63.98,140.2,18.99
60.02,45.13,30.25,65.59,9.34
61,39.49,25.47,61.18,8.81
62,40.51,27.04,59.71,8.15
64,48.31,34.66,64.32,7.71
65,37.46,26.53,52.09,6.42
67.01,45.76,29.72,65.34,9.07
68,36.28,24.5,50.83,6.87
69.02,12.58,8.7,18.11,2.39
100.01,16.54,10.31,24.87,3.85
100.02,17.49,11.16,25.55,3.79
101.03,21.87,14.26,32.84,4.71
101.04,18.31,11.75,27.37,4.2
101.06,19.74,13.38,28.28,3.97
103,16.03,10.83,22.84,3.07
104,13.99,9.4,20.53,2.87
110.02,12.42,6.36,22.34,4.09
110.03,13,7.66,21.61,3.6
110.04,13.54,7.78,21.41,3.55
111.02,13.47,8.54,20.27,2.98
111.05,12.7,7.6,19.94,3.21
111.07,12.84,8.74,18.93,2.72
112,14.77,8.89,23.22,3.67
113,9.94,6.49,15.25,2.3
114.01,11.24,6.33,18.71,3.2
114.02,10.17,6.11,15.91,2.49
115,10.24,6.61,15.26,2.34
116,12.38,8.29,18.38,2.63
117,14.08,9.18,20.44,3.01
118,15.65,10.54,21.95,3.01
120,12.38,7.69,19.34,3.05
121,12.71,7.64,20.11,3.17
122,12.05,7.51,17.86,2.69
130.03,14.72,9.35,22.27,3.49
131,13.7,9.64,19.22,2.37
132,16.29,9.38,25.66,4.26
133.01,11.35,5.84,19.39,3.51
133.02,10.17,6.03,15.95,2.51
134,14.27,9.07,20.93,3.16
135,15.09,9.66,22.45,3.31
140.02,12.33,8.2,17.58,2.33
140.03,14.55,9.88,20.97,2.85
140.04,13.92,8.38,22.21,3.63
141.01,14.47,9.05,21.97,3.24
142.01,11.4,7.24,17.27,2.6
142.02,12.92,7.98,21.04,3.41
142.03,11.36,6.73,17.63,2.75
143.01,11.82,7.73,18.13,2.72
143.02,10.72,7.27,15.37,2.13
143.03,13.84,8.84,21.24,3.22
144.04,11.35,6.69,18.13,3.02
144.06,10.09,6.6,14.81,2.07
145.01,11.5,7.68,16.19,2.25
145.02,11.32,6.65,18.44,3.01
146,13.73,9,20.29,2.92
147.01,12.01,7.59,17.8,2.66
147.09,13.33,8.57,19.5,2.98
148,14.69,9.64,21.39,2.99
149.02,14.76,8.74,23.62,3.92
149.05,12.35,7.68,19.23,2.97
149.08,12.43,8.12,18.49,2.77
149.09,11.69,7.12,17.92,2.84
150,15.51,10.03,23.59,3.5
151.03,16.95,11.01,25.11,3.62
151.05,13.7,9.05,20.38,2.88
151.07,16.38,11.43,22.52,2.98
151.08,14.28,9.01,22.09,3.36
160.01,13.31,7.13,22.56,4
160.02,11.72,7.18,18.19,2.82
160.03,10,5.94,15.5,2.45
160.04,14.56,8.72,23.59,3.82
161.02,11.86,6.95,18.46,2.9
161.03,11.6,7.07,17.71,2.71
161.05,12.25,7.31,19.44,3.1
161.06,12.76,8.14,20.06,3.07
161.08,13.03,6.98,22.78,4.04
161.09,18.34,12.16,26.66,3.62
162.01,11.02,7.42,15.86,2.2
162.02,12.06,7.69,18.32,2.76
162.03,16.02,10.62,22.89,3.26
162.04,10.94,7.12,15.92,2.28
163.01,12.74,7.93,19.7,2.97
163.04,14.48,9.54,20.47,2.86
163.05,13.8,8.95,20.11,2.87
163.06,14.85,9.1,22.41,3.41
163.07,12.77,8.25,19.08,2.78
163.08,15.63,9.99,23.63,3.51
170.03,18.13,11.21,26.65,3.94
170.04,12.51,8.14,18.37,2.73
170.05,15.83,9.71,24.69,3.86
170.07,14.95,10.04,22.16,3.1
180.01,13.43,7.99,21.25,3.51
180.04,15.26,10.26,21.73,2.95
181.03,17.32,10.75,26.7,4.02
181.05,16.22,10.79,24.09,3.26
181.07,13.14,7.54,21.43,3.67
181.08,12.62,7.1,21.2,3.67
181.09,11.95,7.53,17.65,2.68
181.11,14.17,8.54,22.44,3.38
181.12,14.62,8.73,22.96,3.83
181.13,14.35,9.78,20.51,2.77
181.14,18.8,11.42,29.89,4.87
181.16,13.97,8.47,21.71,3.49
182.01,14.33,10.04,20.28,2.58
182.04,15.02,10.09,20.97,2.87
182.05,15.31,10.27,22.12,3.03
183.01,16.01,10.28,24.08,3.57
183.03,16.63,10.62,24.6,3.63
183.05,13.08,8.88,18.84,2.58
183.06,20.3,13.85,29.2,4.01
183.07,16.49,10.48,24.11,3.53
184.02,20.95,14.32,30.42,3.96
184.06,19.24,11.97,29.23,4.29
184.07,17.14,11.23,25.23,3.54
184.08,18.49,11.71,28.25,4.29
184.09,15.65,9.85,23.97,3.63
184.1,16.53,10.43,24.92,3.77
184.11,14.87,9.14,23.36,3.61
184.12,19.02,11.72,30.3,4.74
184.13,14.64,9.11,23.3,3.63
184.14,15.68,9.48,24.3,3.83
184.15,15.31,9.34,22.99,3.5
184.16,17.51,11.18,25.86,3.81
185.05,20.78,13.6,30.74,4.2
185.07,13.3,8.73,19.43,2.86
185.08,13.63,8.05,21.65,3.5
185.09,15.61,10.53,22.6,3.12
185.1,17.45,11.19,26.34,3.88
185.11,15.56,9.95,22.85,3.29
185.12,15.94,10.56,23.83,3.31
185.15,18.71,12.75,27.36,3.82
185.16,20.72,13.47,29.92,4.38
185.17,11.22,6.74,18.04,2.9
185.18,14.6,8.86,22.56,3.47
185.19,12.27,7.58,18.62,2.8
185.2,13.43,8.52,20.53,3.1
185.21,16.11,10.95,23.2,3.11
186.01,19.12,12.43,27.9,4.1
186.02,20.63,13.34,30.51,4.27
186.05,15.56,10.34,22.91,3.12
186.06,14.94,9.61,22.22,3.2
186.07,20.68,13.78,29.4,4.1
186.08,19.85,13.24,29.12,3.99
187.03,15.88,10.42,23,3.18
187.04,20.75,14.05,30.54,4.17
187.06,14.13,9.4,20.55,2.83
187.11,16.11,9.68,25.63,4.08
187.12,16.32,10.58,24.41,3.52
187.13,18.08,11.79,27.19,3.97
187.14,15.51,8.78,25.94,4.54
187.15,15.36,9.82,22.47,3.21
188.01,14.14,8.97,21.31,3.07
188.04,16.75,11.5,24.28,3.27
188.05,14.77,8.92,23.83,3.67
188.07,13.89,8.23,21.51,3.46
188.08,13.28,7.24,22.6,3.88
189.03,15.45,10.14,22.54,3.21
189.05,21.44,14.51,30.9,4.23
189.06,18.47,11.75,28.18,4.25
189.08,16.77,11.12,23.87,3.26
