"CT","mx_mean","mx_lb","mx_ub","mx_se"
1.01,40.71,27.29,57.96,7.92
1.02,50.75,32.48,76.08,11.19
2.01,40.26,22.92,64.03,10.57
2.04,71.11,49.19,98.08,12.8
3.01,45.44,26.79,73.5,12.18
3.02,74.83,46.88,114.08,16.96
4.01,104.66,73.11,145.69,19.52
5,37.98,22.5,60.68,9.52
6.01,38.22,22.38,61.35,9.97
6.02,89.9,58.63,136.85,19.48
7.01,44.09,28.18,66.61,10.06
7.02,108.37,69.02,166.33,25.72
8.01,56.77,30.16,99.19,18.13
8.02,63.06,38.99,95.07,14.91
9,30.62,20.19,44.08,6.46
10.02,43.65,28.64,65.27,9.27
11,37.39,23.85,56.16,8.33
13.01,37.86,23.33,60.05,9.28
13.03,34.74,20.76,55.58,9.16
13.04,53.25,31.71,87.78,14.59
14.02,36.54,21.22,60.12,9.75
15.01,31.41,17.68,51.09,8.75
15.02,45.72,31.03,64.93,8.75
16.01,34.68,21.08,54.25,8.53
16.05,32.3,19.05,51.56,8.37
17.01,33.16,20.06,52.64,8.19
17.02,38.09,22.3,60.31,9.59
18.02,39.41,26,59.72,8.62
19,49.57,33.19,71.91,10.08
20,64.75,47.26,87.67,10.62
21,41.8,24.73,66.6,10.86
23,52.87,34.42,79.27,11.29
24,51.91,31.5,79.33,12.89
25,63.49,43.29,91.68,12.81
26,33.47,21.41,51.08,7.45
27.01,39.91,25.97,57.44,8.24
27.02,49.83,34.03,70.2,9.08
28,50.77,29.68,80.08,12.56
29,143.65,102.66,201.95,25.69
30,43.48,27,66.11,10.04
31.01,48.84,29.49,75.07,11.88
31.02,42.05,24.11,69.18,11.82
32,42.58,27.26,65.44,10.33
33.01,34.54,20.48,55.27,9.27
33.02,42.11,26.15,64.14,9.91
34.02,45.3,28.35,68.69,10.17
35.01,42,25.49,64.89,10.4
35.02,47.32,30.33,71.3,10.66
36.01,51.69,34.5,76.56,11.01
36.02,37.66,21.36,61.14,10.45
37.01,43.13,24.87,66.64,10.83
37.02,33.54,18.77,57.73,9.82
38,84.29,56.14,120.31,17.2
