"CT","mx_mean","mx_ub","mx_lb","mx_se"
1.01,138.01,194.96,93.1,26.53
1.02,184.55,278.57,116.89,41.81
2.01,158.33,249.79,93.49,40.39
2.04,190.77,272.01,128.87,37.17
3.01,153.11,249.3,87.93,40.96
3.02,294.8,436.27,189.21,63.18
4.01,244.03,342.79,167.21,45.58
5,136.75,213.29,82.73,34.14
6.01,114.26,182.44,67.45,29.64
6.02,199.98,300.7,128.73,45.04
7.01,133.52,207.65,80.86,32.46
7.02,173.26,264.08,105.79,41.05
8.01,151.64,270.36,76.11,48.5
8.02,158,248.64,93.16,40.71
9,94.85,140.74,60.82,20.63
10.02,144.91,221.26,91.63,33.56
11,139.51,210.75,87.47,31.9
13.01,174.72,267.22,109.28,40.3
13.03,156.73,248.64,92.8,40.65
13.04,165.77,275.39,92.36,46.82
14.02,153.48,241.58,93.08,38.24
15.01,136.32,219.42,78.89,36.52
15.02,143.95,211.2,94.69,30.12
16.01,161.48,254.92,96.84,40.44
16.05,177.57,281.47,105.7,45.14
17.01,140.29,214.97,86.71,33.61
17.02,148.59,233.5,88.65,37.66
18.02,175.06,260.13,113.64,37.35
19,186.82,279.13,120.37,40.34
20,164.07,225.86,117.37,27.55
21,172.13,264.72,105.06,41.31
23,177.53,263.44,117.89,38.51
24,113.11,180.64,66.37,30.17
25,147.5,216.77,97.23,30.46
26,98.44,151.63,60.55,23.6
27.01,113.07,166.8,71.51,24.91
27.02,114.25,163.88,76.5,22.73
28,161.97,254.77,94.43,41.37
29,215.96,313.06,142.11,44.37
30,147.77,229,90.59,35.58
31.01,176.37,275.43,105.75,44.41
31.02,135.19,220.7,76.99,36.55
32,144.93,225.91,88.27,35.39
33.01,121.79,194.54,70.95,31.83
33.02,121.46,186.63,73.03,29.43
34.02,150.23,227.68,91.85,35.76
35.01,173.23,273.65,103.57,44.1
35.02,141.83,215.77,89.49,32.77
36.01,166.6,249.6,106.67,37.1
36.02,200.39,320.94,117.31,52.4
37.01,149.15,237.4,86.95,38.72
37.02,182.67,295.56,104.61,49.1
38,132.93,203.89,81.9,31.85
39.01,162.37,250.41,98.13,39.48
39.02,182.36,269.26,120.88,37.69
40.01,124.06,196.19,74.57,31.11
40.02,165.27,248.7,103.43,37.14
41.01,215.91,319.28,139.46,46.23
41.02,105.82,160.85,64.34,25.39
42,111.47,179.04,66.5,28.62
43.02,114.83,182.44,66.86,30.05
44,100.98,158.41,60.91,25.02
45.01,117.96,192.2,67.29,32.49
45.02,144.33,233.12,84.21,38.27
46,104.66,169.09,60.21,27.93
47.01,155,235.1,97.16,35.56
48,166.62,255.93,101.64,40.33
49.01,240.33,378.26,142.07,60.63
49.02,176.67,267.33,111.3,39.31
50.02,143.78,223.36,87.25,34.83
50.03,195.91,314.52,112.46,52.04
50.04,157.74,264.44,88.51,45.57
51.01,117.32,185.93,67.59,30.87
51.02,134.36,208.38,81.63,32.8
52.01,168.42,251.19,106.96,37.6
52.02,156.83,238.57,97.85,36.99
53.01,184.16,289,111.73,44.84
53.02,193.53,318.19,110.91,52.93
54.01,115.55,168.28,77.03,23.31
54.02,142.1,222.39,86.23,35.2
55.01,115.85,188.19,66.94,31.38
55.02,164.46,264.62,93.95,44.32
56.02,192.12,303.53,115.87,47.77
57.02,120.44,180.14,77.64,26.55
59.06,112.45,187.29,64,31.82
59.07,228.3,361.4,131.99,59.91
59.09,134.94,227.76,73.29,40.28
59.1,121.59,213.6,64.23,38.05
59.11,174.15,279.71,102.88,45.16
60.02,154.93,246.48,91.22,41.52
61,130.27,207.78,75.52,34.3
62,127.27,194.22,79.41,29.81
64,124.71,189.7,79.54,27.92
65,162.4,241.11,106.59,34.34
67.01,145.36,229.42,85.67,37.43
68,135.5,210.86,84.42,32.43
69.02,118.49,176.47,76.19,25.93
100.01,274.39,393.68,183.88,53.48
100.02,140.18,223.56,82.3,36.57
101.03,122.24,195.77,72.26,31.43
101.04,174.55,275.49,104.37,43.25
101.06,119.39,189.93,73.79,29.02
103,140.49,209.58,89.91,30.81
