"CT","mx_mean","mx_lb","mx_ub","mx_se"
260.06,3.14,1.56,5.85,1.1
260.07,4.69,2.32,8.38,1.61
260.08,3.91,2.11,6.9,1.23
281.01,5.38,2.57,9.83,1.91
281.02,5.89,3.25,10.47,1.79
282.01,6.94,3.41,12.22,2.31
282.02,7.89,4.28,14.24,2.55
283,6.31,3.68,10.09,1.61
284.01,5.58,3.22,8.85,1.5
284.02,5.58,2.98,9.77,1.7
285.01,8.8,4.96,15.33,2.56
285.02,6.12,3.85,9.4,1.46
286.02,5.24,3.58,7.27,0.95
287.01,4.15,2.25,7.04,1.23
287.06,5.04,2.85,8.32,1.49
287.09,6.07,2.58,12.09,2.49
287.11,3.92,2.04,6.89,1.21
290.02,6.34,3.51,10.43,1.78
290.04,5.92,3.54,9.03,1.41
290.05,4.68,2.17,9.41,1.86
291.01,4.89,2.65,8.29,1.46
291.02,6.82,3.57,11.84,2.14
292.01,4.73,2.91,7.24,1.13
292.03,4.83,2.5,8.39,1.52
292.04,5.49,2.6,10.12,1.97
400.04,9.75,5.55,16.33,2.78
400.05,6.65,3.81,11.05,1.93
400.06,7.44,3.69,13.94,2.58
401.01,9.76,5.22,17,3
401.02,11.58,7.16,19.01,2.93
402.02,7.33,4.17,12.38,2.1
402.03,8.74,4.67,15.26,2.74
403.01,7.3,4.7,10.92,1.65
403.04,8.65,4.58,14.91,2.67
403.05,6.99,3.36,13.38,2.5
404.01,10.17,5.76,16.28,2.81
404.02,11.13,6.76,17.86,2.82
410.02,5.86,3.44,9.16,1.47
410.04,5.79,3.08,10.09,1.79
410.05,5.76,3.05,9.95,1.79
410.06,5.04,2.4,9.29,1.75
501.01,6.07,3.86,8.97,1.36
501.02,4.86,2.55,8.44,1.58
501.03,6.98,3.25,12.96,2.41
502.01,7.24,3.83,12.87,2.31
502.02,9.41,4.88,16.44,3.05
502.03,8.66,4.7,15.06,2.65
502.06,6.47,3.68,10.85,1.88
502.07,6.87,4.17,11.09,1.75
503.01,8.95,4.61,16.72,3.04
503.03,9.3,5.91,13.98,2.17
503.07,13.56,7.36,22.07,3.92
503.09,10.47,5.39,18.31,3.27
504.03,5.91,3.41,9.83,1.67
504.05,6.19,3.74,10.12,1.61
504.08,4.62,2.2,8.55,1.6
504.09,5.88,3.42,9.54,1.57
504.1,4.95,2.35,9.54,1.81
505.01,5.35,3.01,8.82,1.53
506.01,9.14,4.22,17.09,3.65
506.02,7.75,3.82,14.39,2.7
