CT,year,sex,ex_mean,ex_lb,ex_ub
34.02,1991,2,81.07,78.41,83.82
34.02,1991,3,78.16,76.32,80.03
35.01,1991,1,77.94,75.33,80.91
35.01,1991,2,82.39,79.88,85.31
35.01,1991,3,80.17,78.35,82.31
35.02,1991,1,76.22,73.80,78.78
35.02,1991,2,81.28,79.03,83.80
35.02,1991,3,78.83,77.11,80.61
36.01,1991,1,76.90,74.63,79.40
36.01,1991,2,80.70,78.57,83.02
36.01,1991,3,78.83,77.26,80.52
36.02,1991,1,77.37,74.70,80.34
36.02,1991,2,81.62,79.03,84.74
36.02,1991,3,79.56,77.69,81.64
37.01,1991,1,73.45,70.72,76.35
37.01,1991,2,84.56,81.48,88.33
37.01,1991,3,78.64,76.37,80.82
37.02,1991,1,71.80,69.03,74.68
37.02,1991,2,79.19,76.14,82.73
37.02,1991,3,75.31,73.12,77.67
38,1991,1,67.33,64.93,69.50
38,1991,2,77.52,75.06,80.37
38,1991,3,71.94,70.06,73.75
39.01,1991,1,72.13,69.70,74.75
39.01,1991,2,81.55,78.95,84.62
39.01,1991,3,77.09,75.18,79.27
39.02,1991,1,69.33,67.12,71.59
39.02,1991,2,77.17,75.14,79.22
39.02,1991,3,73.62,72.11,75.20
40.01,1991,1,76.66,73.70,80.05
40.01,1991,2,87.34,84.44,90.90
40.01,1991,3,83.05,80.66,85.68
40.02,1991,1,75.28,72.75,78.28
40.02,1991,2,84.10,81.59,86.71
40.02,1991,3,80.54,78.63,82.68
41.01,1991,1,75.70,73.39,78.04
41.01,1991,2,80.25,78.15,82.45
41.01,1991,3,78.41,76.85,80.16
41.02,1991,1,69.21,66.26,72.15
41.02,1991,2,86.41,82.91,90.24
41.02,1991,3,77.74,75.27,80.33
42,1991,1,77.98,75.66,80.65
42,1991,2,85.01,82.63,88.14
42,1991,3,81.58,79.79,83.61
43.02,1991,1,80.27,77.59,83.40
43.02,1991,2,85.02,82.60,87.75
43.02,1991,3,82.94,81.15,85.06
44,1991,1,79.42,76.96,82.30
44,1991,2,86.62,83.95,90.05
44,1991,3,83.22,81.28,85.28
45.01,1991,1,76.45,73.61,79.33
45.01,1991,2,82.80,80.27,85.79
45.01,1991,3,79.75,78.03,81.69
45.02,1991,1,77.61,74.97,80.37
45.02,1991,2,82.38,80.00,85.20
45.02,1991,3,80.22,78.26,82.17
46,1991,1,75.96,73.60,78.67
46,1991,2,85.02,81.61,88.93
46,1991,3,81.03,78.65,83.64
47.01,1991,1,75.37,73.37,77.51
47.01,1991,2,80.92,78.96,83.08
47.01,1991,3,78.43,77.01,80.03
48,1991,1,75.25,72.87,77.96
48,1991,2,84.50,81.51,87.78
48,1991,3,80.39,78.44,82.44
49.01,1991,1,70.12,67.50,72.78
49.01,1991,2,76.62,74.22,78.97
49.01,1991,3,73.21,71.34,75.07
49.02,1991,1,77.52,74.91,80.31
49.02,1991,2,81.76,79.71,83.96
49.02,1991,3,79.86,78.20,81.67
50.02,1991,1,72.33,69.62,75.12
50.02,1991,2,81.15,78.22,84.57
50.02,1991,3,76.51,74.44,78.68
50.03,1991,1,67.30,64.78,70.04
50.03,1991,2,75.61,72.83,78.49
50.03,1991,3,70.94,69.06,73.11
50.04,1991,1,70.65,67.62,73.85
50.04,1991,2,84.14,80.13,88.89
50.04,1991,3,76.23,73.58,79.04
51.01,1991,1,75.72,73.01,78.71
51.01,1991,2,85.48,81.59,89.52
51.01,1991,3,80.22,77.93,82.60
51.02,1991,1,75.22,72.73,77.91
51.02,1991,2,79.83,77.62,82.23
51.02,1991,3,77.54,75.86,79.25
52.01,1991,1,75.28,72.92,77.93
52.01,1991,2,82.26,80.01,84.84
52.01,1991,3,78.86,77.12,80.80
52.02,1991,1,75.68,73.43,78.10
52.02,1991,2,82.90,80.43,85.89
52.02,1991,3,79.11,77.40,81.00
53.01,1991,1,73.58,71.08,76.29
53.01,1991,2,78.95,76.67,81.51
53.01,1991,3,76.25,74.43,78.09
53.02,1991,1,77.30,74.42,80.62
53.02,1991,2,81.51,78.83,84.37
53.02,1991,3,79.43,77.46,81.59
54.01,1991,1,64.47,62.37,66.67
54.01,1991,2,77.69,74.63,80.85
54.01,1991,3,69.14,67.29,71.05
54.02,1991,1,76.00,73.42,78.63
54.02,1991,2,82.11,79.58,85.34
54.02,1991,3,78.99,76.98,81.03
55.01,1991,1,73.18,70.49,76.09
55.01,1991,2,79.65,76.56,83.09
55.01,1991,3,76.22,74.11,78.36
55.02,1991,1,71.10,68.29,74.19
55.02,1991,2,78.59,75.22,82.36
55.02,1991,3,74.45,72.18,76.86
56.02,1991,1,68.51,66.07,71.05
56.02,1991,2,75.15,72.79,77.74
56.02,1991,3,71.64,69.85,73.51
57.02,1991,1,70.04,67.31,72.78
57.02,1991,2,82.65,79.99,85.52
57.02,1991,3,75.55,73.41,77.70
59.06,1991,1,52.12,49.34,54.69
59.06,1991,2,61.04,55.55,67.05
59.06,1991,3,52.85,50.39,55.24
59.07,1991,1,70.93,68.08,73.62
59.07,1991,2,74.52,71.93,77.09
59.07,1991,3,72.21,70.13,74.24
59.09,1991,1,65.04,61.91,68.21
59.09,1991,2,83.80,80.03,88.34
59.09,1991,3,70.61,67.68,73.50
59.1,1991,1,54.40,51.21,57.89
59.1,1991,2,83.16,78.93,87.99
59.1,1991,3,60.92,57.94,64.28
59.11,1991,1,62.74,59.73,65.86
59.11,1991,2,74.35,71.25,77.78
59.11,1991,3,65.04,62.41,67.60
60.02,1991,1,66.27,63.41,69.44
60.02,1991,2,81.33,78.61,84.58
60.02,1991,3,72.59,70.30,75.07
61,1991,1,71.53,68.60,74.85
61,1991,2,85.81,82.57,89.30
61,1991,3,78.34,75.93,80.97
62,1991,1,76.05,73.32,79.03
62,1991,2,85.69,82.72,89.05
62,1991,3,81.07,78.89,83.48
64,1991,1,65.57,63.04,68.08
64,1991,2,82.86,80.20,86.18
64,1991,3,72.49,70.47,74.50
65,1991,1,66.07,64.13,68.29
65,1991,2,79.03,76.97,81.13
65,1991,3,71.33,69.75,72.92
67.01,1991,1,66.28,63.42,68.99
67.01,1991,2,79.63,76.63,82.71
67.01,1991,3,71.61,69.33,73.76
68,1991,1,72.40,69.71,75.25
68,1991,2,83.50,80.69,86.50
68,1991,3,77.70,75.47,79.96
69.02,1991,1,79.56,77.87,81.43
69.02,1991,2,81.27,79.78,82.90
69.02,1991,3,80.44,79.25,81.66
100.01,1991,1,71.56,69.38,73.70
100.01,1991,2,73.87,71.95,75.61
100.01,1991,3,72.81,71.41,74.18
100.02,1991,1,73.72,71.51,76.33
100.02,1991,2,82.06,79.23,85.00
100.02,1991,3,77.49,75.67,79.56
101.03,1991,1,75.73,73.43,78.73
101.03,1991,2,85.80,82.53,89.30
101.03,1991,3,81.22,79.12,83.49
101.04,1991,1,72.62,70.02,75.35
101.04,1991,2,79.71,76.88,82.89
101.04,1991,3,76.48,74.38,78.62
101.06,1991,1,76.02,73.67,78.69
101.06,1991,2,84.03,81.19,87.28
101.06,1991,3,80.11,78.24,82.25
