CT,year,sex,ex_mean,ex_lb,ex_ub
183.03,1996,1,74.34,72.41,76.48
183.03,1996,2,80.25,78.17,82.30
183.03,1996,3,77.43,76.00,78.88
183.05,1996,1,85.12,82.63,88.12
183.05,1996,2,85.19,82.91,87.98
183.05,1996,3,84.90,83.17,87.03
183.06,1996,1,76.31,74.03,78.86
183.06,1996,2,84.92,82.64,87.62
183.06,1996,3,80.76,79.13,82.60
183.07,1996,1,79.40,77.38,81.96
183.07,1996,2,83.28,80.68,86.07
183.07,1996,3,81.19,79.55,83.09
184.02,1996,1,72.67,70.46,75.01
184.02,1996,2,81.76,79.13,84.45
184.02,1996,3,76.96,75.26,78.81
184.06,1996,1,75.86,72.88,79.30
184.06,1996,2,83.02,80.15,86.39
184.06,1996,3,79.46,77.44,81.89
184.07,1996,1,73.75,71.51,76.07
184.07,1996,2,78.64,76.27,81.07
184.07,1996,3,76.26,74.60,77.92
184.08,1996,1,79.11,76.36,82.48
184.08,1996,2,85.18,82.01,89.14
184.08,1996,3,82.37,80.18,84.99
184.09,1996,1,78.67,75.62,82.03
184.09,1996,2,85.18,82.18,88.95
184.09,1996,3,81.89,79.71,84.53
184.1,1996,1,76.75,74.08,79.57
184.1,1996,2,81.74,79.11,84.87
184.1,1996,3,79.21,77.17,81.48
184.11,1996,1,77.10,74.04,80.60
184.11,1996,2,81.71,78.63,85.50
184.11,1996,3,79.42,77.24,81.84
184.12,1996,1,76.25,73.31,79.67
184.12,1996,2,80.92,78.34,84.17
184.12,1996,3,78.41,76.38,80.73
184.13,1996,1,77.01,74.18,79.98
184.13,1996,2,81.31,78.57,84.51
184.13,1996,3,79.00,76.93,81.08
184.14,1996,1,79.51,76.34,83.30
184.14,1996,2,81.48,78.34,85.23
184.14,1996,3,80.43,78.14,83.03
184.15,1996,1,79.26,76.34,82.60
184.15,1996,2,80.32,77.73,82.97
184.15,1996,3,79.62,77.63,81.71
184.16,1996,1,77.34,74.72,80.34
184.16,1996,2,83.73,80.74,87.35
184.16,1996,3,80.42,78.39,82.77
185.05,1996,1,75.88,73.29,78.71
185.05,1996,2,80.26,77.78,83.04
185.05,1996,3,78.16,76.38,80.29
185.07,1996,1,78.70,76.40,81.39
185.07,1996,2,85.70,82.68,89.16
185.07,1996,3,81.87,79.93,84.04
185.08,1996,1,78.16,75.17,81.44
185.08,1996,2,84.60,81.29,88.95
185.08,1996,3,81.14,78.95,83.65
185.09,1996,1,75.97,73.40,78.66
185.09,1996,2,82.09,79.35,85.40
185.09,1996,3,78.89,76.85,81.04
185.1,1996,1,79.66,76.76,83.13
185.1,1996,2,83.81,80.85,87.67
185.1,1996,3,81.78,79.54,84.29
185.11,1996,1,78.67,75.97,81.78
185.11,1996,2,86.25,83.23,89.81
185.11,1996,3,82.41,80.21,84.79
185.12,1996,1,78.18,75.80,80.70
185.12,1996,2,83.23,80.73,86.23
185.12,1996,3,80.68,78.84,82.68
185.15,1996,1,74.20,71.68,76.74
185.15,1996,2,80.49,77.55,83.52
185.15,1996,3,77.10,75.13,78.93
185.16,1996,1,77.55,74.82,80.65
185.16,1996,2,82.54,79.70,86.20
185.16,1996,3,79.99,77.98,82.43
185.17,1996,1,77.81,75.38,80.46
185.17,1996,2,85.67,82.66,89.61
185.17,1996,3,81.38,79.28,83.69
185.18,1996,1,77.06,74.64,80.08
185.18,1996,2,84.22,81.27,87.67
185.18,1996,3,80.43,78.46,82.54
185.19,1996,1,77.44,74.60,80.57
185.19,1996,2,83.18,80.31,86.80
185.19,1996,3,80.22,78.07,82.60
185.2,1996,1,80.48,77.08,84.47
185.2,1996,2,86.34,82.95,90.99
185.2,1996,3,83.34,80.79,86.32
185.21,1996,1,77.59,75.34,80.09
185.21,1996,2,84.89,81.93,88.35
185.21,1996,3,80.83,79.01,82.95
186.01,1996,1,74.95,72.53,77.46
186.01,1996,2,79.94,77.70,82.29
186.01,1996,3,77.32,75.46,79.03
186.02,1996,1,74.39,72.01,77.07
186.02,1996,2,81.47,78.94,84.41
186.02,1996,3,77.97,76.10,79.87
186.05,1996,1,76.26,73.82,78.94
186.05,1996,2,83.91,81.20,87.13
186.05,1996,3,80.11,78.19,82.15
186.06,1996,1,77.24,74.70,80.22
186.06,1996,2,83.35,80.51,86.88
186.06,1996,3,80.36,78.34,82.71
186.07,1996,1,76.87,74.06,80.00
186.07,1996,2,82.62,79.82,86.08
186.07,1996,3,79.61,77.64,81.78
186.08,1996,1,75.96,73.53,78.81
186.08,1996,2,80.83,78.13,83.88
186.08,1996,3,78.35,76.44,80.34
187.03,1996,1,76.64,74.36,79.00
187.03,1996,2,82.26,79.54,85.43
187.03,1996,3,79.40,77.61,81.41
187.04,1996,1,73.44,71.45,75.44
187.04,1996,2,76.47,74.84,78.09
187.04,1996,3,74.87,73.53,76.23
187.06,1996,1,80.75,78.30,83.38
187.06,1996,2,85.18,82.54,88.39
187.06,1996,3,82.92,81.04,84.95
187.11,1996,1,78.50,75.67,81.84
187.11,1996,2,81.24,78.49,84.17
187.11,1996,3,79.85,77.84,81.84
187.12,1996,1,78.34,75.89,80.98
187.12,1996,2,82.20,79.49,85.31
187.12,1996,3,80.24,78.30,82.37
187.13,1996,1,78.21,75.83,80.99
187.13,1996,2,84.11,81.27,87.83
187.13,1996,3,81.01,78.94,83.10
187.14,1996,1,71.93,69.39,74.48
187.14,1996,2,75.60,73.11,78.09
187.14,1996,3,73.72,71.94,75.51
187.15,1996,1,79.03,76.69,81.72
187.15,1996,2,85.96,83.12,89.25
187.15,1996,3,82.25,80.28,84.35
188.01,1996,1,79.41,76.66,82.64
188.01,1996,2,83.54,80.45,86.95
188.01,1996,3,81.43,79.28,83.74
188.04,1996,1,77.59,75.33,80.19
188.04,1996,2,82.95,80.33,86.09
188.04,1996,3,80.41,78.65,82.36
188.05,1996,1,75.62,72.87,78.63
188.05,1996,2,82.41,79.56,86.24
188.05,1996,3,78.79,76.65,81.17
188.07,1996,1,79.56,76.44,83.11
188.07,1996,2,83.24,80.31,86.89
188.07,1996,3,81.32,79.04,84.01
188.08,1996,1,80.92,78.04,84.58
188.08,1996,2,84.33,80.97,88.64
188.08,1996,3,82.62,80.28,85.24
189.03,1996,1,74.97,72.71,77.44
189.03,1996,2,79.94,77.59,82.67
189.03,1996,3,77.51,75.86,79.47
189.05,1996,1,75.08,72.70,77.35
189.05,1996,2,83.89,81.19,86.70
189.05,1996,3,79.29,77.53,81.10
189.06,1996,1,78.85,76.08,81.72
189.06,1996,2,86.94,83.60,90.84
189.06,1996,3,82.75,80.56,85.03
189.08,1996,1,73.09,70.62,75.81
189.08,1996,2,80.88,78.32,83.75
189.08,1996,3,77.23,75.31,79.31
189.09,1996,1,77.62,74.90,80.67
189.09,1996,2,83.15,80.52,86.25
189.09,1996,3,80.28,78.35,82.55
189.1,1996,1,79.86,77.25,83.08
189.1,1996,2,82.83,80.13,85.79
189.1,1996,3,81.39,79.49,83.52
190.03,1996,1,71.55,69.76,73.41
190.03,1996,2,76.27,74.43,78.05
190.03,1996,3,73.94,72.63,75.31
190.04,1996,1,75.78,73.42,78.49
190.04,1996,2,81.21,78.84,83.80
190.04,1996,3,78.30,76.47,80.16
190.05,1996,1,74.77,71.68,78.24
190.05,1996,2,77.89,74.93,81.15
190.05,1996,3,76.25,74.01,78.48
191.03,1996,1,78.00,75.39,81.14
191.03,1996,2,87.11,84.03,90.63
191.03,1996,3,82.64,80.38,85.18
191.04,1996,1,68.51,66.38,70.75
191.04,1996,2,74.96,72.70,77.19
191.04,1996,3,71.59,69.88,73.33
191.05,1996,1,67.79,64.93,70.54
191.05,1996,2,80.50,77.27,83.92
191.05,1996,3,73.28,71.18,75.51
192,1996,1,72.84,70.48,75.25
192,1996,2,78.54,76.23,81.08
192,1996,3,75.22,73.58,77.07
200,1996,1,75.55,72.91,78.30
200,1996,2,81.27,78.61,84.21
200,1996,3,78.03,76.00,80.18
201,1996,1,73.93,71.37,76.79
201,1996,2,81.80,78.94,85.33
201,1996,3,77.64,75.47,79.87
202,1996,1,75.90,73.38,78.42
202,1996,2,84.70,81.79,87.85
202,1996,3,80.09,78.20,82.11
203,1996,1,75.37,73.12,77.70
203,1996,2,82.07,79.59,84.67
203,1996,3,78.62,76.92,80.52
204.01,1996,1,75.32,72.92,78.05
204.01,1996,2,84.32,81.36,87.80
204.01,1996,3,79.94,78.01,82.18
204.02,1996,1,71.65,69.47,73.94
204.02,1996,2,80.37,77.99,83.31
204.02,1996,3,75.96,74.19,77.89
205.02,1996,1,72.58,70.61,74.63
205.02,1996,2,80.96,78.48,83.67
205.02,1996,3,76.81,75.23,78.53
207,1996,1,72.64,70.02,75.55
207,1996,2,77.19,74.87,79.86
207,1996,3,74.72,72.84,76.59
208,1996,1,73.16,71.22,75.21
208,1996,2,81.13,79.21,83.23
208,1996,3,77.25,75.78,78.77
209,1996,1,72.11,70.33,73.90
209,1996,2,76.65,75.20,78.19
209,1996,3,74.43,73.27,75.61
210,1996,1,74.13,72.24,76.18
210,1996,2,83.04,80.70,85.54
210,1996,3,78.66,77.08,80.22
220,1996,1,74.43,71.59,77.45
220,1996,2,79.43,76.73,82.33
220,1996,3,76.77,74.54,79.05
221.01,1996,1,77.11,74.49,79.90
221.01,1996,2,81.14,78.73,83.81
221.01,1996,3,79.17,77.32,81.17
221.03,1996,1,80.16,77.54,82.96
221.03,1996,2,85.40,82.59,88.48
221.03,1996,3,82.90,80.91,84.96
221.04,1996,1,76.16,74.58,77.81
221.04,1996,2,81.31,79.75,82.91
221.04,1996,3,78.83,77.64,80.00
222.01,1996,1,77.55,75.45,79.93
222.01,1996,2,83.06,80.84,85.53
222.01,1996,3,80.44,78.87,82.18
222.02,1996,1,76.34,73.63,79.44
222.02,1996,2,83.55,80.88,86.70
222.02,1996,3,80.01,77.96,82.29
223.01,1996,1,76.20,73.78,78.80
223.01,1996,2,81.21,78.73,84.05
223.01,1996,3,78.77,77.02,80.67
223.02,1996,1,74.42,72.11,76.98
223.02,1996,2,80.74,78.24,83.68
223.02,1996,3,77.55,75.73,79.40
224.02,1996,1,72.39,70.52,74.48
224.02,1996,2,77.52,75.75,79.38
224.02,1996,3,75.10,73.73,76.48
225.01,1996,1,78.64,76.44,81.20
225.01,1996,2,83.90,81.54,86.62
225.01,1996,3,81.28,79.60,83.08
225.02,1996,1,73.12,70.57,75.72
225.02,1996,2,80.50,77.93,83.49
225.02,1996,3,76.60,74.74,78.49
226.02,1996,1,79.53,77.24,82.52
226.02,1996,2,81.85,79.65,84.30
226.02,1996,3,80.70,79.10,82.61
226.04,1996,1,78.46,75.73,81.53
226.04,1996,2,86.94,83.76,90.54
226.04,1996,3,82.75,80.63,85.05
228.02,1996,1,78.87,76.62,81.52
228.02,1996,2,80.95,78.81,83.33
228.02,1996,3,79.89,78.30,81.66
228.04,1996,1,75.75,74.01,77.59
228.04,1996,2,82.25,80.44,84.08
228.04,1996,3,79.24,77.90,80.69
229,1996,1,74.27,72.68,76.01
229,1996,2,78.86,77.29,80.47
229,1996,3,76.69,75.55,77.88
230.01,1996,1,77.06,74.85,79.23
230.01,1996,2,81.15,79.18,83.35
230.01,1996,3,79.06,77.55,80.65
230.02,1996,1,77.11,75.02,79.24
230.02,1996,2,81.71,79.71,84.00
230.02,1996,3,79.39,77.79,81.03
231,1996,1,74.81,72.75,76.99
231,1996,2,85.81,83.37,88.41
231,1996,3,80.38,78.55,82.25
232,1996,1,76.82,74.37,79.56
232,1996,2,79.88,77.67,82.41
232,1996,3,78.19,76.49,79.86
233,1996,1,76.30,74.23,78.47
233,1996,2,82.78,80.55,85.22
233,1996,3,79.43,77.76,81.08
234,1996,1,72.76,71.23,74.25
234,1996,2,82.68,80.61,84.89
234,1996,3,75.49,74.35,76.57
235.02,1996,1,78.70,76.74,81.01
235.02,1996,2,86.20,83.75,89.39
235.02,1996,3,82.67,80.92,84.63
235.03,1996,1,73.31,71.17,75.83
235.03,1996,2,80.75,78.12,83.77
235.03,1996,3,77.06,75.22,78.93
236,1996,1,78.62,76.40,81.11
236,1996,2,85.68,83.14,88.51
236,1996,3,82.05,80.26,83.90
237,1996,1,78.13,76.08,80.25
237,1996,2,83.43,81.31,85.91
237,1996,3,80.86,79.30,82.58
238.01,1996,1,81.97,79.36,84.98
238.01,1996,2,83.45,80.96,86.35
238.01,1996,3,82.79,80.93,84.96
238.02,1996,1,78.12,76.47,79.89
238.02,1996,2,82.72,81.20,84.37
238.02,1996,3,80.40,79.23,81.74
239.02,1996,1,79.87,77.50,82.44
239.02,1996,2,85.42,82.94,88.37
239.02,1996,3,82.52,80.72,84.52
240.01,1996,1,76.54,74.46,78.78
240.01,1996,2,84.31,81.92,87.08
240.01,1996,3,80.44,78.78,82.30
240.02,1996,1,77.20,75.05,79.35
240.02,1996,2,85.66,83.02,88.52
240.02,1996,3,81.50,79.85,83.25
241,1996,1,77.07,74.93,79.18
241,1996,2,84.14,81.95,86.42
241,1996,3,80.57,78.93,82.18
242,1996,1,75.98,74.05,78.03
242,1996,2,83.77,81.46,86.39
242,1996,3,79.66,78.10,81.22
243.01,1996,1,78.38,76.32,80.66
243.01,1996,2,83.53,81.14,86.02
243.01,1996,3,81.00,79.41,82.70
243.02,1996,1,78.85,76.55,81.39
243.02,1996,2,82.32,79.96,85.03
243.02,1996,3,80.59,78.87,82.49
250.02,1996,1,80.38,78.15,82.97
250.02,1996,2,83.84,81.42,86.62
250.02,1996,3,82.02,80.01,84.13
251.01,1996,1,78.74,75.43,82.21
251.01,1996,2,84.66,81.45,88.82
251.01,1996,3,81.95,79.28,84.85
260.04,1996,1,77.83,75.52,80.82
260.04,1996,2,81.25,78.73,84.12
260.04,1996,3,79.56,77.66,81.71
260.05,1996,1,74.88,72.82,77.26
260.05,1996,2,80.30,77.98,82.97
260.05,1996,3,77.51,75.98,79.36
260.06,1996,1,80.54,78.32,82.88
260.06,1996,2,83.51,81.23,86.41
260.06,1996,3,82.05,80.52,83.86
260.07,1996,1,74.75,72.53,77.04
260.07,1996,2,77.38,75.35,79.77
260.07,1996,3,76.07,74.62,77.76
260.08,1996,1,80.97,78.32,84.11
260.08,1996,2,85.05,82.32,88.70
260.08,1996,3,83.10,80.99,85.45
281.01,1996,1,77.49,75.28,79.90
281.01,1996,2,83.59,80.86,87.01
281.01,1996,3,80.40,78.49,82.42
281.02,1996,1,76.06,73.96,78.35
281.02,1996,2,81.44,79.21,84.22
281.02,1996,3,78.63,77.07,80.43
282.01,1996,1,74.41,72.19,76.62
282.01,1996,2,80.60,78.22,82.85
282.01,1996,3,77.52,75.89,79.21
282.02,1996,1,76.52,74.27,78.77
282.02,1996,2,79.86,77.75,82.14
282.02,1996,3,78.30,76.74,79.98
283,1996,1,75.39,73.33,77.51
283,1996,2,81.47,79.25,83.83
283,1996,3,78.68,77.23,80.35
284.01,1996,1,77.44,75.27,79.80
284.01,1996,2,83.84,81.33,86.58
284.01,1996,3,80.78,78.99,82.69
284.02,1996,1,77.38,75.15,79.91
284.02,1996,2,82.22,79.87,84.73
284.02,1996,3,79.84,78.16,81.49
285.01,1996,1,72.94,70.53,75.76
285.01,1996,2,80.17,77.56,83.19
285.01,1996,3,76.81,74.77,78.88
285.02,1996,1,77.53,75.85,79.25
285.02,1996,2,81.99,80.52,83.68
285.02,1996,3,79.77,78.56,81.05
286.02,1996,1,78.98,77.45,80.59
286.02,1996,2,83.50,81.92,85.35
286.02,1996,3,81.31,80.13,82.58
287.01,1996,1,76.85,74.78,79.18
287.01,1996,2,82.52,80.04,85.61
287.01,1996,3,79.63,78.09,81.44
287.06,1996,1,76.78,74.88,78.77
287.06,1996,2,81.38,79.44,83.52
287.06,1996,3,79.36,78.05,80.75
287.09,1996,1,75.76,73.08,78.44
287.09,1996,2,83.90,80.78,88.02
287.09,1996,3,80.06,77.86,82.42
287.11,1996,1,79.66,77.47,82.06
287.11,1996,2,83.48,80.99,86.50
287.11,1996,3,81.66,80.03,83.48
290.02,1996,1,71.89,69.97,73.90
290.02,1996,2,77.65,75.75,79.78
290.02,1996,3,75.14,73.75,76.67
290.04,1996,1,77.85,75.71,80.26
290.04,1996,2,81.89,79.96,84.29
290.04,1996,3,79.87,78.37,81.49
290.05,1996,1,77.46,74.87,80.61
290.05,1996,2,82.54,79.58,86.62
290.05,1996,3,79.77,77.85,82.21
291.01,1996,1,82.26,79.85,85.13
291.01,1996,2,87.74,84.99,91.18
291.01,1996,3,84.82,82.89,87.09
291.02,1996,1,74.39,72.33,76.65
291.02,1996,2,80.73,78.45,83.35
291.02,1996,3,77.45,75.89,79.21
292.01,1996,1,78.57,76.35,81.22
292.01,1996,2,81.46,79.42,83.94
292.01,1996,3,79.99,78.46,81.76
292.03,1996,1,78.75,76.25,81.64
292.03,1996,2,82.39,79.63,85.71
292.03,1996,3,80.49,78.47,82.78
292.04,1996,1,77.96,75.32,81.25
292.04,1996,2,79.95,77.32,82.98
292.04,1996,3,78.95,76.97,81.10
400.04,1996,1,80.51,78.16,83.31
400.04,1996,2,85.05,82.74,87.93
400.04,1996,3,82.68,80.90,84.58
400.05,1996,1,79.49,76.93,82.36
400.05,1996,2,82.87,79.77,86.12
400.05,1996,3,81.14,79.32,83.34
400.06,1996,1,75.32,72.53,78.54
400.06,1996,2,80.83,77.37,84.55
400.06,1996,3,77.79,75.43,80.20
401.01,1996,1,72.56,70.17,75.12
401.01,1996,2,80.85,78.39,83.81
401.01,1996,3,76.61,74.93,78.66
401.02,1996,1,71.36,69.28,73.36
401.02,1996,2,78.60,76.71,80.56
401.02,1996,3,74.96,73.51,76.47
402.02,1996,1,76.05,73.85,78.53
402.02,1996,2,81.12,78.84,83.72
402.02,1996,3,78.64,77.03,80.46
402.03,1996,1,72.76,70.48,74.92
402.03,1996,2,77.14,74.91,79.53
402.03,1996,3,75.12,73.39,76.74
403.01,1996,1,76.09,74.35,78.09
403.01,1996,2,78.63,77.01,80.43
403.01,1996,3,77.31,76.09,78.57
403.04,1996,1,75.68,73.41,77.99
403.04,1996,2,80.14,77.73,83.00
403.04,1996,3,77.81,76.09,79.53
403.05,1996,1,74.51,72.29,76.87
403.05,1996,2,80.26,77.63,83.19
403.05,1996,3,77.17,75.37,78.98
404.01,1996,1,76.65,74.38,79.23
404.01,1996,2,80.58,78.15,83.44
404.01,1996,3,78.48,76.79,80.31
404.02,1996,1,78.07,75.83,80.31
404.02,1996,2,81.46,79.17,83.90
404.02,1996,3,79.84,78.15,81.56
410.02,1996,1,76.49,74.40,78.78
410.02,1996,2,83.73,81.19,87.00
410.02,1996,3,80.10,78.42,81.90
410.04,1996,1,75.48,72.80,78.46
410.04,1996,2,81.25,78.27,85.06
410.04,1996,3,78.22,76.20,80.58
410.05,1996,1,77.49,75.06,80.13
410.05,1996,2,82.49,79.94,85.77
410.05,1996,3,79.96,78.18,82.09
410.06,1996,1,75.57,73.35,78.11
410.06,1996,2,80.36,78.15,83.00
410.06,1996,3,77.90,76.31,79.71
501.01,1996,1,73.99,72.22,75.77
501.01,1996,2,76.67,75.14,78.41
501.01,1996,3,75.36,74.13,76.69
501.02,1996,1,82.60,79.92,85.62
501.02,1996,2,84.74,82.16,87.94
501.02,1996,3,83.69,82.00,85.80
501.03,1996,1,75.37,72.89,77.96
501.03,1996,2,79.84,77.21,82.83
501.03,1996,3,77.41,75.52,79.32
502.01,1996,1,74.76,72.19,77.47
502.01,1996,2,82.76,79.85,86.37
502.01,1996,3,79.19,76.99,81.81
502.02,1996,1,79.28,76.97,81.74
502.02,1996,2,84.67,82.08,87.50
502.02,1996,3,81.89,80.14,83.73
502.03,1996,1,77.19,75.04,79.48
502.03,1996,2,79.11,76.89,81.81
502.03,1996,3,78.16,76.49,79.91
502.06,1996,1,76.60,74.56,78.89
502.06,1996,2,79.33,77.37,81.58
502.06,1996,3,77.96,76.44,79.51
502.07,1996,1,79.33,77.13,81.64
502.07,1996,2,83.64,81.48,86.09
502.07,1996,3,81.41,79.90,83.01
503.01,1996,1,78.28,75.28,81.61
503.01,1996,2,80.15,77.67,83.43
503.01,1996,3,79.01,77.18,81.29
503.03,1996,1,77.11,75.04,79.41
503.03,1996,2,85.11,82.58,88.13
503.03,1996,3,81.11,79.42,82.86
503.07,1996,1,68.83,66.73,70.94
503.07,1996,2,76.52,74.36,78.60
503.07,1996,3,72.78,71.23,74.33
503.09,1996,1,75.16,72.54,77.75
503.09,1996,2,80.36,78.04,83.00
503.09,1996,3,77.84,76.11,79.74
504.03,1996,1,79.16,76.83,81.83
504.03,1996,2,83.07,80.22,86.55
504.03,1996,3,80.98,79.17,83.13
504.05,1996,1,78.25,76.15,80.48
504.05,1996,2,84.53,82.16,87.22
504.05,1996,3,81.14,79.60,82.82
504.08,1996,1,79.66,77.26,82.48
504.08,1996,2,85.48,82.47,88.92
504.08,1996,3,82.50,80.56,84.61
504.09,1996,1,84.29,81.53,87.56
504.09,1996,2,87.00,84.26,90.38
504.09,1996,3,85.75,83.88,87.88
504.1,1996,1,78.53,76.22,81.29
504.1,1996,2,84.38,81.30,87.99
504.1,1996,3,81.27,79.36,83.49
505.01,1996,1,81.91,80.03,84.25
505.01,1996,2,83.49,81.59,85.45
505.01,1996,3,82.69,81.33,84.16
506.01,1996,1,78.28,75.27,81.63
506.01,1996,2,86.20,82.90,90.15
506.01,1996,3,82.68,80.30,85.84
506.02,1996,1,78.75,76.40,81.16
506.02,1996,2,83.83,81.50,86.47
506.02,1996,3,81.34,79.56,83.22
1.01,2001,1,79.61,77.91,81.44
1.01,2001,2,85.04,83.10,87.11
1.01,2001,3,82.71,81.34,84.17
1.02,2001,1,79.44,77.38,81.56
1.02,2001,2,83.88,81.73,86.23
1.02,2001,3,81.96,80.27,83.76
2.01,2001,1,81.27,79.14,83.60
2.01,2001,2,85.15,82.85,87.75
2.01,2001,3,83.27,81.71,84.98
2.04,2001,1,79.31,77.51,81.09
2.04,2001,2,83.48,81.86,85.25
2.04,2001,3,81.50,80.27,82.81
3.01,2001,1,79.64,77.39,82.38
3.01,2001,2,86.40,83.60,89.72
3.01,2001,3,82.94,81.04,85.16
3.02,2001,1,79.33,77.21,81.88
3.02,2001,2,80.77,79.00,82.42
3.02,2001,3,79.82,78.48,81.23
4.01,2001,1,77.08,75.31,78.87
4.01,2001,2,81.12,79.64,82.66
4.01,2001,3,79.10,77.90,80.32
5,2001,1,78.85,76.72,81.49
5,2001,2,85.90,83.13,89.08
5,2001,3,82.25,80.51,84.28
6.01,2001,1,82.61,80.42,85.36
6.01,2001,2,89.99,87.34,92.98
6.01,2001,3,86.47,84.61,88.58
6.02,2001,1,77.31,75.35,79.46
6.02,2001,2,80.24,78.46,82.03
6.02,2001,3,78.81,77.42,80.17
7.01,2001,1,81.38,79.53,83.42
7.01,2001,2,86.76,84.43,89.48
7.01,2001,3,84.21,82.54,85.88
7.02,2001,1,81.27,79.40,83.22
7.02,2001,2,82.76,81.10,84.49
7.02,2001,3,82.02,80.80,83.26
8.01,2001,1,85.45,82.05,89.29
8.01,2001,2,87.57,84.07,92.08
8.01,2001,3,86.57,83.79,89.69
8.02,2001,1,80.92,78.95,83.10
8.02,2001,2,83.82,81.76,86.02
8.02,2001,3,82.43,80.97,83.98
9,2001,1,82.98,81.12,85.10
9,2001,2,88.40,86.07,90.87
9,2001,3,86.17,84.64,87.83
10.02,2001,1,81.73,79.80,83.84
10.02,2001,2,86.66,84.52,88.88
10.02,2001,3,84.18,82.85,85.70
11,2001,1,81.90,79.64,84.49
11,2001,2,88.07,85.61,90.53
11,2001,3,85.22,83.51,87.09
13.01,2001,1,80.63,78.49,82.96
13.01,2001,2,85.73,83.51,88.41
13.01,2001,3,83.24,81.66,84.86
13.03,2001,1,80.99,78.94,83.41
13.03,2001,2,85.77,83.39,88.51
13.03,2001,3,83.45,81.78,85.20
13.04,2001,1,81.24,78.90,84.20
13.04,2001,2,84.86,82.30,87.72
13.04,2001,3,83.18,81.28,85.18
14.02,2001,1,80.93,78.70,83.46
14.02,2001,2,85.69,83.63,88.18
14.02,2001,3,83.39,81.91,85.17
15.01,2001,1,82.76,80.69,85.24
15.01,2001,2,85.37,82.96,88.09
15.01,2001,3,84.09,82.49,85.92
15.02,2001,1,78.66,76.75,80.86
15.02,2001,2,85.25,83.10,87.62
15.02,2001,3,82.00,80.47,83.58
16.01,2001,1,79.18,77.15,81.45
16.01,2001,2,84.95,82.34,87.86
16.01,2001,3,82.30,80.63,84.19
16.05,2001,1,81.14,78.93,83.88
16.05,2001,2,86.31,83.78,89.60
16.05,2001,3,83.77,82.00,85.81
17.01,2001,1,80.34,78.44,82.45
17.01,2001,2,86.48,84.16,89.27
17.01,2001,3,83.25,81.74,84.91
17.02,2001,1,81.70,79.44,84.35
17.02,2001,2,84.97,82.62,87.75
17.02,2001,3,83.43,81.68,85.34
18.02,2001,1,80.92,79.02,82.95
18.02,2001,2,85.38,83.34,87.61
18.02,2001,3,83.20,81.69,84.78
19,2001,1,78.83,76.83,80.89
19,2001,2,83.15,81.29,85.21
19,2001,3,81.23,79.80,82.72
20,2001,1,80.60,79.09,82.16
20,2001,2,84.42,82.93,85.99
20,2001,3,82.69,81.61,83.83
21,2001,1,83.53,81.29,86.06
21,2001,2,85.62,83.44,88.14
21,2001,3,84.58,83.05,86.27
23,2001,1,81.53,79.67,83.43
23,2001,2,84.19,82.31,86.15
23,2001,3,83.04,81.74,84.38
24,2001,1,83.42,81.50,85.56
24,2001,2,86.64,84.61,88.92
24,2001,3,85.05,83.64,86.56
25,2001,1,82.75,80.99,84.80
25,2001,2,84.48,82.90,86.10
25,2001,3,83.57,82.39,84.89
26,2001,1,82.03,80.07,84.18
26,2001,2,88.61,86.26,91.50
26,2001,3,85.69,84.03,87.47
27.01,2001,1,82.28,80.49,84.30
27.01,2001,2,87.37,85.24,89.62
27.01,2001,3,85.04,83.55,86.64
27.02,2001,1,79.40,77.50,81.42
27.02,2001,2,86.38,84.85,88.08
27.02,2001,3,83.32,82.08,84.59
28,2001,1,80.29,78.09,82.63
28,2001,2,85.07,82.96,87.51
28,2001,3,82.66,81.07,84.34
29,2001,1,72.41,70.81,74.05
29,2001,2,79.96,78.20,81.72
29,2001,3,76.00,74.79,77.25
30,2001,1,80.66,78.68,82.86
30,2001,2,83.75,81.59,86.06
30,2001,3,82.19,80.72,83.76
31.01,2001,1,80.51,78.42,83.05
31.01,2001,2,85.21,82.89,87.93
31.01,2001,3,83.07,81.45,84.89
31.02,2001,1,79.93,77.70,82.35
31.02,2001,2,85.81,83.47,88.69
31.02,2001,3,82.84,81.07,84.82
32,2001,1,78.85,76.99,80.89
32,2001,2,83.84,81.88,85.90
32,2001,3,81.36,80.02,82.94
33.01,2001,1,78.90,76.70,81.28
33.01,2001,2,85.85,83.15,89.02
33.01,2001,3,82.39,80.57,84.38
33.02,2001,1,79.50,77.54,81.68
33.02,2001,2,85.49,83.37,87.95
33.02,2001,3,82.48,80.97,84.09
34.02,2001,1,77.40,75.46,79.52
34.02,2001,2,82.52,80.50,84.84
34.02,2001,3,80.02,78.48,81.69
35.01,2001,1,80.14,77.92,82.60
35.01,2001,2,85.72,83.46,88.31
35.01,2001,3,82.78,81.09,84.55
35.02,2001,1,79.44,77.40,81.56
35.02,2001,2,84.08,82.12,86.24
35.02,2001,3,81.82,80.37,83.39
36.01,2001,1,78.82,77.00,80.67
36.01,2001,2,82.56,80.63,84.53
36.01,2001,3,80.74,79.38,82.18
36.02,2001,1,79.08,77.16,81.25
36.02,2001,2,84.47,82.19,87.04
36.02,2001,3,81.80,80.26,83.56
37.01,2001,1,76.93,74.73,79.44
37.01,2001,2,84.65,82.03,87.61
37.01,2001,3,80.89,79.07,82.82
37.02,2001,1,76.71,74.51,79.02
37.02,2001,2,82.63,80.24,85.38
37.02,2001,3,79.48,77.76,81.23
